#--- Experiment --------------------------------------------------------------------------																																											
#110823_19_coryontiles																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																											
#HOFFMAN-LAB01																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 BOX1 [A] FSO2-C4 SN:24EB9B03596FD52F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - XB7-528-210 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	11/5/2023	11/5/2023	23.155000	52.916000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1014.871000	17.634000	100.000000	22.612000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Fixed Pressure																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.3] - Oxygen Sensor - XB7-538-217 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	16 ms	15% (B)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	4000	External Temperature Sensor	20.000000	1	Fixed Pressure (mbar)	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	11/5/2023	11/5/2023	22.973000	53.614000	0.804000	0.122000	4000	-0.056000	0.969000	1.299000	0.000000	-0.000303	0.000000	0.000000	fixed f	1010.900000	19.037000	100.000000	22.299000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Fixed Pressure																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
08-11-2023	18:03:21.409	0.799	104.223	22.532	144	0	OK	08-11-2023	18:03:21.409	0.799	19.196	OK	08-11-2023	18:03:21.409	0.799	1013	OK	08-11-2023	18:03:20.803	0.193	100.610	22.860	315	0	OK	08-11-2023	18:03:20.803	0.193	19.194	OK	08-11-2023	18:03:20.803	0.193	1013	OK	08-11-2023	18:03:21.628	1.018	19.196	OK			
08-11-2023	18:03:22.410	1.800	104.214	22.533	144	0	OK	08-11-2023	18:03:22.410	1.800	19.196	OK	08-11-2023	18:03:22.410	1.800	1013	OK	08-11-2023	18:03:21.800	1.191	100.600	22.861	315	0	OK	08-11-2023	18:03:21.800	1.191	19.195	OK	08-11-2023	18:03:21.800	1.191	1013	OK	08-11-2023	18:03:22.627	2.017	19.195	OK			
08-11-2023	18:03:23.409	2.799	104.213	22.533	144	0	OK	08-11-2023	18:03:23.409	2.799	19.197	OK	08-11-2023	18:03:23.409	2.799	1013	OK	08-11-2023	18:03:22.800	2.190	100.592	22.862	315	0	OK	08-11-2023	18:03:22.800	2.190	19.195	OK	08-11-2023	18:03:22.800	2.190	1013	OK	08-11-2023	18:03:23.628	3.018	19.197	OK			
08-11-2023	18:03:24.413	3.804	104.160	22.539	144	0	OK	08-11-2023	18:03:24.413	3.804	19.196	OK	08-11-2023	18:03:24.413	3.804	1013	OK	08-11-2023	18:03:23.799	3.190	100.641	22.856	315	0	OK	08-11-2023	18:03:23.799	3.190	19.197	OK	08-11-2023	18:03:23.799	3.190	1013	OK	08-11-2023	18:03:24.629	4.020	19.197	OK			
08-11-2023	18:03:25.411	4.801	104.134	22.542	144	0	OK	08-11-2023	18:03:25.411	4.801	19.195	OK	08-11-2023	18:03:25.411	4.801	1013	OK	08-11-2023	18:03:24.801	4.192	100.685	22.851	315	0	OK	08-11-2023	18:03:24.801	4.192	19.196	OK	08-11-2023	18:03:24.801	4.192	1013	OK	08-11-2023	18:03:25.630	5.021	19.195	OK			
08-11-2023	18:03:26.415	5.805	104.170	22.538	144	0	OK	08-11-2023	18:03:26.415	5.805	19.195	OK	08-11-2023	18:03:26.415	5.805	1013	OK	08-11-2023	18:03:25.802	5.192	100.754	22.843	315	0	OK	08-11-2023	18:03:25.802	5.192	19.195	OK	08-11-2023	18:03:25.802	5.192	1013	OK	08-11-2023	18:03:26.629	6.019	19.194	OK			
08-11-2023	18:03:27.414	6.804	104.359	22.517	144	0	OK	08-11-2023	18:03:27.414	6.804	19.194	OK	08-11-2023	18:03:27.414	6.804	1013	OK	08-11-2023	18:03:26.802	6.192	100.661	22.854	315	0	OK	08-11-2023	18:03:26.802	6.192	19.194	OK	08-11-2023	18:03:26.802	6.192	1013	OK	08-11-2023	18:03:27.629	7.019	19.193	OK			
08-11-2023	18:03:28.417	7.807	104.145	22.541	144	0	OK	08-11-2023	18:03:28.417	7.807	19.193	OK	08-11-2023	18:03:28.417	7.807	1013	OK	08-11-2023	18:03:27.803	7.193	100.636	22.857	315	0	OK	08-11-2023	18:03:27.803	7.193	19.193	OK	08-11-2023	18:03:27.803	7.193	1013	OK	08-11-2023	18:03:28.632	8.022	19.193	OK			
08-11-2023	18:03:29.415	8.805	104.250	22.529	144	0	OK	08-11-2023	18:03:29.415	8.805	19.195	OK	08-11-2023	18:03:29.415	8.805	1013	OK	08-11-2023	18:03:28.802	8.192	100.670	22.853	315	0	OK	08-11-2023	18:03:28.802	8.192	19.194	OK	08-11-2023	18:03:28.802	8.192	1013	OK	08-11-2023	18:03:29.632	9.022	19.196	OK			
08-11-2023	18:03:30.417	9.807	104.152	22.540	144	0	OK	08-11-2023	18:03:30.417	9.807	19.195	OK	08-11-2023	18:03:30.417	9.807	1013	OK	08-11-2023	18:03:29.800	9.191	100.702	22.849	315	0	OK	08-11-2023	18:03:29.800	9.191	19.196	OK	08-11-2023	18:03:29.800	9.191	1013	OK	08-11-2023	18:03:30.630	10.021	19.196	OK			
08-11-2023	18:03:31.416	10.807	104.223	22.532	144	0	OK	08-11-2023	18:03:31.416	10.807	19.196	OK	08-11-2023	18:03:31.416	10.807	1013	OK	08-11-2023	18:03:30.802	10.192	100.676	22.852	315	0	OK	08-11-2023	18:03:30.802	10.192	19.196	OK	08-11-2023	18:03:30.802	10.192	1013	OK	08-11-2023	18:03:31.632	11.023	19.196	OK			
08-11-2023	18:03:32.417	11.807	104.348	22.518	144	0	OK	08-11-2023	18:03:32.417	11.807	19.196	OK	08-11-2023	18:03:32.417	11.807	1013	OK	08-11-2023	18:03:31.800	11.190	100.761	22.842	315	0	OK	08-11-2023	18:03:31.800	11.190	19.197	OK	08-11-2023	18:03:31.800	11.190	1013	OK	08-11-2023	18:03:32.633	12.023	19.196	OK			
08-11-2023	18:03:33.415	12.806	104.285	22.525	144	0	OK	08-11-2023	18:03:33.415	12.806	19.197	OK	08-11-2023	18:03:33.415	12.806	1013	OK	08-11-2023	18:03:32.800	12.191	100.745	22.844	315	0	OK	08-11-2023	18:03:32.800	12.191	19.196	OK	08-11-2023	18:03:32.800	12.191	1013	OK	08-11-2023	18:03:33.633	13.024	19.196	OK			
