"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min30_45",30.5,0.846693073397699,7.97444391802001,-0.00217928119334111,19.1,19.1,19.1,"Ch1",NA,"SMR",14.5,7.72685786566162e-16,6.82e-05,0.134302245749248,NA,0.088,-0.00228167649087194,1,1,9.15941316009873e-06,0.134302245749248,0.134302245749248
"min50_65",50,0.909883867905367,7.99920509472048,-0.00279169710836171,19.1,19.1,19.1,"Ch1",NA,"SMR",15,7.72685786566162e-16,6.82e-05,0.65529942223328,NA,0.088,-0.00228167649087194,1,1,4.46914205963097e-05,0.655299422233279,0.65529942223328
"min100_115",100,0.914716443676713,8.06311162099214,-0.00287706247562655,19.1,19.1,19.1,"Ch1",NA,"SMR",15,7.72685786566162e-16,6.82e-05,0.765362917852905,NA,0.088,-0.00228167649087194,1,1,5.21977509975681e-05,0.765362917852905,0.765362917852905
"min130_145",130,0.932761929927391,8.11736812235916,-0.0033687231418602,19.1,19.1,19.1,"Ch1",NA,"SMR",15,7.72685786566162e-16,6.82e-05,1.39927211684299,NA,0.088,-0.00228167649087194,1,1,9.54303583686922e-05,1.39927211684299,1.39927211684299
"min30_45",30.5,0.759297509704757,7.72701979808117,-0.00177622753020541,19.1,19.1,19.1,"Ch2",NA,"SMR",14.5,7.72685786566162e-16,9.95e-05,0.448806464099597,NA,0.088,-0.00228167649087194,1,1,4.46562431779099e-05,0.448806464099596,0.448806464099597
"min50_65",50,0.88661703827277,7.77479883970392,-0.00282102264494004,19.1,19.1,19.1,"Ch2",NA,"SMR",15,7.72685786566162e-16,9.95e-05,0.474188641254487,NA,0.088,-0.00228167649087194,1,1,4.71817698048215e-05,0.474188641254487,0.474188641254487
"min100_115",100,0.896802217175593,7.8659175637103,-0.00300659377550342,19.1,19.1,19.1,"Ch2",NA,"SMR",15,7.72685786566162e-16,9.95e-05,0.638126281074451,NA,0.088,-0.00228167649087194,1,1,6.34935649669078e-05,0.638126281074451,0.638126281074451
"min130_145",130,0.915562104599684,7.91458124378638,-0.00336592037399903,19.1,19.1,19.1,"Ch2",NA,"SMR",15,7.72685786566162e-16,9.95e-05,0.955563343095188,NA,0.088,-0.00228167649087194,1,1,9.50785526379712e-05,0.955563343095188,0.955563343095188
"min30_45",30.5,0.91877536723082,7.78078154005369,-0.00303109504087766,19.1,19.1,19.1,"Ch3",NA,"SMR",14.5,7.72685786566162e-16,0.000152,0.430842802330856,NA,0.088,-0.00228167649087194,1,1,6.54881059542901e-05,0.430842802330856,0.430842802330856
"min50_65",50,0.945245804331639,7.80517460213559,-0.00355248493142345,19.1,19.1,19.1,"Ch3",NA,"SMR",15,7.72685786566162e-16,0.000152,0.732178717493136,NA,0.088,-0.00228167649087194,1,1,0.000111291165058957,0.732178717493136,0.732178717493136
"min100_115",100,0.951273233374413,7.88349381852306,-0.00357968118379203,19.1,19.1,19.1,"Ch3",NA,"SMR",15,7.72685786566162e-16,0.000152,0.747896719980472,NA,0.088,-0.00228167649087194,1,1,0.000113680301437032,0.747896719980472,0.747896719980472
"min130_145",130,0.942858563391134,7.88136269505868,-0.00354513496362329,19.1,19.1,19.1,"Ch3",NA,"SMR",15,7.72685786566162e-16,0.000152,0.727930822945054,NA,0.088,-0.00228167649087194,1,1,0.000110645485087648,0.727930822945054,0.727930822945054
"min30_45",30.5,0.947718812666373,8.05175498798909,-0.00352195505198082,19.1,19.1,19.1,"Ch4",NA,"SMR",14.5,7.72685786566162e-16,9.87e-05,1.10229884917884,NA,0.088,-0.00228167649087194,1,1,0.000108796896413951,1.10229884917884,1.10229884917884
"min50_65",50,0.951487268188423,8.05859256481804,-0.00367851747579156,19.1,19.1,19.1,"Ch4",NA,"SMR",15,7.72685786566162e-16,9.87e-05,1.24173188447889,NA,0.088,-0.00228167649087194,1,1,0.000122558936998066,1.24173188447889,1.24173188447889
"min100_115",100,0.957652139081352,8.16313329893893,-0.00387770716398359,19.1,19.1,19.1,"Ch4",NA,"SMR",15,7.72685786566162e-16,9.87e-05,1.41912836410071,NA,0.088,-0.00228167649087194,1,1,0.00014006796953674,1.41912836410071,1.41912836410071
"min130_145",130,0.957894504199699,8.16035598250985,-0.00381451366408881,19.1,19.1,19.1,"Ch4",NA,"SMR",15,7.72685786566162e-16,9.87e-05,1.36284882213211,NA,0.088,-0.00228167649087194,1,1,0.000134513178744439,1.36284882213211,1.36284882213211
