"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min60_84",59.9402,0.984194955697944,7.87932547513634,-0.00721452339853819,22.79,23.17,22.96,"Ch1","2023-12-03 12:47:08","SMR",23.8282666666667,"down",0.0001156,0.579681801845176,NA,0.088,-0.00644355504401349,1,1,6.70112162933023e-05,0.579681801845177,0.579681801845176
"min110_128",109.9426,0.96723049533757,7.89876609804502,-0.00589453866648113,22.79,23.01,22.91,"Ch1","2023-12-03 13:37:08","SMR",17.6894833333333,"down",0.0001156,0.423830881424681,NA,0.088,-0.00644355504401349,1,1,4.89948498926931e-05,0.423830881424681,0.423830881424681
"min147_157",147.220366666667,0.824050023247708,8.04188158534653,-0.0061802979647706,22.8,23.05,22.87,"Ch1","2023-12-03 14:14:25","SMR",9.77045000000004,"down",0.0001156,0.206583610883236,NA,0.088,-0.00644355504401349,1,1,2.3881065418102e-05,0.206583610883236,0.206583610883236
"min60_84",59.9402,0.976282750501877,7.61494029058918,-0.00621899785619683,22.79,23.17,22.96,"Ch2","2023-12-03 12:47:08","SMR",23.8282666666667,"down",6.02e-05,0.33447535213969,NA,0.088,-0.00644355504401349,1,1,2.01354161988094e-05,0.334475352139691,0.33447535213969
"min110_128",109.9426,0.949821703440118,7.6237297256081,-0.00503499939613095,22.79,23.01,22.91,"Ch2","2023-12-03 13:37:08","SMR",17.6894833333333,"down",6.02e-05,2.06405322221447,NA,0.088,-0.00644355504401349,1,1,0.000124256003977311,2.06405322221447,2.06405322221447
"min60_84",59.9402,0.968574806953775,7.69073591164075,-0.00494672924964845,22.79,23.17,22.96,"Ch3","2023-12-03 12:47:08","SMR",23.8282666666667,"down",0.0001542,0.85916637843333,NA,0.088,-0.00644355504401349,1,1,0.00013248345555442,0.85916637843333,0.85916637843333
"min110_128",109.9426,0.950757060889788,7.79001541943515,-0.0048688967115382,22.79,23.01,22.91,"Ch3","2023-12-03 13:37:08","SMR",17.6894833333333,"down",0.0001542,0.903506596178631,NA,0.088,-0.00644355504401349,1,1,0.000139320717130745,0.903506596178631,0.903506596178631
"min38_57",37.8633666666667,0.923350541051633,7.76783296469557,-0.00523562246379163,22.87,23.31,23.09,"Ch4","2023-12-03 12:25:03","SMR",19.0768333333333,"down",0.0001266,0.844872803028752,NA,0.088,-0.00644355504401349,1,1,0.00010696089686344,0.844872803028752,0.844872803028752
"min60_84",59.9402,0.982737058373285,7.85732772892275,-0.0071133039991814,22.79,23.17,22.96,"Ch4","2023-12-03 12:47:08","SMR",23.8282666666667,"down",0.0001266,0.458430993431906,NA,0.088,-0.00644355504401349,1,1,5.80373637684794e-05,0.458430993431907,0.458430993431906
"min87_107",86.7684666666667,0.891652783040382,7.47576872782806,-0.00251803409987757,22.88,23.26,23.09,"Ch4","2023-12-03 13:13:57","SMR",20.1741333333333,"down",0.0001266,2.73115818484207,NA,0.088,-0.00644355504401349,1,1,0.000345764626201006,2.73115818484207,2.73115818484207
"min110_128",109.9426,0.96387164579191,7.76008157576516,-0.00531408200384414,22.79,23.01,22.91,"Ch4","2023-12-03 13:37:08","SMR",17.6894833333333,"down",0.0001266,0.79041382556548,NA,0.088,-0.00644355504401349,1,1,0.00010006639031659,0.79041382556548,0.79041382556548
