"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min43_64",43.29575,0.978116997569095,8.05791832876027,-0.00834866970471739,22.72,23.16,22.97,"Ch1","2023-12-04 11:06:50","SMR",20.49105,"up",9e-05,2.54573803471686,"E11",0.088,-0.00573653557519533,1,1,0.000229116423124517,2.54573803471685,2.54573803471686
"min90_105",89.6937666666667,0.960098264443294,8.22617702188462,-0.00832933289706359,22.81,23.1,22.96,"Ch1","2023-12-04 11:53:13","SMR",15.4575,"up",9e-05,2.52685027070746,"E11",0.088,-0.00573653557519533,1,1,0.000227416524363671,2.52685027070746,2.52685027070746
"min128_148",128.475933333333,0.968721568301876,8.15637433564353,-0.00649866464656337,22.78,23.15,22.98,"Ch1","2023-12-04 12:32:00","SMR",19.4907666666667,"up",9e-05,0.738694205135524,"E11",0.088,-0.00573653557519533,1,1,6.64824784621971e-05,0.738694205135523,0.738694205135524
"min43_64",43.29575,0.978670583654013,7.78990489478032,-0.00820486658959087,22.72,23.16,22.97,"Ch2","2023-12-04 11:06:50","SMR",20.49105,"up",4.87e-05,4.45202366044959,"E12",0.088,-0.00573653557519533,1,1,0.000216813552263895,4.45202366044959,4.45202366044959
"min90_105",89.6937666666667,0.941480269459739,7.83464159853308,-0.0068859951513949,22.81,23.1,22.96,"Ch2","2023-12-04 11:53:13","SMR",15.4575,"up",4.87e-05,2.0701662164618,"E12",0.088,-0.00573653557519533,1,1,0.00010081709474169,2.0701662164618,2.0701662164618
"min128_148",128.475933333333,0.955363398874116,7.80517963152443,-0.00564560455178296,22.78,23.15,22.98,"Ch2","2023-12-04 12:32:00","SMR",19.4907666666667,"up",4.87e-05,0.169956283407803,"E12",0.088,-0.00573653557519533,1,1,8.27687100196e-06,0.169956283407803,0.169956283407803
"min43_64",43.29575,0.957850459468842,7.78922357018995,-0.00588415122458664,22.72,23.16,22.97,"Ch3","2023-12-04 11:06:50","SMR",20.49105,"up",9.24e-05,0.134702181529045,"E13",0.088,-0.00573653557519533,1,1,1.24464815732838e-05,0.134702181529045,0.134702181529045
"min90_105",89.6937666666667,0.941791132987243,7.95596782569699,-0.00655575793129242,22.81,23.1,22.96,"Ch3","2023-12-04 11:53:13","SMR",15.4575,"up",9.24e-05,0.773656009780225,"E13",0.088,-0.00573653557519533,1,1,7.14858153036928e-05,0.773656009780226,0.773656009780225
"min128_148",128.475933333333,0.952852145380045,7.92611586135889,-0.0054344472537676,22.78,23.15,22.98,"Ch3","2023-12-04 12:32:00","SMR",19.4907666666667,"up",9.24e-05,0.293137610518269,"E13",0.088,-0.00573653557519533,1,1,2.7085915211888e-05,0.293137610518269,0.293137610518269
"min43_64",43.29575,0.966052437797423,8.06814685794289,-0.0066144675691146,22.72,23.16,22.97,"Ch4","2023-12-04 11:06:50","SMR",20.49105,"up",0.0001053,0.727079886323536,"E14",0.088,-0.00573653557519533,1,1,7.65615120298683e-05,0.727079886323536,0.727079886323536
"min67_87",66.7868,0.88856427516691,7.8781605560412,-0.00338441738863919,22.86,23.23,23.1,"Ch4","2023-12-04 11:30:19","SMR",19.9069666666667,"up",0.0001053,1.96906723236433,"E14",0.088,-0.00573653557519533,1,1,0.000207342779567964,1.96906723236433,1.96906723236433
"min90_105",89.6937666666667,0.924561611230699,8.08904865926106,-0.00582114454475722,22.81,23.1,22.96,"Ch4","2023-12-04 11:53:13","SMR",15.4575,"up",0.0001053,0.0648872060862649,"E14",0.088,-0.00573653557519533,1,1,6.83262280088369e-06,0.0648872060862649,0.0648872060862649
"min128_148",128.475933333333,0.935209101444798,7.98995072337641,-0.0043746364673212,22.78,23.15,22.98,"Ch4","2023-12-04 12:32:00","SMR",19.4907666666667,"up",0.0001053,1.14252393839442,"E14",0.088,-0.00573653557519533,1,1,0.000120307770712932,1.14252393839442,1.14252393839442
