"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min50_58",50,0.858660811296421,8.10091052844895,-0.004684462286654,15.07,15.07,15.07,"Ch2",NA,"SMR",8,7.16033064549625e-16,6.16e-05,0.000152397243376433,NA,0.088,-0.00468107648498298,1,1,9.3876701919883e-09,0.000152397243376434,0.000152397243376433
"min80_88",80,0.838442138534151,8.18436815154045,-0.00477326947505761,15.07,15.07,15.07,"Ch2",NA,"SMR",8,7.16033064549625e-16,6.16e-05,0.126931002060129,NA,0.088,-0.00468107648498298,1,1,7.81894972690393e-06,0.126931002060129,0.126931002060129
"min111_121",111,0.934699640482944,8.41625182178812,-0.00607571445836225,15.07,15.07,15.07,"Ch2",NA,"SMR",10,7.16033064549625e-16,6.16e-05,1.98626424751202,NA,0.088,-0.00468107648498298,1,1,0.000122353877646741,1.98626424751203,1.98626424751202
"min148_156",148,0.876345873703692,8.42838084753926,-0.00525991668876366,15.07,15.07,15.07,"Ch2",NA,"SMR",8,7.16033064549625e-16,6.16e-05,0.82165466014078,NA,0.088,-0.00468107648498298,1,1,5.06139270646721e-05,0.82165466014078,0.82165466014078
"min50_58",50,0.897540324374936,8.02051429688769,-0.00465645111279178,15.07,15.07,15.07,"Ch3",NA,"SMR",8,7.16033064549625e-16,0.0001008,0.0261547919146322,NA,0.088,-0.00468107648498298,1,1,2.63640302499492e-06,0.0261547919146321,0.0261547919146322
"min80_88",80,0.902766750186289,8.14202556013999,-0.0052502931443724,15.07,15.07,15.07,"Ch3",NA,"SMR",8,7.16033064549625e-16,0.0001008,0.491684885687662,NA,0.088,-0.00468107648498298,1,1,4.95618364773163e-05,0.491684885687661,0.491684885687662
"min111_121",111,0.953164628034309,8.35691120662936,-0.0063110446963467,15.07,15.07,15.07,"Ch3",NA,"SMR",10,7.16033064549625e-16,0.0001008,1.41667707633547,NA,0.088,-0.00468107648498298,1,1,0.000142801049294616,1.41667707633547,1.41667707633547
"min148_156",148,0.917955236602387,8.39230709541517,-0.00564793610269299,15.07,15.07,15.07,"Ch3",NA,"SMR",8,7.16033064549625e-16,0.0001008,0.838435857136205,NA,0.088,-0.00468107648498298,1,1,8.45143343993295e-05,0.838435857136204,0.838435857136205
"min50_58",50,0.863376915172763,8.30565755833153,-0.003994446055801,15.07,15.07,15.07,"Ch4",NA,"SMR",8,7.16033064549625e-16,4.76e-05,1.27339523950148,NA,0.088,-0.00468107648498298,1,1,6.06136134002703e-05,1.27339523950148,1.27339523950148
"min80_88",80,0.878834582543786,8.41979204654293,-0.00447689327336305,15.07,15.07,15.07,"Ch4",NA,"SMR",8,7.16033064549625e-16,4.76e-05,0.381958460974072,NA,0.088,-0.00468107648498298,1,1,1.81812227423658e-05,0.381958460974071,0.381958460974072
"min111_121",111,0.95008084854141,8.68135219638348,-0.00600222749445395,15.07,15.07,15.07,"Ch4",NA,"SMR",10,7.16033064549625e-16,4.76e-05,2.43646182362835,NA,0.088,-0.00468107648498298,1,1,0.000115975582804709,2.43646182362835,2.43646182362835
"min148_156",148,0.913163462962499,8.72689803000558,-0.005299700628266,15.07,15.07,15.07,"Ch4",NA,"SMR",8,7.16033064549625e-16,4.76e-05,1.13837518611345,NA,0.088,-0.00468107648498298,1,1,5.41866588590004e-05,1.13837518611345,1.13837518611345
