"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min36_45",36,0.906041842141619,8.04982155687366,-0.00551292996087622,15.06,15.06,15.06,"Ch2",NA,"SMR",9,1.04331563451376e-15,7.25e-05,1.53960048766984,NA,0.088,-0.00423996720203273,1,1,0.000111621035356063,1.53960048766984,1.53960048766984
"min65_75",65,0.914053383989306,8.14089508669221,-0.0051703571840965,15.06,15.06,15.06,"Ch2",NA,"SMR",10,1.04331563451376e-15,7.25e-05,1.12413058656227,NA,0.088,-0.00423996720203273,1,1,8.14994675257645e-05,1.12413058656227,1.12413058656227
"min95_103",95,0.839768027723713,8.17594805535789,-0.00449241433231554,15.06,15.06,15.06,"Ch2",NA,"SMR",8,1.04331563451376e-15,7.25e-05,0.301926171390264,NA,0.088,-0.00423996720203273,1,1,2.18896474257942e-05,0.301926171390264,0.301926171390264
"min123_130",123,0.895503087425737,8.403043592742,-0.00568272163297914,15.06,15.06,15.06,"Ch2",NA,"SMR",7,1.04331563451376e-15,7.25e-05,1.74552265661921,NA,0.088,-0.00423996720203273,1,1,0.000126550392604893,1.74552265661921,1.74552265661921
"min36_45",36,0.926631971069542,8.03608126150416,-0.0054409671393355,15.06,15.06,15.06,"Ch3",NA,"SMR",9,1.04331563451376e-15,7.23e-05,1.45635702017247,NA,0.088,-0.00423996720203273,1,1,0.00010529461255847,1.45635702017247,1.45635702017247
"min65_75",65,0.929633051029367,8.13800269152357,-0.00532532579381695,15.06,15.06,15.06,"Ch3",NA,"SMR",10,1.04331563451376e-15,7.23e-05,1.31571970984949,NA,0.088,-0.00423996720203273,1,1,9.51265350221182e-05,1.31571970984949,1.31571970984949
"min95_103",95,0.886009308891297,8.18138259210133,-0.0047237925571799,15.06,15.06,15.06,"Ch3",NA,"SMR",8,1.04331563451376e-15,7.23e-05,0.584164606515446,NA,0.088,-0.00423996720203273,1,1,4.22351010510667e-05,0.584164606515445,0.584164606515446
"min123_130",123,0.911406196356697,8.37811215869387,-0.00565516726035708,15.06,15.06,15.06,"Ch3",NA,"SMR",7,1.04331563451376e-15,7.23e-05,1.71685666029901,NA,0.088,-0.00423996720203273,1,1,0.000124128736539619,1.71685666029901,1.71685666029901
"min36_45",36,0.93066054863392,8.22246230500612,-0.0056425685091824,15.06,15.06,15.06,"Ch4",NA,"SMR",9,1.04331563451376e-15,8.22e-05,1.49592574084813,NA,0.088,-0.00423996720203273,1,1,0.000122965095897716,1.49592574084813,1.49592574084813
"min65_75",65,0.941583157824792,8.32987760078005,-0.00559579944630676,15.06,15.06,15.06,"Ch4",NA,"SMR",10,1.04331563451376e-15,8.22e-05,1.44590344016579,NA,0.088,-0.00423996720203273,1,1,0.000118853262781628,1.44590344016579,1.44590344016579
"min95_103",95,0.890547953987157,8.3946985246473,-0.00523324641573584,15.06,15.06,15.06,"Ch4",NA,"SMR",8,1.04331563451376e-15,8.22e-05,1.05813136192822,NA,0.088,-0.00423996720203273,1,1,8.69783979505e-05,1.05813136192822,1.05813136192822
"min123_130",123,0.938728321020633,8.625976390573,-0.00637424763817181,15.06,15.06,15.06,"Ch4",NA,"SMR",7,1.04331563451376e-15,8.22e-05,2.27850018521145,NA,0.088,-0.00423996720203273,1,1,0.000187292715224381,2.27850018521145,2.27850018521145
