"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min42_70",41.8195166666667,0.891138785805945,7.71101094909238,-0.00554683234940876,22.71,23.27,23.02,"Ch1","2023-12-11 14:07:22","SMR",28.0242833333333,"down",7.89e-05,1.85495258918749,"B11",0.088,-0.00387872548168988,1,1,0.000146355759286893,1.85495258918749,1.85495258918749
"min73_124",72.8438,0.978770988512645,7.55631924043782,-0.00269542858012947,22.82,23.31,23.07,"Ch1","2023-12-11 14:38:23","SMR",51.4863,"down",7.89e-05,1.32246890560569,"B11",0.088,-0.00387872548168988,1,1,0.000104342796652289,1.32246890560569,1.32246890560569
"min127_147",127.3301,0.975818655654677,7.94209474851514,-0.0057282470252947,22.76,23.07,22.88,"Ch1","2023-12-11 15:32:52","SMR",19.5480333333333,"down",7.89e-05,2.05710946954282,"B11",0.088,-0.00387872548168988,1,1,0.000162305937146928,2.05710946954282,2.05710946954282
"min30_39",30.0158,0.911107971510975,7.70272780553694,-0.00827673423216454,22.86,22.97,22.91,"Ch2","2023-12-11 13:55:33","SMR",8.80371666666666,"down",9.97e-05,3.87361664632721,"A14",0.088,-0.00387872548168988,1,1,0.000386199579638823,3.87361664632721,3.87361664632721
"min42_70",41.8195166666667,0.93653269675021,7.72542435828348,-0.00915931174265959,22.71,23.27,23.02,"Ch2","2023-12-11 14:07:22","SMR",28.0242833333333,"down",9.97e-05,4.65173929372709,"A14",0.088,-0.00387872548168988,1,1,0.000463778407584591,4.6517392937271,4.65173929372709
"min73_124",72.8438,0.98786614627327,7.32089182025871,-0.00265568021261829,22.82,23.31,23.07,"Ch2","2023-12-11 14:38:23","SMR",51.4863,"down",9.97e-05,1.0821740721715,"A14",0.088,-0.00387872548168988,1,1,0.000107892754995498,1.0821740721715,1.0821740721715
"min127_147",127.3301,0.971066600491711,7.74639367667423,-0.00592282288152784,22.76,23.07,22.88,"Ch2","2023-12-11 15:32:52","SMR",19.5480333333333,"down",9.97e-05,1.79829554407675,"A14",0.088,-0.00387872548168988,1,1,0.000179290065744452,1.79829554407675,1.79829554407675
"min30_39",30.0158,0.883479482664778,7.98283828256816,-0.00619285432418957,22.86,22.97,22.91,"Ch3","2023-12-11 13:55:33","SMR",8.80371666666666,"down",4.28e-05,4.75182906483405,"E14",0.088,-0.00387872548168988,1,1,0.000203378283974897,4.75182906483405,4.75182906483405
"min42_70",41.8195166666667,0.925095652091585,8.05005115139447,-0.00837772254349136,22.71,23.27,23.02,"Ch3","2023-12-11 14:07:22","SMR",28.0242833333333,"down",4.28e-05,9.24189661013244,"E14",0.088,-0.00387872548168988,1,1,0.000395553174913669,9.24189661013245,9.24189661013244
"min73_124",72.8438,0.9850646558748,7.66124887099358,-0.00217792975390495,22.82,23.31,23.07,"Ch3","2023-12-11 14:38:23","SMR",51.4863,"down",4.28e-05,3.49914110837713,"E14",0.088,-0.00387872548168988,1,1,0.000149763239438541,3.49914110837713,3.49914110837713
"min127_147",127.3301,0.966480241768176,8.03913831179491,-0.0050300240685406,22.76,23.07,22.88,"Ch3","2023-12-11 15:32:52","SMR",19.5480333333333,"down",4.28e-05,2.36212594889555,"E14",0.088,-0.00387872548168988,1,1,0.00010109899061273,2.36212594889555,2.36212594889555
