"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min54_61",54,0.803970798623273,8.35671144562875,-0.00505883038872371,13.43,13.43,13.43,"Ch1",NA,"SMR",7,6.17565555488222e-16,3.84e-05,0.75283641665827,"A-D9-P3",0.088,-0.00538513333545951,1,1,2.89089183996776e-05,0.75283641665827,0.75283641665827
"min79_87",79,0.851272103542339,8.47884859488883,-0.0052883054732999,13.43,13.43,13.43,"Ch1",NA,"SMR",8,6.17565555488222e-16,3.84e-05,0.227185489589077,"A-D9-P3",0.088,-0.00538513333545951,1,1,8.72392280022055e-06,0.227185489589077,0.227185489589077
"min105_113",105,0.873031505174892,8.60537072638046,-0.00547255076439218,13.43,13.43,13.43,"Ch1",NA,"SMR",8,6.17565555488222e-16,3.84e-05,0.194859057206306,"A-D9-P3",0.088,-0.00538513333545951,1,1,7.48258779672217e-06,0.194859057206306,0.194859057206306
"min54_61",54,0.862608846918936,8.24347520063206,-0.00550856261513229,13.43,13.43,13.43,"Ch2",NA,"SMR",7,6.17565555488222e-16,6.35e-05,0.165543037561317,"A-D8-P5",0.088,-0.00538513333545951,1,1,1.05119828851436e-05,0.165543037561317,0.165543037561317
"min79_87",79,0.889149582841237,8.37806643084628,-0.00577435750360225,13.43,13.43,13.43,"Ch2",NA,"SMR",8,6.17565555488222e-16,6.35e-05,0.533622914883185,"A-D8-P5",0.088,-0.00538513333545951,1,1,3.38850550950822e-05,0.533622914883184,0.533622914883185
"min105_113",105,0.898552242066768,8.50324266669803,-0.00598096791531633,13.43,13.43,13.43,"Ch2",NA,"SMR",8,6.17565555488222e-16,6.35e-05,0.819742544327204,"A-D8-P5",0.088,-0.00538513333545951,1,1,5.20536515647774e-05,0.819742544327203,0.819742544327204
"min129_136",129,0.805762867807557,8.42505439579526,-0.00459534952213794,13.43,13.43,13.43,"Ch2",NA,"SMR",7,6.17565555488222e-16,6.35e-05,1.0990989018418,"A-D8-P5",0.088,-0.00538513333545951,1,1,6.97927802669541e-05,1.0990989018418,1.0990989018418
"min54_61",54,0.891138765112982,8.11410911436082,-0.00519481753068262,13.43,13.43,13.43,"Ch4",NA,"SMR",7,6.17565555488222e-16,0.0001408,0.12414219551624,"A-D9-P8",0.088,-0.00538513333545951,1,1,1.74792211286866e-05,0.12414219551624,0.12414219551624
"min79_87",79,0.917870889230341,8.24245983624944,-0.00556502789765305,13.43,13.43,13.43,"Ch4",NA,"SMR",8,6.17565555488222e-16,0.0001408,0.106869073473308,"A-D9-P8",0.088,-0.00538513333545951,1,1,1.50471655450418e-05,0.106869073473308,0.106869073473308
"min105_113",105,0.91795246172166,8.31901638960107,-0.00547910542051209,13.43,13.43,13.43,"Ch4",NA,"SMR",8,6.17565555488222e-16,0.0001408,0.0532534477373494,"A-D9-P8",0.088,-0.00538513333545951,1,1,7.49808544141879e-06,0.0532534477373494,0.0532534477373494
"min129_136",129,0.812824036078706,8.20215432839156,-0.00388563028993776,13.43,13.43,13.43,"Ch4",NA,"SMR",7,6.17565555488222e-16,0.0001408,0.941075033741033,"A-D9-P8",0.088,-0.00538513333545951,1,1,0.000132503364750737,0.941075033741032,0.941075033741033
