"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min65_76",64.9978,0.920553036212495,8.52392824825364,-0.00842442522189301,13.15,13.4,13.26,"Ch1","2024-02-14 17:17:44","SMR",10.7889,"up",6.9e-05,0.430305301707306,NA,0.088,-0.00808042123145989,1,1,2.96910658178041e-05,0.430305301707306,0.430305301707306
"min92_104",91.8587333333333,0.865197060774406,8.71706293052971,-0.00832786443040154,13.16,13.57,13.28,"Ch1","2024-02-14 17:44:35","SMR",12.372,"up",6.9e-05,0.307251867553155,NA,0.088,-0.00808042123145989,1,1,2.12003788611677e-05,0.307251867553155,0.307251867553155
"min124_134",123.570333333333,0.920859248390703,9.11835921196438,-0.00964755264996627,13.09,13.35,13.21,"Ch1","2024-02-14 18:16:18","SMR",10.7553,"up",6.9e-05,1.98901280718426,NA,0.088,-0.00808042123145989,1,1,0.000137241883695714,1.98901280718426,1.98901280718426
"min142_157",142.243916666667,0.835129513395918,8.65917676952605,-0.00545748511796971,13.29,13.57,13.41,"Ch1","2024-02-14 18:34:58","SMR",14.7559,"up",6.9e-05,3.3506513689895,NA,0.088,-0.00808042123145989,1,1,0.000231194944460276,3.3506513689895,3.3506513689895
"min65_76",64.9978,0.950394308489024,8.59760835356765,-0.0101937360467584,13.15,13.4,13.26,"Ch2","2024-02-14 17:17:44","SMR",10.7889,"up",0.0001144,1.6154330449521,NA,0.088,-0.00808042123145989,1,1,0.00018480554034252,1.6154330449521,1.6154330449521
"min92_104",91.8587333333333,0.903632254913911,8.8032336686528,-0.00981512464952557,13.16,13.57,13.28,"Ch2","2024-02-14 17:44:35","SMR",12.372,"up",0.0001144,1.32457212001638,NA,0.088,-0.00808042123145989,1,1,0.000151531050529874,1.32457212001638,1.32457212001638
"min124_134",123.570333333333,0.948918722769067,9.28392172324195,-0.0114573847689607,13.09,13.35,13.21,"Ch2","2024-02-14 18:16:18","SMR",10.7553,"up",0.0001144,2.58620687484705,NA,0.088,-0.00808042123145989,1,1,0.000295862066482502,2.58620687484705,2.58620687484705
"min142_157",142.243916666667,0.844087120779808,8.67755326730152,-0.00610839307757037,13.29,13.57,13.41,"Ch2","2024-02-14 18:34:58","SMR",14.7559,"up",0.0001144,1.52305312683874,NA,0.088,-0.00808042123145989,1,1,0.000174237277710352,1.52305312683874,1.52305312683874
"min65_76",64.9978,0.966998818234935,8.6149541162689,-0.010446554227336,13.15,13.4,13.26,"Ch4","2024-02-14 17:17:44","SMR",10.7889,"up",0.0001105,1.87389465515816,NA,0.088,-0.00808042123145989,1,1,0.000207065359394977,1.87389465515817,1.87389465515816
"min92_104",91.8587333333333,0.911736525045838,8.84419973226102,-0.0103273839812596,13.16,13.57,13.28,"Ch4","2024-02-14 17:44:35","SMR",12.372,"up",0.0001105,1.77910901404928,NA,0.088,-0.00808042123145989,1,1,0.000196591546052445,1.77910901404928,1.77910901404928
"min124_134",123.570333333333,0.954335595697849,9.28541758975825,-0.0116011525432555,13.09,13.35,13.21,"Ch4","2024-02-14 18:16:18","SMR",10.7553,"up",0.0001105,2.79223916816275,NA,0.088,-0.00808042123145989,1,1,0.000308542428081984,2.79223916816275,2.79223916816275
"min142_157",142.243916666667,0.87316261161417,8.70867878853201,-0.0064615294089241,13.29,13.57,13.41,"Ch4","2024-02-14 18:34:58","SMR",14.7559,"up",0.0001105,1.29571474554602,NA,0.088,-0.00808042123145989,1,1,0.000143176479382835,1.29571474554602,1.29571474554602
