"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min64_70",64,0.76671202201015,8.28850608893885,-0.00529374737787669,13.37,13.37,13.37,"Ch1",NA,"SMR",6,9.17081758314336e-16,6.9e-05,1.39170571593798,NA,0.088,-0.00419837279868585,1,1,9.60276943997206e-05,1.39170571593798,1.39170571593798
"min90_98",90,0.834108413141202,8.37218407347597,-0.00492732847228133,13.37,13.37,13.37,"Ch1",NA,"SMR",8,9.17081758314336e-16,6.9e-05,0.924755269736451,NA,0.088,-0.00419837279868585,1,1,6.38081136118151e-05,0.92475526973645,0.924755269736451
"min120_128",120,0.848358919292474,8.52964308235722,-0.00523380096349435,13.37,13.37,13.37,"Ch1",NA,"SMR",8,9.17081758314336e-16,6.9e-05,1.31531226429952,NA,0.088,-0.00419837279868585,1,1,9.07565462366671e-05,1.31531226429952,1.31531226429952
"min37_45",37,0.840560769644762,8.1197214553302,-0.00488332530712747,13.37,13.37,13.37,"Ch2",NA,"SMR",8,9.17081758314336e-16,0.0001144,0.522003219647967,NA,0.088,-0.00419837279868585,1,1,5.97171683277274e-05,0.522003219647967,0.522003219647967
"min64_70",64,0.884068307018587,8.3476759262492,-0.00685006352298306,13.37,13.37,13.37,"Ch2",NA,"SMR",6,9.17081758314336e-16,0.0001144,2.03291203209026,NA,0.088,-0.00419837279868585,1,1,0.000232565136471125,2.03291203209026,2.03291203209026
"min90_98",90,0.89019703662947,8.40282740822009,-0.00582792475450431,13.37,13.37,13.37,"Ch2",NA,"SMR",8,9.17081758314336e-16,0.0001144,1.24767357972124,NA,0.088,-0.00419837279868585,1,1,0.000142733857520109,1.24767357972124,1.24767357972124
"min120_128",120,0.874125523547839,8.55096349173967,-0.0058918513718964,13.37,13.37,13.37,"Ch2",NA,"SMR",8,9.17081758314336e-16,0.0001144,1.29678397417468,NA,0.088,-0.00419837279868585,1,1,0.000148352086645584,1.29678397417468,1.29678397417468
"min37_45",37,0.918683772058186,8.13393609476445,-0.00513746221463971,13.37,13.37,13.37,"Ch4",NA,"SMR",8,9.17081758314336e-16,0.0001105,0.742734651848165,NA,0.088,-0.00419837279868585,1,1,8.20721790292223e-05,0.742734651848166,0.742734651848165
"min64_70",64,0.929574954632252,8.36272251091131,-0.00706676443329427,13.37,13.37,13.37,"Ch4",NA,"SMR",6,9.17081758314336e-16,0.0001105,2.27726322511911,NA,0.088,-0.00419837279868585,1,1,0.000251637586375662,2.27726322511912,2.27726322511911
"min90_98",90,0.933626114472076,8.46528575022185,-0.00657094193331921,13.37,13.37,13.37,"Ch4",NA,"SMR",8,9.17081758314336e-16,0.0001105,1.88289588021814,NA,0.088,-0.00419837279868585,1,1,0.000208059994764104,1.88289588021814,1.88289588021814
"min120_128",120,0.9018103756065,8.54546082738684,-0.00598060297492654,13.37,13.37,13.37,"Ch4",NA,"SMR",8,9.17081758314336e-16,0.0001105,1.41335202606743,NA,0.088,-0.00419837279868585,1,1,0.000156175398880452,1.41335202606744,1.41335202606743
