"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min30_43",30.0140833333333,0.939528198946671,8.31312937779023,-0.00787563526749652,13.13,13.4,13.24,"Ch1","2024-02-15 09:59:13","SMR",13.1223,"up",4.53e-05,2.24165498048752,NA,0.088,-0.00902552395316092,1,1,0.000101546970616085,2.24165498048753,2.24165498048752
"min61_73",60.8034666666667,0.936736479464351,8.56163347402281,-0.00860238912845314,13.15,13.41,13.27,"Ch1","2024-02-15 10:30:00","SMR",11.8065166666667,"up",4.53e-05,0.830586154565198,NA,0.088,-0.00902552395316092,1,1,3.76255528018035e-05,0.830586154565199,0.830586154565198
"min88_98",88.4316666666667,0.923162824599601,8.78698779234131,-0.00883363879403946,13.2,13.42,13.3,"Ch1","2024-02-15 10:57:38","SMR",9.95496666666668,"up",4.53e-05,0.381590680795991,NA,0.088,-0.00902552395316092,1,1,1.72860578400584e-05,0.381590680795992,0.381590680795991
"min113_125",113.174583333333,0.940428357521053,8.85025491716684,-0.0077379314874155,13.27,13.57,13.39,"Ch1","2024-02-15 11:22:23","SMR",12.2897833333333,"up",4.53e-05,2.50902130865291,NA,0.088,-0.00902552395316092,1,1,0.000113658665281977,2.50902130865291,2.50902130865291
"min30_43",30.0140833333333,0.952065770078911,8.29122453360915,-0.0091868151893578,13.13,13.4,13.24,"Ch2","2024-02-15 09:59:13","SMR",13.1223,"up",0.0001409,0.0915486623502121,NA,0.088,-0.00902552395316092,1,1,1.28992065251449e-05,0.0915486623502121,0.0915486623502121
"min61_73",60.8034666666667,0.96698709608899,8.63599088473849,-0.0110919458430608,13.15,13.41,13.27,"Ch2","2024-02-15 10:30:00","SMR",11.8065166666667,"up",0.0001409,1.27950511811144,NA,0.088,-0.00902552395316092,1,1,0.000180282271141902,1.27950511811144,1.27950511811144
"min88_98",88.4316666666667,0.952433513400555,8.86217572099515,-0.0108531765094095,13.2,13.42,13.3,"Ch2","2024-02-15 10:57:38","SMR",9.95496666666668,"up",0.0001409,1.13061896649893,NA,0.088,-0.00902552395316092,1,1,0.000159304212379699,1.13061896649893,1.13061896649893
"min113_125",113.174583333333,0.966121129797362,8.93241707870428,-0.00956614258324142,13.27,13.57,13.39,"Ch2","2024-02-15 11:22:23","SMR",12.2897833333333,"up",0.0001409,0.32808069522431,NA,0.088,-0.00902552395316092,1,1,4.62265699571053e-05,0.32808069522431,0.32808069522431
"min30_43",30.0140833333333,0.957405069697076,8.3185071836843,-0.0088950086556053,13.13,13.4,13.24,"Ch4","2024-02-15 09:59:13","SMR",13.1223,"up",3.85e-05,0.307215688782736,NA,0.088,-0.00902552395316092,1,1,1.18278040181353e-05,0.307215688782736,0.307215688782736
"min61_73",60.8034666666667,0.96481794031338,8.6450602956006,-0.0103956108413012,13.15,13.41,13.27,"Ch4","2024-02-15 10:30:00","SMR",11.8065166666667,"up",3.85e-05,3.12123156205077,NA,0.088,-0.00902552395316092,1,1,0.000120167415138955,3.12123156205077,3.12123156205077
"min88_98",88.4316666666667,0.964136060732823,8.9542066756106,-0.0110788313497625,13.2,13.42,13.3,"Ch4","2024-02-15 10:57:38","SMR",9.95496666666668,"up",3.85e-05,4.68219521802528,NA,0.088,-0.00902552395316092,1,1,0.000180264515893973,4.68219521802527,4.68219521802528
"min113_125",113.174583333333,0.971151579476443,8.93822614148687,-0.00891527663077739,13.27,13.57,13.39,"Ch4","2024-02-15 11:22:23","SMR",12.2897833333333,"up",3.85e-05,0.260909156364558,NA,0.088,-0.00902552395316092,1,1,1.00450025200355e-05,0.260909156364558,0.260909156364558
