"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min30_44",30.014,0.937235938548902,8.38055742892982,-0.00972928242697507,13.14,13.45,13.27,"Ch1","2024-02-15 09:59:13","SMR",13.97405,"up",6.9e-05,1.77881324608184,NA,0.088,-0.00832690248984884,1,1,0.000122738113979647,1.77881324608184,1.77881324608184
"min61_73",61.0037833333333,0.954330126844856,8.68114284659022,-0.0107735351947685,13.17,13.49,13.31,"Ch1","2024-02-15 10:30:12","SMR",11.974,"up",6.9e-05,3.10956962470277,NA,0.088,-0.00832690248984884,1,1,0.000214560304104491,3.10956962470277,3.10956962470277
"min89_99",88.5791666666667,0.896196623499609,8.83287348570774,-0.00978069093477988,13.22,13.46,13.34,"Ch1","2024-02-15 10:57:47","SMR",10.4543166666667,"up",6.9e-05,1.84432631129611,NA,0.088,-0.00832690248984884,1,1,0.000127258515479432,1.84432631129611,1.84432631129611
"min113_125",113.270433333333,0.942268415923215,9.05953869657333,-0.0100572615460784,13.3,13.58,13.42,"Ch1","2024-02-15 11:22:28","SMR",12.1881833333333,"up",6.9e-05,2.19677747683365,NA,0.088,-0.00832690248984884,1,1,0.000151577645901522,2.19677747683365,2.19677747683365
"min30_44",30.014,0.931218057366385,8.37201594562424,-0.00897380783604678,13.14,13.45,13.27,"Ch2","2024-02-15 09:59:13","SMR",13.97405,"up",5.52e-05,1.02232457016067,NA,0.088,-0.00832690248984884,1,1,5.64323162728688e-05,1.02232457016067,1.02232457016067
"min61_73",61.0037833333333,0.935688544536581,8.6546113214673,-0.00994956040267605,13.17,13.49,13.31,"Ch2","2024-02-15 10:30:12","SMR",11.974,"up",5.52e-05,2.57689638758273,NA,0.088,-0.00832690248984884,1,1,0.000142244680594567,2.57689638758273,2.57689638758273
"min89_99",88.5791666666667,0.865731090591848,8.80688511936548,-0.00914273729723945,13.22,13.46,13.34,"Ch2","2024-02-15 10:57:47","SMR",10.4543166666667,"up",5.52e-05,1.29146347738344,NA,0.088,-0.00832690248984884,1,1,7.12887839515659e-05,1.29146347738344,1.29146347738344
"min113_125",113.270433333333,0.936961043221382,9.06978808300557,-0.00979447043142756,13.3,13.58,13.42,"Ch2","2024-02-15 11:22:28","SMR",12.1881833333333,"up",5.52e-05,2.32980659585349,NA,0.088,-0.00832690248984884,1,1,0.000128605324091112,2.32980659585348,2.32980659585349
"min30_44",30.014,0.942545061919775,8.32952260376704,-0.00874400944849735,13.14,13.45,13.27,"Ch3","2024-02-15 09:59:13","SMR",13.97405,"up",8.28e-05,0.434558072206923,NA,0.088,-0.00832690248984884,1,1,3.59814083787332e-05,0.434558072206923,0.434558072206923
"min61_73",61.0037833333333,0.941558840010719,8.62247051070773,-0.0100145218868632,13.17,13.49,13.31,"Ch3","2024-02-15 10:30:12","SMR",11.974,"up",8.28e-05,1.78359063436028,NA,0.088,-0.00832690248984884,1,1,0.000147681304525031,1.78359063436028,1.78359063436028
"min89_99",88.5791666666667,0.88644464690229,8.74527416596166,-0.00890718698062244,13.22,13.46,13.34,"Ch3","2024-02-15 10:57:47","SMR",10.4543166666667,"up",8.28e-05,0.607820291136247,NA,0.088,-0.00832690248984884,1,1,5.03275201060812e-05,0.607820291136247,0.607820291136247
"min113_125",113.270433333333,0.940394467715223,8.98200717161063,-0.00938965325800541,13.3,13.58,13.42,"Ch3","2024-02-15 11:22:28","SMR",12.1881833333333,"up",8.28e-05,1.12010391676347,NA,0.088,-0.00832690248984884,1,1,9.27446043080153e-05,1.12010391676347,1.12010391676347
"min30_44",30.014,0.928294311187522,8.24743398939439,-0.00802171138815095,13.14,13.45,13.27,"Ch4","2024-02-15 09:59:13","SMR",13.97405,"up",5.03e-05,0.541954453921242,NA,0.088,-0.00832690248984884,1,1,2.72603090322385e-05,0.541954453921242,0.541954453921242
"min61_73",61.0037833333333,0.925538063040279,8.50545887134694,-0.00898645017485601,13.17,13.49,13.31,"Ch4","2024-02-15 10:30:12","SMR",11.974,"up",5.03e-05,1.14489419158719,NA,0.088,-0.00832690248984884,1,1,5.75881778368355e-05,1.14489419158719,1.14489419158719
"min89_99",88.5791666666667,0.832487275654671,8.6349251898935,-0.00814884230823199,13.22,13.46,13.34,"Ch4","2024-02-15 10:57:47","SMR",10.4543166666667,"up",5.03e-05,0.319665661041491,NA,0.088,-0.00832690248984884,1,1,1.6079182750387e-05,0.31966566104149,0.319665661041491
"min113_125",113.270433333333,0.922713314782925,8.82881715189188,-0.00838415939358595,13.3,13.58,13.42,"Ch4","2024-02-15 11:22:28","SMR",12.1881833333333,"up",5.03e-05,0.0917869644407198,NA,0.088,-0.00832690248984884,1,1,4.6168843113682e-06,0.0917869644407197,0.0917869644407198
