"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min35_44",35,0.902750298683627,8.19859961078852,-0.00567162981570103,13.4,13.4,13.4,"Ch1",NA,"SMR",9,2.05047967701252e-16,9.43e-05,0.00556065198206155,NA,0.088,-0.00567151089286339,1,1,5.24369481908404e-07,0.00556065198206155,0.00556065198206155
"min64_73",64,0.932292369035511,8.33401675786907,-0.00622719724773927,13.4,13.4,13.4,"Ch1",NA,"SMR",9,2.05047967701252e-16,9.43e-05,0.512334830632189,NA,0.088,-0.00567151089286339,1,1,4.83131745286154e-05,0.512334830632189,0.512334830632189
"min95_105",95,0.916460481245991,8.40582478087939,-0.00558028573427518,13.4,13.4,13.4,"Ch1",NA,"SMR",10,2.05047967701252e-16,9.43e-05,0.0907108685101254,NA,0.088,-0.00567151089286339,1,1,8.55403490050482e-06,0.0907108685101253,0.0907108685101254
"min127_135",127,0.900656471239527,8.58347755143121,-0.0060860034474492,13.4,13.4,13.4,"Ch1",NA,"SMR",8,2.05047967701252e-16,9.43e-05,0.380715107936974,NA,0.088,-0.00567151089286339,1,1,3.59014346784566e-05,0.380715107936973,0.380715107936974
"min35_44",35,0.856988629738227,8.20267474181789,-0.00519794548388081,13.4,13.4,13.4,"Ch2",NA,"SMR",9,2.05047967701252e-16,8.13e-05,0.517790270089873,NA,0.088,-0.00567151089286339,1,1,4.20963489583067e-05,0.517790270089874,0.517790270089873
"min64_73",64,0.911481827686802,8.35914753637093,-0.00606143398119038,13.4,13.4,13.4,"Ch2",NA,"SMR",9,2.05047967701252e-16,8.13e-05,0.415995537393655,NA,0.088,-0.00567151089286339,1,1,3.38204371901042e-05,0.415995537393655,0.415995537393655
"min95_105",95,0.863122494408607,8.39028079494276,-0.00492024335792175,13.4,13.4,13.4,"Ch2",NA,"SMR",10,2.05047967701252e-16,8.13e-05,0.818100354979872,NA,0.088,-0.00567151089286339,1,1,6.65115588598636e-05,0.818100354979872,0.818100354979872
"min127_135",127,0.869757059528921,8.60576379755977,-0.00580402978065916,13.4,13.4,13.4,"Ch2",NA,"SMR",8,2.05047967701252e-16,8.13e-05,0.137635848768266,NA,0.088,-0.00567151089286339,1,1,1.118979450486e-05,0.137635848768266,0.137635848768266
"min35_44",35,0.920003243079814,8.19507903402846,-0.00586915370919721,13.4,13.4,13.4,"Ch3",NA,"SMR",9,2.05047967701252e-16,0.0001131,0.147911286939574,NA,0.088,-0.00567151089286339,1,1,1.67287665528658e-05,0.147911286939574,0.147911286939574
"min64_73",64,0.933633727332103,8.30117932054223,-0.00589541901275116,13.4,13.4,13.4,"Ch3",NA,"SMR",9,2.05047967701252e-16,0.0001131,0.168321332093558,NA,0.088,-0.00567151089286339,1,1,1.90371426597814e-05,0.168321332093558,0.168321332093558
"min95_105",95,0.931090140544915,8.41965033405685,-0.00583359344736677,13.4,13.4,13.4,"Ch3",NA,"SMR",10,2.05047967701252e-16,0.0001131,0.120278385299736,NA,0.088,-0.00567151089286339,1,1,1.36034853774001e-05,0.120278385299736,0.120278385299736
"min127_135",127,0.913595725890755,8.56110173849659,-0.00605472653947167,13.4,13.4,13.4,"Ch3",NA,"SMR",8,2.05047967701252e-16,0.0001131,0.292114830503221,NA,0.088,-0.00567151089286339,1,1,3.30381873299143e-05,0.29211483050322,0.292114830503221
"min35_44",35,0.905544726978874,8.11631988752792,-0.00543405111737467,13.4,13.4,13.4,"Ch4",NA,"SMR",9,2.05047967701252e-16,5.76e-05,0.368219819225144,NA,0.088,-0.00567151089286339,1,1,2.12094615873683e-05,0.368219819225144,0.368219819225144
"min64_73",64,0.918649742940176,8.22499096271487,-0.00551572781235905,13.4,13.4,13.4,"Ch4",NA,"SMR",9,2.05047967701252e-16,5.76e-05,0.24351765636066,NA,0.088,-0.00567151089286339,1,1,1.4026617006374e-05,0.243517656360659,0.24351765636066
"min95_105",95,0.92877769240868,8.3564141156427,-0.0055007165205167,13.4,13.4,13.4,"Ch4",NA,"SMR",10,2.05047967701252e-16,5.76e-05,0.266436563161296,NA,0.088,-0.00567151089286339,1,1,1.53467460380906e-05,0.266436563161296,0.266436563161296
"min127_135",127,0.865723658004794,8.46515226860395,-0.00536688806930278,13.4,13.4,13.4,"Ch4",NA,"SMR",8,2.05047967701252e-16,5.76e-05,0.470762868509127,NA,0.088,-0.00567151089286339,1,1,2.71159412261257e-05,0.470762868509127,0.470762868509127
