"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min41_48",41,0.79720204504434,7.9964094889561,-0.00432059250707302,13.37,13.37,13.37,"Ch1",NA,"SMR",7,7.39952567565414e-16,3.71e-05,2.0950587749531,NA,0.088,-0.00520202871808152,1,1,7.77266805507601e-05,2.0950587749531,2.0950587749531
"min60_67",60,0.830879595436277,8.09672795385594,-0.00501755163457947,13.37,13.37,13.37,"Ch1",NA,"SMR",7,7.39952567565414e-16,3.71e-05,0.442591226787682,NA,0.088,-0.00520202871808152,1,1,1.6420134513823e-05,0.442591226787682,0.442591226787682
"min86_93",86,0.882704128033809,8.26706000399354,-0.00586805043122058,13.37,13.37,13.37,"Ch1",NA,"SMR",7,7.39952567565414e-16,3.71e-05,1.57391391065335,NA,0.088,-0.00520202871808152,1,1,5.83922060852393e-05,1.57391391065335,1.57391391065335
"min118_125",118,0.860256867819386,8.38406273202668,-0.00553058152850592,13.37,13.37,13.37,"Ch1",NA,"SMR",7,7.39952567565414e-16,3.71e-05,0.7737860577531,NA,0.088,-0.00520202871808152,1,1,2.870746274264e-05,0.773786057753099,0.7737860577531
"min41_48",41,0.812608498621623,8.127027024058,-0.00465182125338683,13.37,13.37,13.37,"Ch2",NA,"SMR",7,7.39952567565414e-16,5.43e-05,0.896332427020097,NA,0.088,-0.00520202871808152,1,1,4.86708507871912e-05,0.896332427020097,0.896332427020097
"min60_67",60,0.858402444422101,8.23801610553923,-0.0054957136909824,13.37,13.37,13.37,"Ch2",NA,"SMR",7,7.39952567565414e-16,5.43e-05,0.470457833551703,NA,0.088,-0.00520202871808152,1,1,2.55458603618575e-05,0.470457833551703,0.470457833551703
"min86_93",86,0.896935551612266,8.43380090132316,-0.00649953377953318,13.37,13.37,13.37,"Ch2",NA,"SMR",7,7.39952567565414e-16,5.43e-05,2.09627109988062,NA,0.088,-0.00520202871808152,1,1,0.000113827520723518,2.09627109988062,2.09627109988062
"min118_125",118,0.884651009617878,8.55768935266038,-0.00606148343697261,13.37,13.37,13.37,"Ch2",NA,"SMR",7,7.39952567565414e-16,5.43e-05,1.38679330960937,NA,0.088,-0.00520202871808152,1,1,7.53028767117887e-05,1.38679330960937,1.38679330960937
"min41_48",41,0.881713647002429,8.1524982640822,-0.00469838884067463,13.37,13.37,13.37,"Ch4",NA,"SMR",7,7.39952567565414e-16,4.65e-05,0.957823318126826,NA,0.088,-0.00520202871808152,1,1,4.45387842928974e-05,0.957823318126825,0.957823318126826
"min60_67",60,0.915575104075617,8.29324528791169,-0.00588552128459386,13.37,13.37,13.37,"Ch4",NA,"SMR",7,7.39952567565414e-16,4.65e-05,1.28760578738393,NA,0.088,-0.00520202871808152,1,1,5.98736691133526e-05,1.28760578738392,1.28760578738393
"min86_93",86,0.93712449367062,8.50525773609922,-0.00697457392903544,13.37,13.37,13.37,"Ch4",NA,"SMR",7,7.39952567565414e-16,4.65e-05,3.34751958873645,NA,0.088,-0.00520202871808152,1,1,0.000155659660876245,3.34751958873645,3.34751958873645
"min118_125",118,0.903056166674126,8.6063392696089,-0.00620372476193886,13.37,13.37,13.37,"Ch4",NA,"SMR",7,7.39952567565414e-16,4.65e-05,1.88947911092508,NA,0.088,-0.00520202871808152,1,1,8.78607786580161e-05,1.88947911092508,1.88947911092508
