"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min54_64",54,0.918396177420411,7.90309866798412,-0.00540838827083343,13.39,13.39,13.39,"Ch1",NA,"SMR",10,-1.31148073663627e-17,0.0001294,0.325428718428043,"A-D2-P4",0.088,-0.00492190734348304,1,1,4.21104761645888e-05,0.325428718428043,0.325428718428043
"min74_81",74,0.769717864856226,7.86335700306959,-0.00414769708341989,13.39,13.39,13.39,"Ch1",NA,"SMR",7,-1.31148073663627e-17,0.0001294,0.530658538548312,"A-D2-P4",0.088,-0.00492190734348304,1,1,6.86672148881515e-05,0.530658538548312,0.530658538548312
"min98_106",98,0.895943021036562,8.09945938306544,-0.0058740153799361,13.39,13.39,13.39,"Ch1",NA,"SMR",8,-1.31148073663627e-17,0.0001294,0.641618312347031,"A-D2-P4",0.088,-0.00492190734348304,1,1,8.30254096177058e-05,0.641618312347032,0.641618312347031
"min129_137",129,0.871553636703957,8.20297922423395,-0.00569871931365026,13.39,13.39,13.39,"Ch1",NA,"SMR",8,-1.31148073663627e-17,0.0001294,0.522581445869623,"A-D2-P4",0.088,-0.00492190734348304,1,1,6.76220390955293e-05,0.522581445869624,0.522581445869623
"min54_64",54,0.921751975352267,8.12626682543368,-0.00562991720651148,13.39,13.39,13.39,"Ch2",NA,"SMR",10,-1.31148073663627e-17,0.0001278,0.481888611326376,"A-D1-P3",0.088,-0.00492190734348304,1,1,6.15853645275108e-05,0.481888611326376,0.481888611326376
"min74_81",74,0.785697026793306,8.07749536658361,-0.00413266117506851,13.39,13.39,13.39,"Ch2",NA,"SMR",7,-1.31148073663627e-17,0.0001278,0.54758855178914,"A-D1-P3",0.088,-0.00492190734348304,1,1,6.99818169186521e-05,0.54758855178914,0.54758855178914
"min98_106",98,0.905962432008909,8.34439471221489,-0.00604284996833577,13.39,13.39,13.39,"Ch2",NA,"SMR",8,-1.31148073663627e-17,0.0001278,0.765811226612577,"A-D1-P3",0.088,-0.00492190734348304,1,1,9.78706747610873e-05,0.765811226612577,0.765811226612577
"min129_137",129,0.898378510969592,8.49557071540725,-0.00614313037095759,13.39,13.39,13.39,"Ch2",NA,"SMR",8,-1.31148073663627e-17,0.0001278,0.834761614681943,"A-D1-P3",0.088,-0.00492190734348304,1,1,0.000106682534356352,0.834761614681944,0.834761614681943
"min54_64",54,0.950374660124874,8.13297616450097,-0.00586578380351439,13.39,13.39,13.39,"Ch4",NA,"SMR",10,-1.31148073663627e-17,0.0001126,0.731799655652605,"A-D5-P6",0.088,-0.00492190734348304,1,1,8.24006412264833e-05,0.731799655652606,0.731799655652605
"min74_81",74,0.869246931828708,8.09278645542165,-0.00451763062269818,13.39,13.39,13.39,"Ch4",NA,"SMR",7,-1.31148073663627e-17,0.0001126,0.320471018092213,"A-D5-P6",0.088,-0.00492190734348304,1,1,3.60850366371832e-05,0.320471018092213,0.320471018092213
"min98_106",98,0.938477279524513,8.3803231827308,-0.00662085035852748,13.39,13.39,13.39,"Ch4",NA,"SMR",8,-1.31148073663627e-17,0.0001126,1.32114988964068,"A-D5-P6",0.088,-0.00492190734348304,1,1,0.000148761477573541,1.32114988964068,1.32114988964068
"min129_137",129,0.941321861718694,8.56619412545201,-0.00690564049925026,13.39,13.39,13.39,"Ch4",NA,"SMR",8,-1.31148073663627e-17,0.0001126,1.54343643505595,"A-D5-P6",0.088,-0.00492190734348304,1,1,0.0001737909425873,1.54343643505595,1.54343643505595
