"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min30_40",30.0001666666667,0.902766973881771,8.23681141149967,-0.01015328750779,13.26,13.54,13.41,"Ch1","2024-02-16 15:30:56","SMR",9.67353333333334,"up",6.36e-05,0.0275427087390719,NA,0.088,-0.0101260435832298,1,1,1.75171627580498e-06,0.0275427087390719,0.0275427087390719
"min100_112",99.70505,0.932116435343816,8.98734314274025,-0.0115011917319624,13.21,13.59,13.38,"Ch1","2024-02-16 16:40:39","SMR",12.62165,"up",6.36e-05,1.89121951720627,NA,0.088,-0.0101260435832298,1,1,0.000120281561294319,1.89121951720627,1.89121951720627
"min131_144",131.498666666667,0.943635246294069,9.06613884163971,-0.00985157917214402,13.23,13.53,13.38,"Ch1","2024-02-16 17:12:26","SMR",12.5714166666667,"up",6.36e-05,0.389613657403996,NA,0.088,-0.0101260435832298,1,1,2.47794286108941e-05,0.389613657403996,0.389613657403996
"min30_40",30.0001666666667,0.888926265784892,8.2285380464849,-0.00965229022522168,13.26,13.54,13.41,"Ch2","2024-02-16 15:30:56","SMR",9.67353333333334,"up",7.75e-05,0.54759158706021,NA,0.088,-0.0101260435832298,1,1,4.24383479971662e-05,0.54759158706021,0.54759158706021
"min100_112",99.70505,0.927806803134917,8.9439518883267,-0.0112054190163157,13.21,13.59,13.38,"Ch2","2024-02-16 16:40:39","SMR",12.62165,"up",7.75e-05,1.21440797597158,NA,0.088,-0.0101260435832298,1,1,9.41166181377976e-05,1.21440797597158,1.21440797597158
"min131_144",131.498666666667,0.92171614743092,8.96096482652595,-0.00923791035846389,13.23,13.53,13.38,"Ch2","2024-02-16 17:12:26","SMR",12.5714166666667,"up",7.75e-05,1.01769886235068,NA,0.088,-0.0101260435832298,1,1,7.8871661832178e-05,1.01769886235068,1.01769886235068
"min30_40",30.0001666666667,0.901764638342323,8.16250347733853,-0.00953729556848802,13.26,13.54,13.41,"Ch3","2024-02-16 15:30:56","SMR",9.67353333333334,"up",9.3e-05,0.566632191238098,NA,0.088,-0.0101260435832298,1,1,5.26967937851432e-05,0.566632191238098,0.566632191238098
"min100_112",99.70505,0.933400828675524,8.79732763479485,-0.0105744359201773,13.21,13.59,13.38,"Ch3","2024-02-16 16:40:39","SMR",12.62165,"up",9.3e-05,0.413710786137703,NA,0.088,-0.0101260435832298,1,1,3.84751031108064e-05,0.413710786137703,0.413710786137703
"min131_144",131.498666666667,0.938227029642154,8.87981338488262,-0.00924544634832692,13.23,13.53,13.38,"Ch3","2024-02-16 17:12:26","SMR",12.5714166666667,"up",9.3e-05,0.842498743890806,NA,0.088,-0.0101260435832298,1,1,7.83523831818449e-05,0.842498743890805,0.842498743890806
"min30_40",30.0001666666667,0.848122727086722,8.08845390907992,-0.00802463811783111,13.26,13.54,13.41,"Ch4","2024-02-16 15:30:56","SMR",9.67353333333334,"up",0.000115,1.61605664642289,NA,0.088,-0.0101260435832298,1,1,0.000185846514338632,1.61605664642289,1.61605664642289
"min100_112",99.70505,0.925905610895826,8.71988416326854,-0.00992174720329262,13.21,13.59,13.38,"Ch4","2024-02-16 16:40:39","SMR",12.62165,"up",0.000115,0.166252890111718,NA,0.088,-0.0101260435832298,1,1,1.91190823628476e-05,0.166252890111718,0.166252890111718
"min131_144",131.498666666667,0.914164807281893,8.72135951444187,-0.00811496799047742,13.23,13.53,13.38,"Ch4","2024-02-16 17:12:26","SMR",12.5714166666667,"up",0.000115,1.54702498679227,NA,0.088,-0.0101260435832298,1,1,0.000177907873481112,1.54702498679228,1.54702498679227
