"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min30_39",30.0011,0.878608285135204,8.16952188985764,-0.00810551299649332,13.3,13.49,13.4,"Ch1","2024-02-17 09:49:05","SMR",9.28816666666667,"up",5.38e-05,0.584711436125451,NA,0.088,-0.00845802889040625,1,1,3.14574752635493e-05,0.584711436125451,0.584711436125451
"min54_67",54.3765166666667,0.950255682949145,8.40663955544269,-0.0090915960195806,13.29,13.58,13.41,"Ch1","2024-02-17 10:13:27","SMR",12.9839,"up",5.38e-05,1.02722638478604,NA,0.088,-0.00845802889040625,1,1,5.52647795014892e-05,1.02722638478604,1.02722638478604
"min86_97",85.8323,0.934026397790872,8.70549387074829,-0.00985071805479571,13.27,13.51,13.39,"Ch1","2024-02-17 10:44:55","SMR",10.9713166666667,"up",5.38e-05,2.26815386310268,NA,0.088,-0.00845802889040625,1,1,0.000122026677834924,2.26815386310268,2.26815386310268
"min139_157",139.28365,0.938910477246893,8.81791467010361,-0.00755877750783767,13.24,13.69,13.47,"Ch1","2024-02-17 11:38:22","SMR",17.7066,"up",5.38e-05,1.47845323226686,NA,0.088,-0.00845802889040625,1,1,7.95407838959568e-05,1.47845323226686,1.47845323226686
"min30_39",30.0011,0.874393051003948,8.13367897608971,-0.0082023147405258,13.3,13.49,13.4,"Ch2","2024-02-17 09:49:05","SMR",9.28816666666667,"up",0.0001196,0.196353194251226,NA,0.088,-0.00845802889040625,1,1,2.34838420324466e-05,0.196353194251226,0.196353194251226
"min54_67",54.3765166666667,0.944319344041657,8.35199339466584,-0.0092204148317901,13.29,13.58,13.41,"Ch2","2024-02-17 10:13:27","SMR",12.9839,"up",0.0001196,0.551732451738266,NA,0.088,-0.00845802889040625,1,1,6.59872012278966e-05,0.551732451738267,0.551732451738266
"min86_97",85.8323,0.934280900119296,8.63213553628998,-0.0100499521646443,13.27,13.51,13.39,"Ch2","2024-02-17 10:44:55","SMR",10.9713166666667,"up",0.0001196,1.16126483155566,NA,0.088,-0.00845802889040625,1,1,0.000138887273854057,1.16126483155566,1.16126483155566
"min139_157",139.28365,0.940589096954548,8.73564094798359,-0.00788546355841671,13.24,13.69,13.47,"Ch2","2024-02-17 11:38:22","SMR",17.7066,"up",0.0001196,0.429170992112595,NA,0.088,-0.00845802889040625,1,1,5.13288506566663e-05,0.429170992112595,0.429170992112595
"min30_39",30.0011,0.843481140915578,8.14176010913067,-0.00667182921138616,13.3,13.49,13.4,"Ch3","2024-02-17 09:49:05","SMR",9.28816666666667,"up",5.7e-05,2.76431343892661,NA,0.088,-0.00845802889040625,1,1,0.000157565866018817,2.76431343892662,2.76431343892661
"min54_67",54.3765166666667,0.944802159299506,8.39432864864975,-0.00833777770877711,13.29,13.58,13.41,"Ch3","2024-02-17 10:13:27","SMR",12.9839,"up",5.7e-05,0.193988724785348,NA,0.088,-0.00845802889040625,1,1,1.10573573127649e-05,0.193988724785348,0.193988724785348
"min86_97",85.8323,0.927169339345504,8.67056989425356,-0.00898894867489042,13.27,13.51,13.39,"Ch3","2024-02-17 10:44:55","SMR",10.9713166666667,"up",5.7e-05,0.810676683511194,NA,0.088,-0.00845802889040625,1,1,4.62085709601381e-05,0.810676683511195,0.810676683511194
"min139_157",139.28365,0.92977390990062,8.82503937073129,-0.00722384682090586,13.24,13.69,13.47,"Ch3","2024-02-17 11:38:22","SMR",17.7066,"up",5.7e-05,1.91262774359344,NA,0.088,-0.00845802889040625,1,1,0.000109019781384826,1.91262774359344,1.91262774359344
"min30_39",30.0011,0.835756442671428,8.12936425924802,-0.00679245161854125,13.3,13.49,13.4,"Ch4","2024-02-17 09:49:05","SMR",9.28816666666667,"up",5.23e-05,2.80929340619063,NA,0.088,-0.00845802889040625,1,1,0.00014692604514377,2.80929340619063,2.80929340619063
"min54_67",54.3765166666667,0.930906398387395,8.33347699655021,-0.00773301952940301,13.29,13.58,13.41,"Ch4","2024-02-17 10:13:27","SMR",12.9839,"up",5.23e-05,1.22763404760369,NA,0.088,-0.00845802889040625,1,1,6.42052606896731e-05,1.22763404760369,1.22763404760369
"min86_97",85.8323,0.915433001854449,8.57138647926535,-0.00820988381373481,13.27,13.51,13.39,"Ch4","2024-02-17 10:44:55","SMR",10.9713166666667,"up",5.23e-05,0.425738884714058,NA,0.088,-0.00845802889040625,1,1,2.22661436705452e-05,0.425738884714058,0.425738884714058
"min139_157",139.28365,0.905043987576484,8.62585830980017,-0.00603307290702235,13.24,13.69,13.47,"Ch4","2024-02-17 11:38:22","SMR",17.7066,"up",5.23e-05,4.0862649378742,NA,0.088,-0.00845802889040625,1,1,0.000213711656250821,4.0862649378742,4.0862649378742
