"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min46_59",46.0383333333333,0.933428344907999,8.01739135044229,-0.00835316484963195,13.09,13.49,13.26,"Ch1","2024-02-18 11:14:05","SMR",13.2931,"up",7.06e-05,1.76959101932587,NA,0.088,-0.00976615794651857,1,1,0.000124933125964407,1.76959101932587,1.76959101932587
"min78_88",78.1862,0.833209173757422,8.3847213978686,-0.0101691727000732,13.07,13.47,13.23,"Ch1","2024-02-18 11:46:14","SMR",9.97048333333333,"up",7.06e-05,0.492172163175383,NA,0.088,-0.00976615794651857,1,1,3.47473547201821e-05,0.492172163175383,0.492172163175383
"min106_117",106.361166666667,0.873789900920124,8.5595665737765,-0.00954758098362695,13.06,13.43,13.24,"Ch1","2024-02-18 12:14:25","SMR",10.9878,"up",7.06e-05,0.281994786854202,NA,0.088,-0.00976615794651857,1,1,1.99088319519067e-05,0.281994786854202,0.281994786854202
"min135_145",135.38555,0.899437378373132,8.81668417069373,-0.00970151590450262,13.15,13.37,13.25,"Ch1","2024-02-18 12:43:26","SMR",9.27348333333333,"up",7.06e-05,0.0902751660093728,NA,0.088,-0.00976615794651857,1,1,6.37342672026172e-06,0.0902751660093729,0.0902751660093728
"min46_59",46.0383333333333,0.955051787272103,8.38107759141675,-0.0103230254144947,13.09,13.49,13.26,"Ch2","2024-02-18 11:14:05","SMR",13.2931,"up",8.53e-05,0.564170962649976,NA,0.088,-0.00976615794651857,1,1,4.8123783114043e-05,0.564170962649976,0.564170962649976
"min78_88",78.1862,0.864612326664914,8.81105696778949,-0.0122359639799898,13.07,13.47,13.23,"Ch2","2024-02-18 11:46:14","SMR",9.97048333333333,"up",8.53e-05,2.53574681380979,NA,0.088,-0.00976615794651857,1,1,0.000216299203217975,2.53574681380979,2.53574681380979
"min106_117",106.361166666667,0.898459910528555,9.01189171380176,-0.0114112075417779,13.06,13.43,13.24,"Ch2","2024-02-18 12:14:25","SMR",10.9878,"up",8.53e-05,1.68570912519938,NA,0.088,-0.00976615794651857,1,1,0.000143790988379507,1.68570912519938,1.68570912519938
"min135_145",135.38555,0.936831173630102,9.39807392320816,-0.0122029952646331,13.15,13.37,13.25,"Ch2","2024-02-18 12:43:26","SMR",9.27348333333333,"up",8.53e-05,2.50176750876911,NA,0.088,-0.00976615794651857,1,1,0.000213400768498005,2.50176750876911,2.50176750876911
"min46_59",46.0383333333333,0.95091653715765,8.38222619135656,-0.00932595356004262,13.09,13.49,13.26,"Ch4","2024-02-18 11:14:05","SMR",13.2931,"up",4.86e-05,0.806403854997978,NA,0.088,-0.00976615794651857,1,1,3.91912273529017e-05,0.806403854997978,0.806403854997978
"min78_88",78.1862,0.865445724839892,8.83259904407147,-0.0115503203960161,13.07,13.47,13.23,"Ch4","2024-02-18 11:46:14","SMR",9.97048333333333,"up",4.86e-05,3.21903189268593,NA,0.088,-0.00976615794651857,1,1,0.000156444949984536,3.21903189268593,3.21903189268593
"min106_117",106.361166666667,0.90085728522663,9.04396176259829,-0.0108167614545239,13.06,13.43,13.24,"Ch4","2024-02-18 12:14:25","SMR",10.9878,"up",4.86e-05,1.8915105781436,NA,0.088,-0.00976615794651857,1,1,9.19274140977792e-05,1.8915105781436,1.8915105781436
"min135_145",135.38555,0.938361072664214,9.36027695676856,-0.0110357334316765,13.15,13.37,13.25,"Ch4","2024-02-18 12:43:26","SMR",9.27348333333333,"up",4.86e-05,2.28778407508474,NA,0.088,-0.00976615794651857,1,1,0.000111186306049118,2.28778407508474,2.28778407508474
