"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min49_61",49.1351,0.944202080757158,8.42533947857763,-0.00975583644009105,13.29,13.58,13.42,"Ch1","2024-02-18 11:17:11","SMR",11.5354333333333,"up",8.37e-05,2.1586327216645,NA,0.088,-0.00769340323198475,1,1,0.000180677558803319,2.1586327216645,2.1586327216645
"min79_92",79.2759833333333,0.949275108874719,8.69468998700615,-0.00987495711176223,13.25,13.54,13.38,"Ch1","2024-02-18 11:47:19","SMR",12.3390666666667,"up",8.37e-05,2.28375397264234,NA,0.088,-0.00769340323198475,1,1,0.000191150207510164,2.28375397264234,2.28375397264234
"min107_120",107.302516666667,0.957675150837249,8.91182820992859,-0.00982622100697747,13.22,13.59,13.4,"Ch1","2024-02-18 12:15:21","SMR",12.9942833333333,"up",8.37e-05,2.23256283752778,NA,0.088,-0.00769340323198475,1,1,0.000186865509501075,2.23256283752778,2.23256283752778
"min136_150",136.0218,0.968011409396638,9.00241931146393,-0.00882380498263901,13.31,13.61,13.45,"Ch1","2024-02-18 12:44:04","SMR",14.0866333333333,"up",8.37e-05,1.17965115388922,NA,0.088,-0.00769340323198475,1,1,9.87368015805278e-05,1.17965115388922,1.17965115388922
"min49_61",49.1351,0.948902993590375,8.41742905960924,-0.0096942124231119,13.29,13.58,13.42,"Ch2","2024-02-18 11:17:11","SMR",11.5354333333333,"up",5.71e-05,3.07386461103029,NA,0.088,-0.00769340323198475,1,1,0.000175517669289829,3.07386461103029,3.07386461103029
"min79_92",79.2759833333333,0.94187380380648,8.68060301993532,-0.00974024297207332,13.25,13.54,13.38,"Ch2","2024-02-18 11:47:19","SMR",12.3390666666667,"up",5.71e-05,3.14475883106986,NA,0.088,-0.00769340323198475,1,1,0.000179565729254089,3.14475883106985,3.14475883106986
"min107_120",107.302516666667,0.9427907777962,8.869570413578,-0.00946904579853232,13.22,13.59,13.4,"Ch2","2024-02-18 12:15:21","SMR",12.9942833333333,"up",5.71e-05,2.72707291315394,NA,0.088,-0.00769340323198475,1,1,0.00015571586334109,2.72707291315394,2.72707291315394
"min136_150",136.0218,0.963607892015079,8.99607973754007,-0.00876221568219969,13.31,13.61,13.45,"Ch2","2024-02-18 12:44:04","SMR",14.0866333333333,"up",5.71e-05,1.6384443625825,NA,0.088,-0.00769340323198475,1,1,9.3555173103461e-05,1.6384443625825,1.6384443625825
"min49_61",49.1351,0.94584686043274,8.43472871975288,-0.00964278597594598,13.29,13.58,13.42,"Ch3","2024-02-18 11:17:11","SMR",11.5354333333333,"up",9.47e-05,1.8018216434706,NA,0.088,-0.00769340323198475,1,1,0.000170632509636666,1.8018216434706,1.8018216434706
"min79_92",79.2759833333333,0.953995999177296,8.71716390458135,-0.00989751245250231,13.25,13.54,13.38,"Ch3","2024-02-18 11:47:19","SMR",12.3390666666667,"up",9.47e-05,2.03827156257965,NA,0.088,-0.00769340323198475,1,1,0.000193024316976293,2.03827156257965,2.03827156257965
"min107_120",107.302516666667,0.954554422168013,8.92661590896001,-0.0097455625122684,13.22,13.59,13.4,"Ch3","2024-02-18 12:15:21","SMR",12.9942833333333,"up",9.47e-05,1.89722399044403,NA,0.088,-0.00769340323198475,1,1,0.000179667111895049,1.89722399044403,1.89722399044403
"min136_150",136.0218,0.969821108578773,9.04789742986672,-0.00893292577158443,13.31,13.61,13.45,"Ch3","2024-02-18 12:44:04","SMR",14.0866333333333,"up",9.47e-05,1.1428937213749,NA,0.088,-0.00769340323198475,1,1,0.000108232035414203,1.1428937213749,1.1428937213749
"min49_61",49.1351,0.935965601899504,8.34817640275623,-0.00853822472700073,13.29,13.58,13.42,"Ch4","2024-02-18 11:17:11","SMR",11.5354333333333,"up",9.1e-05,0.808432012211529,NA,0.088,-0.00769340323198475,1,1,7.35673131112491e-05,0.808432012211529,0.808432012211529
"min79_92",79.2759833333333,0.945591179676408,8.59516712470957,-0.00884331178669339,13.25,13.54,13.38,"Ch4","2024-02-18 11:47:19","SMR",12.3390666666667,"up",9.1e-05,1.10315616968979,NA,0.088,-0.00769340323198475,1,1,0.000100387211441771,1.10315616968979,1.10315616968979
"min107_120",107.302516666667,0.940528256482195,8.80001622499363,-0.00892313830409183,13.22,13.59,13.4,"Ch4","2024-02-18 12:15:21","SMR",12.9942833333333,"up",9.1e-05,1.18027121714012,NA,0.088,-0.00769340323198475,1,1,0.000107404680759751,1.18027121714012,1.18027121714012
"min136_150",136.0218,0.963429119908861,8.8818243072828,-0.00799581849704996,13.31,13.61,13.45,"Ch4","2024-02-18 12:44:04","SMR",14.0866333333333,"up",9.1e-05,0.284449712555022,NA,0.088,-0.00769340323198475,1,1,2.5884923842507e-05,0.284449712555022,0.284449712555022
