"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min45_55",45,0.925567749666933,8.19795820405136,-0.00524995605731863,13.33,13.33,13.33,"Ch1",NA,"SMR",10,-9.90947350502271e-16,8.37e-05,0.819239640829697,"B-B14-P5",0.088,-0.0044657540202795,1,1,6.85703579374456e-05,0.819239640829696,0.819239640829697
"min76_85",76,0.914910850974282,8.3916449887745,-0.0061888728134186,13.33,13.33,13.33,"Ch1",NA,"SMR",9,-9.90947350502271e-16,8.37e-05,1.8054533469744,"B-B14-P5",0.088,-0.0044657540202795,1,1,0.000151116445141757,1.8054533469744,1.8054533469744
"min105_115",105,0.940861980485442,8.45506916003709,-0.00566955969995728,13.33,13.33,13.33,"Ch1",NA,"SMR",10,-9.90947350502271e-16,8.37e-05,1.25998037831252,"B-B14-P5",0.088,-0.0044657540202795,1,1,0.000105460357664758,1.25998037831252,1.25998037831252
"min134_145",134,0.946397868619979,8.5394557803802,-0.00542843764569115,13.33,13.33,13.33,"Ch1",NA,"SMR",11,-9.90947350502271e-16,8.37e-05,1.00671205263179,"B-B14-P5",0.088,-0.0044657540202795,1,1,8.42617988052806e-05,1.00671205263179,1.00671205263179
"min45_55",45,0.914847847698829,8.19265540481413,-0.00523525253087572,13.33,13.33,13.33,"Ch2",NA,"SMR",10,-9.90947350502271e-16,5.71e-05,1.18068189164543,"B-B15-P4",0.088,-0.0044657540202795,1,1,6.74169360129541e-05,1.18068189164543,1.18068189164543
"min76_85",76,0.888858574745575,8.34354726914465,-0.00563605202464225,13.33,13.33,13.33,"Ch2",NA,"SMR",9,-9.90947350502271e-16,5.71e-05,1.79797558342057,"B-B15-P4",0.088,-0.0044657540202795,1,1,0.000102664405813315,1.79797558342057,1.79797558342057
"min105_115",105,0.920157463482589,8.45395156657479,-0.00568056617818851,13.33,13.33,13.33,"Ch2",NA,"SMR",10,-9.90947350502271e-16,5.71e-05,1.86653431816494,"B-B15-P4",0.088,-0.0044657540202795,1,1,0.000106579109567218,1.86653431816494,1.86653431816494
"min134_145",134,0.931007242262006,8.53407724967562,-0.00537318031396429,13.33,13.33,13.33,"Ch2",NA,"SMR",11,-9.90947350502271e-16,5.71e-05,1.39311217597783,"B-B15-P4",0.088,-0.0044657540202795,1,1,7.9546705248334e-05,1.39311217597783,1.39311217597783
"min45_55",45,0.940828215357503,8.20965602295775,-0.00517287780668378,13.33,13.33,13.33,"Ch3",NA,"SMR",10,-9.90947350502271e-16,9.47e-05,0.651922087384197,"B-B13-P5",0.088,-0.0044657540202795,1,1,6.17370216752834e-05,0.651922087384196,0.651922087384197
"min76_85",76,0.926114964936345,8.38705515429352,-0.00587436310268982,13.33,13.33,13.33,"Ch3",NA,"SMR",9,-9.90947350502271e-16,9.47e-05,1.303075998588,"B-B13-P5",0.088,-0.0044657540202795,1,1,0.000123401297066283,1.30307599858799,1.303075998588
"min105_115",105,0.948622489548177,8.51339423394597,-0.00598096051304961,13.33,13.33,13.33,"Ch3",NA,"SMR",10,-9.90947350502271e-16,9.47e-05,1.40202507289529,"B-B13-P5",0.088,-0.0044657540202795,1,1,0.000132771774403184,1.40202507289529,1.40202507289529
"min134_145",134,0.953887868437734,8.55030523026583,-0.00529164775964439,13.33,13.33,13.33,"Ch3",NA,"SMR",11,-9.90947350502271e-16,9.47e-05,0.762170327574147,"B-B13-P5",0.088,-0.0044657540202795,1,1,7.21775300212718e-05,0.762170327574147,0.762170327574147
"min45_55",45,0.933667150667515,8.1778580292642,-0.00511589886680998,13.33,13.33,13.33,"Ch4",NA,"SMR",10,-9.90947350502271e-16,9.1e-05,0.623595601074751,"B-B11-P4",0.088,-0.0044657540202795,1,1,5.67471996978024e-05,0.623595601074751,0.623595601074751
"min76_85",76,0.926916975410594,8.34979074997666,-0.00584914815711073,13.33,13.33,13.33,"Ch4",NA,"SMR",9,-9.90947350502271e-16,9.1e-05,1.3319385885588,"B-B11-P4",0.088,-0.0044657540202795,1,1,0.000121206411558851,1.3319385885588,1.3319385885588
"min105_115",105,0.931961745831725,8.44020224618512,-0.00563852138525643,13.33,13.33,13.33,"Ch4",NA,"SMR",10,-9.90947350502271e-16,9.1e-05,1.12846618320782,"B-B11-P4",0.088,-0.0044657540202795,1,1,0.000102690422671911,1.12846618320782,1.12846618320782
"min134_145",134,0.930684107946195,8.46857143118041,-0.00495289982653343,13.33,13.33,13.33,"Ch4",NA,"SMR",11,-9.90947350502271e-16,9.1e-05,0.46613315457287,"B-B11-P4",0.088,-0.0044657540202795,1,1,4.24181170661312e-05,0.46613315457287,0.46613315457287
