"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min45_52",45,0.802883901051242,7.77333334785577,-0.00476435323522851,13.41,13.41,13.41,"Ch1",NA,"SMR",7,4.16170924422496e-16,4.67e-05,0.947807864773728,NA,0.088,-0.00526480928055633,1,1,4.42626272849331e-05,0.947807864773727,0.947807864773728
"min69_77",69,0.821017054311686,7.85449667331447,-0.00459567225284154,13.41,13.41,13.41,"Ch1",NA,"SMR",8,4.16170924422496e-16,4.67e-05,1.26549628122289,NA,0.088,-0.00526480928055633,1,1,5.9098676333109e-05,1.26549628122289,1.26549628122289
"min92_101",92,0.876256124155927,7.91696011533143,-0.00465022201307229,13.41,13.41,13.41,"Ch1",NA,"SMR",9,4.16170924422496e-16,4.67e-05,1.16275899157614,NA,0.088,-0.00526480928055633,1,1,5.43008449066058e-05,1.16275899157614,1.16275899157614
"min119_127",119,0.862936388034151,8.03641952271641,-0.00494685301598943,13.41,13.41,13.41,"Ch1",NA,"SMR",8,4.16170924422496e-16,4.67e-05,0.604093561407574,NA,0.088,-0.00526480928055633,1,1,2.82111693177337e-05,0.604093561407574,0.604093561407574
"min45_52",45,0.878103748222274,7.99056758395935,-0.00602388301237874,13.41,13.41,13.41,"Ch2",NA,"SMR",7,4.16170924422496e-16,0.0001029,0.643135382297362,NA,0.088,-0.00526480928055633,1,1,6.61786308383985e-05,0.643135382297362,0.643135382297362
"min69_77",69,0.874338898417337,8.06954132992599,-0.00571717458358163,13.41,13.41,13.41,"Ch2",NA,"SMR",8,4.16170924422496e-16,0.0001029,0.381145280870515,NA,0.088,-0.00526480928055633,1,1,3.9219849401576e-05,0.381145280870516,0.381145280870515
"min92_101",92,0.936699242672261,8.23619256731758,-0.00680505862237522,13.41,13.41,13.41,"Ch2",NA,"SMR",9,4.16170924422496e-16,0.0001029,1.31041498102838,NA,0.088,-0.00526480928055633,1,1,0.00013484170154782,1.31041498102838,1.31041498102838
"min119_127",119,0.923532271021522,8.30324474760642,-0.00644605669961978,13.41,13.41,13.41,"Ch2",NA,"SMR",8,4.16170924422496e-16,0.0001029,1.0037558177181,NA,0.088,-0.00526480928055633,1,1,0.000103286473643193,1.0037558177181,1.0037558177181
"min45_52",45,0.895446849132401,8.04459333048812,-0.00572741044084831,13.41,13.41,13.41,"Ch4",NA,"SMR",7,4.16170924422496e-16,6.69e-05,0.602776357955183,NA,0.088,-0.00526480928055633,1,1,4.03257383472018e-05,0.602776357955183,0.602776357955183
"min69_77",69,0.873783871767165,8.08858266104816,-0.00473943234562853,13.41,13.41,13.41,"Ch4",NA,"SMR",8,4.16170924422496e-16,6.69e-05,0.69581821072599,NA,0.088,-0.00526480928055633,1,1,4.65502382975687e-05,0.69581821072599,0.69581821072599
"min92_101",92,0.94356717423789,8.25909132886697,-0.00589509232632382,13.41,13.41,13.41,"Ch4",NA,"SMR",9,4.16170924422496e-16,6.69e-05,0.823176776545713,NA,0.088,-0.00526480928055633,1,1,5.50705263509082e-05,0.823176776545713,0.823176776545713
"min119_127",119,0.927207210779949,8.35787894350022,-0.00582665140704682,13.41,13.41,13.41,"Ch4",NA,"SMR",8,4.16170924422496e-16,6.69e-05,0.733218298236651,NA,0.088,-0.00526480928055633,1,1,4.9052304152032e-05,0.73321829823665,0.733218298236651
