"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min42_53",41.63195,0.934589632929435,8.323215464076,-0.0101841961882055,13.26,13.54,13.38,"Ch1","2024-02-19 15:32:44","SMR",11.35435,"down",6.92e-05,2.47272198656909,NA,0.088,-0.00823172905358271,1,1,0.000171112361470581,2.47272198656909,2.47272198656909
"min69_79",69.3105166666667,0.896505108527976,8.5385390942151,-0.0100570201618627,13.31,13.6,13.44,"Ch1","2024-02-19 16:00:25","SMR",10.1882166666667,"down",6.92e-05,2.31112242389361,NA,0.088,-0.00823172905358271,1,1,0.000159929671733438,2.31112242389361,2.31112242389361
"min97_108",96.5531,0.933343842271433,8.77030180570103,-0.00995089109756286,13.24,13.51,13.37,"Ch1","2024-02-19 16:27:40","SMR",11.72145,"down",6.92e-05,2.17626673708528,NA,0.088,-0.00823172905358271,1,1,0.000150597658206302,2.17626673708528,2.17626673708528
"min127_137",127.1462,0.907970564085288,9.12229635194786,-0.0107166931967287,13.21,13.47,13.33,"Ch1","2024-02-19 16:58:15","SMR",10.1718666666667,"down",6.92e-05,3.14935331542823,NA,0.088,-0.00823172905358271,1,1,0.000217935249427633,3.14935331542822,3.14935331542823
"min42_53",41.63195,0.925529363644006,8.32274896841277,-0.0100697647410941,13.26,13.54,13.38,"Ch2","2024-02-19 15:32:44","SMR",11.35435,"down",5.13e-05,3.14289593703282,NA,0.088,-0.00823172905358271,1,1,0.000161230561569784,3.14289593703282,3.14289593703282
"min69_79",69.3105166666667,0.879953983841631,8.50666244304807,-0.00955494983401555,13.31,13.6,13.44,"Ch2","2024-02-19 16:00:25","SMR",10.1882166666667,"down",5.13e-05,2.26029746104492,NA,0.088,-0.00823172905358271,1,1,0.000115953259751605,2.26029746104492,2.26029746104492
"min97_108",96.5531,0.917789272754222,8.72478560088135,-0.00943125589793667,13.24,13.51,13.37,"Ch2","2024-02-19 16:27:40","SMR",11.72145,"down",5.13e-05,2.04823662525505,NA,0.088,-0.00823172905358271,1,1,0.000105074538875584,2.04823662525505,2.04823662525505
"min127_137",127.1462,0.888458837642221,9.04622104331866,-0.01009926348553,13.21,13.47,13.33,"Ch2","2024-02-19 16:58:15","SMR",10.1718666666667,"down",5.13e-05,3.19346857299325,NA,0.088,-0.00823172905358271,1,1,0.000163824937794554,3.19346857299325,3.19346857299325
"min42_53",41.63195,0.934072659982447,8.32000713655429,-0.0100619801880521,13.26,13.54,13.38,"Ch3","2024-02-19 15:32:44","SMR",11.35435,"down",6.45e-05,2.48702483893297,NA,0.088,-0.00823172905358271,1,1,0.000160413102111177,2.48702483893297,2.48702483893297
"min69_79",69.3105166666667,0.890962224773964,8.51011827516469,-0.00957825704923077,13.31,13.6,13.44,"Ch3","2024-02-19 16:00:25","SMR",10.1882166666667,"down",6.45e-05,1.82754520988145,NA,0.088,-0.00823172905358271,1,1,0.000117876666037354,1.82754520988145,1.82754520988145
"min97_108",96.5531,0.938439744840395,8.74328955594794,-0.0095715849620103,13.24,13.51,13.37,"Ch3","2024-02-19 16:27:40","SMR",11.72145,"down",6.45e-05,1.81844887924927,NA,0.088,-0.00823172905358271,1,1,0.000117289952711578,1.81844887924927,1.81844887924927
"min127_137",127.1462,0.895245508814539,9.03912003404945,-0.0100122657281817,13.21,13.47,13.33,"Ch3","2024-02-19 16:58:15","SMR",10.1718666666667,"down",6.45e-05,2.41924707325958,NA,0.088,-0.00823172905358271,1,1,0.000156041436225243,2.41924707325959,2.41924707325958
"min42_53",41.63195,0.911516010029796,8.2553174487964,-0.00856309776747079,13.26,13.54,13.38,"Ch4","2024-02-19 15:32:44","SMR",11.35435,"down",5.6e-05,0.512159166913793,NA,0.088,-0.00823172905358271,1,1,2.86809133471724e-05,0.512159166913793,0.512159166913793
"min69_79",69.3105166666667,0.866641256163302,8.44235575271024,-0.0084738077323347,13.31,13.6,13.44,"Ch4","2024-02-19 16:00:25","SMR",10.1882166666667,"down",5.6e-05,0.371935544592216,NA,0.088,-0.00823172905358271,1,1,2.08283904971641e-05,0.371935544592217,0.371935544592216
"min97_108",96.5531,0.913177228515516,8.64647978494604,-0.00844569271496043,13.24,13.51,13.37,"Ch4","2024-02-19 16:27:40","SMR",11.72145,"down",5.6e-05,0.327782918021453,NA,0.088,-0.00823172905358271,1,1,1.83558434092014e-05,0.327782918021454,0.327782918021453
"min127_137",127.1462,0.877493942880257,8.95172533394433,-0.0091573033570368,13.21,13.47,13.33,"Ch4","2024-02-19 16:58:15","SMR",10.1718666666667,"down",5.6e-05,1.44531660207081,NA,0.088,-0.00823172905358271,1,1,8.09377297159656e-05,1.44531660207082,1.44531660207081
