"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","ID_code","bw","mo2_1kg","ID","resp.V","background_slope","scaling_exponent","common_mass","mo2_individual_kg","mo2_common_mass_kg","mo2"
"min40_52",39.8594,0.889113388980474,7.90353092999807,-0.0087085343770082,13.28,13.61,13.37,"Ch1","2024-02-20 14:53:09","SMR",12.2397333333333,"up",5.1e-05,0.346285265108754,NA,0.088,-0.00850279933412441,1,1,1.76605485205464e-05,0.346285265108753,0.346285265108754
"min70_83",70.4681166666667,0.912452724094389,8.16802747127465,-0.00941759276959756,13.25,13.69,13.4,"Ch1","2024-02-20 15:23:46","SMR",12.2561833333333,"up",5.1e-05,1.56904951157624,NA,0.088,-0.00850279933412441,1,1,8.0021525090388e-05,1.56904951157624,1.56904951157624
"min103_116",103.1473,0.932504947510972,8.37339174228095,-0.00882574484482604,13.18,13.53,13.33,"Ch1","2024-02-20 15:56:26","SMR",13.0058833333333,"up",5.1e-05,0.548413567738387,NA,0.088,-0.00850279933412441,1,1,2.79690919546577e-05,0.548413567738386,0.548413567738387
"min135_153",134.87615,0.930400179893992,8.34389218315602,-0.00694182063729262,13.2,13.77,13.44,"Ch1","2024-02-20 16:28:10","SMR",18.54135,"up",5.1e-05,2.70039525830783,NA,0.088,-0.00850279933412441,1,1,0.000137720158173699,2.70039525830782,2.70039525830783
"min40_52",39.8594,0.881086010859944,8.13933198088366,-0.0085964021821099,13.28,13.61,13.37,"Ch2","2024-02-20 14:53:09","SMR",12.2397333333333,"up",4.24e-05,0.185673659674573,NA,0.088,-0.00850279933412441,1,1,7.8725631702019e-06,0.185673659674573,0.185673659674573
"min70_83",70.4681166666667,0.92198675405015,8.47217994654534,-0.0100134163663235,13.25,13.69,13.4,"Ch2","2024-02-20 15:23:46","SMR",12.2561833333333,"up",4.24e-05,3.12522948065066,NA,0.088,-0.00850279933412441,1,1,0.000132509729979588,3.12522948065066,3.12522948065066
"min103_116",103.1473,0.928279994213715,8.62675689454372,-0.00876397397745009,13.18,13.53,13.33,"Ch2","2024-02-20 15:56:26","SMR",13.0058833333333,"up",4.24e-05,0.533296606509817,NA,0.088,-0.00850279933412441,1,1,2.26117761160163e-05,0.533296606509817,0.533296606509817
"min135_153",134.87615,0.928174169835544,8.65617157722035,-0.00726866380513878,13.2,13.77,13.44,"Ch2","2024-02-20 16:28:10","SMR",18.54135,"up",4.24e-05,2.56868202585078,NA,0.088,-0.00850279933412441,1,1,0.000108912117896073,2.56868202585078,2.56868202585078
"min40_52",39.8594,0.907149698082565,8.16725692481499,-0.00913186551571443,13.28,13.61,13.37,"Ch4","2024-02-20 14:53:09","SMR",12.2397333333333,"up",5.02e-05,1.0936136320923,NA,0.088,-0.00850279933412441,1,1,5.48994043310333e-05,1.0936136320923,1.0936136320923
"min70_83",70.4681166666667,0.933167064216647,8.49810540269483,-0.0103619434171996,13.25,13.69,13.4,"Ch4","2024-02-20 15:23:46","SMR",12.2561833333333,"up",5.02e-05,3.248695413368,NA,0.088,-0.00850279933412441,1,1,0.000163084509751074,3.248695413368,3.248695413368
"min103_116",103.1473,0.948569512705178,8.71050247792846,-0.0095470786606426,13.18,13.53,13.33,"Ch4","2024-02-20 15:56:26","SMR",13.0058833333333,"up",5.02e-05,1.82106209929954,NA,0.088,-0.00850279933412441,1,1,9.14173173848367e-05,1.82106209929954,1.82106209929954
"min135_153",134.87615,0.940822863697489,8.72810994087307,-0.00782006062624107,13.2,13.77,13.44,"Ch4","2024-02-20 16:28:10","SMR",18.54135,"up",5.02e-05,1.20465285532213,NA,0.088,-0.00850279933412441,1,1,6.04735733371709e-05,1.20465285532213,1.20465285532213
