"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min35_50",35,0.956599689223781,7.9187404983355,-0.00420165893260364,19.02,19.02,19.02,"Ch1","2023-11-30","SMR",15,1.42099394255122e-15
"min35_50",35,0.909785039765331,7.70064401489358,-0.00325338630333163,19.02,19.02,19.02,"Ch2","2023-11-30","SMR",15,1.42099394255122e-15
"min35_50",35,0.95171526260849,7.71573160850455,-0.00375623983925451,19.02,19.02,19.02,"Ch3","2023-11-30","SMR",15,1.42099394255122e-15
"min35_50",35,0.946258960730828,7.98287949931648,-0.00353226793991667,19.02,19.02,19.02,"Ch4","2023-11-30","SMR",15,1.42099394255122e-15
"min60_75",60,0.964513772436599,7.92356447157826,-0.00435340817259563,19.02,19.02,19.02,"Ch1","2023-11-30","SMR",15,1.42099394255122e-15
"min60_75",60,0.916117443184831,7.6893680413985,-0.00317797628295003,19.02,19.02,19.02,"Ch2","2023-11-30","SMR",15,1.42099394255122e-15
"min60_75",60,0.961638584682112,7.72792635425403,-0.004020694021049,19.02,19.02,19.02,"Ch3","2023-11-30","SMR",15,1.42099394255122e-15
"min60_75",60,0.948130340225689,7.96365953526965,-0.00321659038553886,19.02,19.02,19.02,"Ch4","2023-11-30","SMR",15,1.42099394255122e-15
"min120_135",120,0.955184021426648,7.8981919401198,-0.00388827125694975,19.02,19.02,19.02,"Ch1","2023-11-30","SMR",15,1.42099394255122e-15
"min120_135",120,0.906979249032311,7.6865680178733,-0.00303365788280212,19.02,19.02,19.02,"Ch2","2023-11-30","SMR",15,1.42099394255122e-15
"min120_135",120,0.952768257949548,7.72173847895867,-0.00372437735073314,19.02,19.02,19.02,"Ch3","2023-11-30","SMR",15,1.42099394255122e-15
"min120_135",120,0.920343485246998,7.95601634993464,-0.00279029100959081,19.02,19.02,19.02,"Ch4","2023-11-30","SMR",15,1.42099394255122e-15
"min140_155",140,0.946707593866189,7.88764875749328,-0.00383107121068645,19.02,19.02,19.02,"Ch1","2023-11-30","SMR",15,1.42099394255122e-15
"min140_155",140,0.913182273071694,7.68514546538418,-0.00304873704021746,19.02,19.02,19.02,"Ch2","2023-11-30","SMR",15,1.42099394255122e-15
"min140_155",140,0.95239626959513,7.67434606858759,-0.0034050794953726,19.02,19.02,19.02,"Ch3","2023-11-30","SMR",15,1.42099394255122e-15
"min140_155",140,0.924633484496017,7.92647489004217,-0.00259558247768278,19.02,19.02,19.02,"Ch4","2023-11-30","SMR",15,1.42099394255122e-15
