"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min30_40",30.5,0.731279241072741,7.91809814953966,-0.00239071613307797,19.05,19.05,19.05,"Ch1","2023-11-30","SMR",9.5,-8.42016658298332e-16
"min30_40",30.5,0.548444167276503,7.68132007594688,-0.00169180249554401,19.05,19.05,19.05,"Ch2","2023-11-30","SMR",9.5,-8.42016658298332e-16
"min30_40",30.5,0.688931035819106,7.70334638941269,-0.0020395267761034,19.05,19.05,19.05,"Ch3","2023-11-30","SMR",9.5,-8.42016658298332e-16
"min30_40",30.5,0.760216672908757,7.97346465234783,-0.00234170273647731,19.05,19.05,19.05,"Ch4","2023-11-30","SMR",9.5,-8.42016658298332e-16
"min42_52",42,0.839583469000513,7.94795606982253,-0.00310848735975354,19.05,19.05,19.05,"Ch1","2023-11-30","SMR",10,-8.42016658298332e-16
"min42_52",42,0.713668526687357,7.70993516483705,-0.00235402735462402,19.05,19.05,19.05,"Ch2","2023-11-30","SMR",10,-8.42016658298332e-16
"min42_52",42,0.822085207545786,7.73372460062428,-0.00277133103792936,19.05,19.05,19.05,"Ch3","2023-11-30","SMR",10,-8.42016658298332e-16
"min42_52",42,0.829936553503769,7.98558890259178,-0.00261949579983065,19.05,19.05,19.05,"Ch4","2023-11-30","SMR",10,-8.42016658298332e-16
"min55_63",55,0.773246088961462,7.95471539805767,-0.00320994382279717,19.05,19.05,19.05,"Ch1","2023-11-30","SMR",8,-8.42016658298332e-16
"min55_63",55,0.606547744218204,7.70423607395121,-0.00224515909630286,19.05,19.05,19.05,"Ch2","2023-11-30","SMR",8,-8.42016658298332e-16
"min55_63",55,0.759489337238428,7.77142215144672,-0.00344126698060968,19.05,19.05,19.05,"Ch3","2023-11-30","SMR",8,-8.42016658298332e-16
"min55_63",55,0.691081417988779,7.96539714802645,-0.00223487387972899,19.05,19.05,19.05,"Ch4","2023-11-30","SMR",8,-8.42016658298332e-16
