"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.406","7.98",0.00236,"18.97","19.36","19.23","7.92","8.01","7.95","Ch1","2023-12-02 12:53:00.204","SMR","19.47","12-02_125"
"min20.5_40",20.5,"0.595","7.98",0.00118,"19.22","19.34","19.27","7.92","7.97","7.95","Ch1","2023-12-02 13:12:59.737","SMR","19.47","12-02_125"
"min40.5_60",40.5,"0.941","8.08",0.00362,"19.12","19.27","19.18","7.84","7.93","7.89","Ch1","2023-12-02 13:33:00.167","SMR","19.47","12-02_125"
"min60.5_80",60.5,"0.944","8.08",0.00378,"19.03","19.2","19.09","7.78","7.86","7.82","Ch1","2023-12-02 13:53:00.373","SMR","19.47","12-02_125"
"min80.5_100",80.5,"0.921","8.07",0.00364,"18.96","19.14","19.01","7.69","7.79","7.74","Ch1","2023-12-02 14:12:59.964","SMR","19.48","12-02_125"
"min100.5_120",100.5,"0.932","8.31",0.00585,"18.92","19.23","19.01","7.58","7.71","7.66","Ch1","2023-12-02 14:33:00.381","SMR","19.47","12-02_125"
"min120.5_140",120.5,"0.163","7.63",0.00052,"19.24","19.49","19.38","7.54","7.59","7.56","Ch1","2023-12-02 14:52:59.851","SMR","19.47","12-02_125"
"min140.5_160",140.5,"0.902","8.01",0.00322,"19.23","19.42","19.3","7.48","7.56","7.53","Ch1","2023-12-02 15:13:00.263","SMR","19.47","12-02_125"
"min160.5_180",160.5,"0.901","8.09",0.00373,"19.14","19.35","19.2","7.4","7.5","7.46","Ch1","2023-12-02 15:32:59.651","SMR","19.47","12-02_125"
"min0.5_20",0.5,"0.027","7.71",0.00042,"18.97","19.36","19.23","7.68","7.75","7.7","Ch2","2023-12-02 12:53:00.204","SMR","19.47","12-02_125"
"min20.5_40",20.5,"0.378","7.74",0.00079,"19.22","19.34","19.27","7.69","7.73","7.72","Ch2","2023-12-02 13:12:59.737","SMR","19.47","12-02_125"
"min40.5_60",40.5,"0.867","7.8",0.00235,"19.12","19.27","19.18","7.64","7.71","7.68","Ch2","2023-12-02 13:33:00.167","SMR","19.47","12-02_125"
"min60.5_80",60.5,"0.856","7.8",0.00238,"19.03","19.2","19.09","7.6","7.66","7.63","Ch2","2023-12-02 13:53:00.373","SMR","19.47","12-02_125"
"min80.5_100",80.5,"0.807","7.8",0.0024,"18.96","19.14","19.01","7.53","7.61","7.58","Ch2","2023-12-02 14:12:59.964","SMR","19.48","12-02_125"
"min100.5_120",100.5,"0.898","8",0.00437,"18.92","19.23","19.01","7.46","7.57","7.52","Ch2","2023-12-02 14:33:00.381","SMR","19.47","12-02_125"
"min120.5_140",120.5,"0.022","7.43",0.00017,"19.24","19.49","19.38","7.43","7.47","7.45","Ch2","2023-12-02 14:52:59.851","SMR","19.47","12-02_125"
"min140.5_160",140.5,"0.782","7.75",0.00207,"19.23","19.42","19.3","7.39","7.46","7.43","Ch2","2023-12-02 15:13:00.263","SMR","19.47","12-02_125"
"min160.5_180",160.5,"0.776","7.79",0.00234,"19.14","19.35","19.2","7.34","7.42","7.39","Ch2","2023-12-02 15:32:59.651","SMR","19.47","12-02_125"
"min0.5_20",0.5,"0.43","7.76",0.00181,"18.97","19.36","19.23","7.72","7.8","7.74","Ch3","2023-12-02 12:53:00.204","SMR","19.47","12-02_125"
"min20.5_40",20.5,"0.808","7.78",0.00164,"19.22","19.34","19.27","7.7","7.75","7.73","Ch3","2023-12-02 13:12:59.737","SMR","19.47","12-02_125"
"min40.5_60",40.5,"0.917","7.82",0.00274,"19.12","19.27","19.18","7.63","7.71","7.68","Ch3","2023-12-02 13:33:00.167","SMR","19.47","12-02_125"
"min60.5_80",60.5,"0.923","7.83",0.00296,"19.03","19.2","19.09","7.59","7.66","7.62","Ch3","2023-12-02 13:53:00.373","SMR","19.47","12-02_125"
"min80.5_100",80.5,"0.868","7.81",0.00272,"18.96","19.14","19.01","7.52","7.6","7.56","Ch3","2023-12-02 14:12:59.964","SMR","19.48","12-02_125"
"min100.5_120",100.5,"0.924","8.01",0.00458,"18.92","19.23","19.01","7.44","7.54","7.5","Ch3","2023-12-02 14:33:00.381","SMR","19.47","12-02_125"
"min120.5_140",120.5,"0.11","7.47",0.00033,"19.24","19.49","19.38","7.41","7.45","7.43","Ch3","2023-12-02 14:52:59.851","SMR","19.47","12-02_125"
"min140.5_160",140.5,"0.865","7.79",0.00255,"19.23","19.42","19.3","7.36","7.43","7.4","Ch3","2023-12-02 15:13:00.263","SMR","19.47","12-02_125"
"min160.5_180",160.5,"0.836","7.82",0.00274,"19.14","19.35","19.2","7.3","7.39","7.35","Ch3","2023-12-02 15:32:59.651","SMR","19.47","12-02_125"
"min0.5_20",0.5,"0.167","8.05",0.00059,"18.97","19.36","19.23","8.03","8.08","8.05","Ch4","2023-12-02 12:53:00.204","SMR","19.47","12-02_125"
"min20.5_40",20.5,"0.897","8.09",0.00234,"19.22","19.34","19.27","7.99","8.05","8.02","Ch4","2023-12-02 13:12:59.737","SMR","19.47","12-02_125"
"min40.5_60",40.5,"0.93","8.12",0.00295,"19.12","19.27","19.18","7.92","8","7.97","Ch4","2023-12-02 13:33:00.167","SMR","19.47","12-02_125"
"min60.5_80",60.5,"0.919","8.11",0.0028,"19.03","19.2","19.09","7.87","7.95","7.91","Ch4","2023-12-02 13:53:00.373","SMR","19.47","12-02_125"
"min80.5_100",80.5,"0.853","8.09",0.00264,"18.96","19.14","19.01","7.81","7.89","7.85","Ch4","2023-12-02 14:12:59.964","SMR","19.48","12-02_125"
"min100.5_120",100.5,"0.932","8.23",0.00393,"18.92","19.23","19.01","7.75","7.84","7.8","Ch4","2023-12-02 14:33:00.381","SMR","19.47","12-02_125"
"min120.5_140",120.5,"0.316","7.82",0.00063,"19.24","19.49","19.38","7.71","7.76","7.74","Ch4","2023-12-02 14:52:59.851","SMR","19.47","12-02_125"
"min140.5_160",140.5,"0.874","8.11",0.00272,"19.23","19.42","19.3","7.65","7.73","7.7","Ch4","2023-12-02 15:13:00.263","SMR","19.47","12-02_125"
"min160.5_180",160.5,"0.823","8.11",0.00269,"19.14","19.35","19.2","7.6","7.69","7.65","Ch4","2023-12-02 15:32:59.651","SMR","19.47","12-02_125"
