"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min54_65",54,0.971170029285256,7.8430933996729,-0.00689541439491124,22.98,22.98,22.98,"Ch1","2023-12-03","SMR",11,-9.73820902618715e-16
"min54_65",54,0.957450015240559,7.61616429687354,-0.00649714459164498,22.98,22.98,22.98,"Ch2","2023-12-03","SMR",11,-9.73820902618715e-16
"min54_65",54,0.947399481725708,7.67993071559279,-0.00503927260420362,22.98,22.98,22.98,"Ch3","2023-12-03","SMR",11,-9.73820902618715e-16
"min54_65",54,0.98160121615807,7.94012696076684,-0.00869768941208016,22.98,22.98,22.98,"Ch4","2023-12-03","SMR",11,-9.73820902618715e-16
"min100_106",99.5,0.830430604313953,7.76315880094413,-0.00478619394918222,22.98,22.98,22.98,"Ch1","2023-12-03","SMR",6,-9.73820902618715e-16
"min100_106",99.5,0.762627731806351,7.55550351347661,-0.00455416859115219,22.98,22.98,22.98,"Ch2","2023-12-03","SMR",6,-9.73820902618715e-16
"min100_106",99.5,0.836943041758778,7.75711386008156,-0.00470856787185868,22.98,22.98,22.98,"Ch3","2023-12-03","SMR",6,-9.73820902618715e-16
"min100_106",99.5,0.914245103116409,7.9015179045208,-0.00676555094247194,22.98,22.98,22.98,"Ch4","2023-12-03","SMR",6,-9.73820902618715e-16
"min142_158",142,0.963472379585207,7.75705130810641,-0.00437284767460883,22.98,22.98,22.98,"Ch1","2023-12-03","SMR",16,-9.73820902618715e-16
"min142_158",142,0.935271969463419,7.48252233977327,-0.00362016241652912,22.98,22.98,22.98,"Ch2","2023-12-03","SMR",16,-9.73820902618715e-16
"min142_158",142,0.946172801329023,7.71335521861905,-0.00394656563246591,22.98,22.98,22.98,"Ch3","2023-12-03","SMR",16,-9.73820902618715e-16
"min142_158",142,0.942451425925812,7.58598010217559,-0.00384694714860376,22.98,22.98,22.98,"Ch4","2023-12-03","SMR",16,-9.73820902618715e-16
