"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min30_42",30.5,0.943410337286018,7.91254364073628,-0.00507405476254741,23.14,23.14,23.14,"Ch1","2023-12-05","SMR",11.5,1.29910735861674e-15
"min30_42",30.5,0.520114755045928,7.6056957296739,-0.0016524608420644,23.14,23.14,23.14,"Ch2","2023-12-05","SMR",11.5,1.29910735861674e-15
"min30_42",30.5,0.849417063576041,7.64454189137165,-0.00289909213314584,23.14,23.14,23.14,"Ch3","2023-12-05","SMR",11.5,1.29910735861674e-15
"min30_42",30.5,0.954629923966532,8.01166122359814,-0.00551088765109746,23.14,23.14,23.14,"Ch4","2023-12-05","SMR",11.5,1.29910735861674e-15
"min50_59",50,0.859610625214271,7.85963359470177,-0.00393249164241344,23.14,23.14,23.14,"Ch1","2023-12-05","SMR",9,1.29910735861674e-15
"min50_59",50,0.642512603571567,7.63899306760886,-0.00231852325608055,23.14,23.14,23.14,"Ch2","2023-12-05","SMR",9,1.29910735861674e-15
"min50_59",50,0.832509862405112,7.66212434831473,-0.00317888592274223,23.14,23.14,23.14,"Ch3","2023-12-05","SMR",9,1.29910735861674e-15
"min50_59",50,0.94249393970376,8.05445296624491,-0.00622685512095627,23.14,23.14,23.14,"Ch4","2023-12-05","SMR",9,1.29910735861674e-15
"min80_90",80,0.742377542187153,7.71526152887728,-0.00259380026931669,23.14,23.14,23.14,"Ch1","2023-12-05","SMR",10,1.29910735861674e-15
"min80_90",80,0.627629668280699,7.58053976557107,-0.00220685458768484,23.14,23.14,23.14,"Ch2","2023-12-05","SMR",10,1.29910735861674e-15
"min80_90",80,0.815192961690204,7.59766006582424,-0.00300739569449903,23.14,23.14,23.14,"Ch3","2023-12-05","SMR",10,1.29910735861674e-15
"min80_90",80,0.745336094403781,7.76534618886718,-0.00238437584049174,23.14,23.14,23.14,"Ch4","2023-12-05","SMR",10,1.29910735861674e-15
"min95_109",95,0.786779727614416,7.67126694113122,-0.0021155012595607,23.14,23.14,23.14,"Ch1","2023-12-05","SMR",14,1.29910735861674e-15
"min95_109",95,0.721322178425645,7.55004152641394,-0.00186656269982276,23.14,23.14,23.14,"Ch2","2023-12-05","SMR",14,1.29910735861674e-15
"min95_109",95,0.898556595023338,7.58246172016837,-0.00286628259313644,23.14,23.14,23.14,"Ch3","2023-12-05","SMR",14,1.29910735861674e-15
"min95_109",95,0.810856431461569,7.73402676976298,-0.00205963969913236,23.14,23.14,23.14,"Ch4","2023-12-05","SMR",14,1.29910735861674e-15
