"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.957","7.97",0.00578,"22.84","23.08","22.95","7.83","7.97","7.91","Ch1","2023-12-06 16:55:30.718","SMR","19.47","12-06_165"
"min20.5_40",20.5,"0.931","7.92",0.00443,"23.01","23.28","23.16","7.75","7.85","7.79","Ch1","2023-12-06 17:15:30.26","SMR","19.47","12-06_165"
"min40.5_60",40.5,"0.729","7.86",0.00203,"22.83","23.18","22.98","7.71","7.78","7.75","Ch1","2023-12-06 17:35:30.738","SMR","19.47","12-06_165"
"min60.5_80",60.5,"0.968","8.05",0.00563,"22.88","23.24","23.05","7.6","7.72","7.65","Ch1","2023-12-06 17:55:30.178","SMR","19.48","12-06_165"
"min80.5_100",80.5,"0.737","7.43",0.00188,"22.95","23.33","23.18","7.58","7.63","7.6","Ch1","2023-12-06 18:15:30.4","SMR","19.48","12-06_165"
"min100.5_120",100.5,"0.919","8.07",0.00444,"22.91","23.14","23.02","7.54","7.63","7.58","Ch1","2023-12-06 18:35:30.953","SMR","19.47","12-06_165"
"min120.5_140",120.5,"0.772","7.97",0.00327,"22.87","23.09","22.97","7.5","7.59","7.55","Ch1","2023-12-06 18:55:30.326","SMR","19.47","12-06_165"
"min140.5_160",140.5,"0.072","7.56",0.00051,"23.05","23.29","23.2","7.46","7.52","7.49","Ch1","2023-12-06 19:15:30.637","SMR","19.48","12-06_165"
"min160.5_180",160.5,"0.496","7.83",0.00192,"22.86","23.11","22.96","7.45","7.53","7.5","Ch1","2023-12-06 19:35:30.96","SMR","19.47","12-06_165"
"min180.5_200",180.5,"0.851","8",0.00302,"22.98","23.29","23.17","7.39","7.48","7.43","Ch1","2023-12-06 19:55:30.278","SMR","19.47","12-06_165"
"min200.5_220",200.5,"0.301","7.22",0.001,"22.83","23.27","23.02","7.4","7.46","7.43","Ch1","2023-12-06 20:15:30.629","SMR","19.48","12-06_165"
"min220.5_240",220.5,"0.953","8.35",0.00425,"22.9","23.28","23.08","7.32","7.43","7.37","Ch1","2023-12-06 20:35:30.986","SMR","19.47","12-06_165"
"min240.5_260",240.5,"0.851","6.76",0.00235,"22.94","23.34","23.16","7.32","7.38","7.34","Ch1","2023-12-06 20:55:30.351","SMR","19.47","12-06_165"
"min260.5_280",260.5,"0.956","8.72",0.00514,"22.82","23.11","22.94","7.26","7.38","7.33","Ch1","2023-12-06 21:15:30.692","SMR","19.47","12-06_165"
"min280.5_300",280.5,"0.423","7.63",0.0013,"23.07","23.31","23.22","7.23","7.29","7.25","Ch1","2023-12-06 21:35:30.077","SMR","19.48","12-06_165"
"min300.5_320",300.5,"0.344","7.7",0.00142,"22.81","23.18","22.98","7.22","7.29","7.26","Ch1","2023-12-06 21:55:30.439","SMR","19.47","12-06_165"
"min320.5_340",320.5,"0.931","8.45",0.00385,"22.95","23.28","23.15","7.14","7.24","7.18","Ch1","2023-12-06 22:15:30.823","SMR","19.47","12-06_165"
"min0.5_20",0.5,"0.947","7.73",0.00505,"22.84","23.08","22.95","7.61","7.73","7.67","Ch2","2023-12-06 16:55:30.718","SMR","19.47","12-06_165"
"min20.5_40",20.5,"0.863","7.67",0.00291,"23.01","23.28","23.16","7.54","7.62","7.58","Ch2","2023-12-06 17:15:30.26","SMR","19.47","12-06_165"
"min40.5_60",40.5,"0.156","7.61",0.00081,"22.83","23.18","22.98","7.5","7.59","7.57","Ch2","2023-12-06 17:35:30.738","SMR","19.47","12-06_165"
"min60.5_80",60.5,"0.969","7.89",0.00583,"22.88","23.24","23.05","7.41","7.54","7.48","Ch2","2023-12-06 17:55:30.178","SMR","19.48","12-06_165"
"min80.5_100",80.5,"0.421","7.33",0.001,"22.95","23.33","23.18","7.39","7.44","7.42","Ch2","2023-12-06 18:15:30.4","SMR","19.48","12-06_165"
"min100.5_120",100.5,"0.924","7.9",0.00478,"22.91","23.14","23.02","7.33","7.43","7.38","Ch2","2023-12-06 18:35:30.953","SMR","19.47","12-06_165"
"min120.5_140",120.5,"0.847","7.81",0.00367,"22.87","23.09","22.97","7.28","7.38","7.33","Ch2","2023-12-06 18:55:30.326","SMR","19.47","12-06_165"
"min140.5_160",140.5,"0.204","7.41",0.00096,"23.05","23.29","23.2","7.24","7.3","7.26","Ch2","2023-12-06 19:15:30.637","SMR","19.48","12-06_165"
"min160.5_180",160.5,"0.619","7.64",0.00219,"22.86","23.11","22.96","7.22","7.29","7.27","Ch2","2023-12-06 19:35:30.96","SMR","19.47","12-06_165"
"min180.5_200",180.5,"0.852","7.78",0.00308,"22.98","23.29","23.17","7.16","7.24","7.2","Ch2","2023-12-06 19:55:30.278","SMR","19.47","12-06_165"
"min200.5_220",200.5,"0.113","7.08",0.00055,"22.83","23.27","23.02","7.17","7.22","7.2","Ch2","2023-12-06 20:15:30.629","SMR","19.48","12-06_165"
"min220.5_240",220.5,"0.936","8.01",0.00377,"22.9","23.28","23.08","7.1","7.19","7.14","Ch2","2023-12-06 20:35:30.986","SMR","19.47","12-06_165"
"min240.5_260",240.5,"0.827","6.55",0.00228,"22.94","23.34","23.16","7.09","7.15","7.12","Ch2","2023-12-06 20:55:30.351","SMR","19.47","12-06_165"
"min260.5_280",260.5,"0.955","8.33",0.00453,"22.82","23.11","22.94","7.05","7.15","7.1","Ch2","2023-12-06 21:15:30.692","SMR","19.47","12-06_165"
"min280.5_300",280.5,"0.356","7.37",0.00115,"23.07","23.31","23.22","7.01","7.07","7.04","Ch2","2023-12-06 21:35:30.077","SMR","19.48","12-06_165"
"min300.5_320",300.5,"0.335","7.45",0.00129,"22.81","23.18","22.98","7.01","7.08","7.05","Ch2","2023-12-06 21:55:30.439","SMR","19.47","12-06_165"
"min320.5_340",320.5,"0.899","8.05",0.00325,"22.95","23.28","23.15","6.94","7.03","6.98","Ch2","2023-12-06 22:15:30.823","SMR","19.47","12-06_165"
"min0.5_20",0.5,"0.971","7.74",0.00589,"22.84","23.08","22.95","7.61","7.74","7.68","Ch3","2023-12-06 16:55:30.718","SMR","19.47","12-06_165"
"min20.5_40",20.5,"0.928","7.68",0.00388,"23.01","23.28","23.16","7.53","7.62","7.57","Ch3","2023-12-06 17:15:30.26","SMR","19.47","12-06_165"
"min40.5_60",40.5,"0.756","7.64",0.00196,"22.83","23.18","22.98","7.5","7.56","7.54","Ch3","2023-12-06 17:35:30.738","SMR","19.47","12-06_165"
"min60.5_80",60.5,"0.952","7.76",0.00433,"22.88","23.24","23.05","7.4","7.51","7.45","Ch3","2023-12-06 17:55:30.178","SMR","19.48","12-06_165"
"min80.5_100",80.5,"0.562","7.32",0.00107,"22.95","23.33","23.18","7.39","7.43","7.41","Ch3","2023-12-06 18:15:30.4","SMR","19.48","12-06_165"
"min100.5_120",100.5,"0.898","7.8",0.00384,"22.91","23.14","23.02","7.34","7.43","7.38","Ch3","2023-12-06 18:35:30.953","SMR","19.47","12-06_165"
"min120.5_140",120.5,"0.824","7.73",0.00293,"22.87","23.09","22.97","7.31","7.38","7.35","Ch3","2023-12-06 18:55:30.326","SMR","19.47","12-06_165"
"min140.5_160",140.5,"0","7.31",1e-05,"23.05","23.29","23.2","7.29","7.33","7.31","Ch3","2023-12-06 19:15:30.637","SMR","19.48","12-06_165"
"min160.5_180",160.5,"0.657","7.65",0.00193,"22.86","23.11","22.96","7.28","7.34","7.32","Ch3","2023-12-06 19:35:30.96","SMR","19.47","12-06_165"
"min180.5_200",180.5,"0.703","7.6",0.00176,"22.98","23.29","23.17","7.24","7.29","7.26","Ch3","2023-12-06 19:55:30.278","SMR","19.47","12-06_165"
"min200.5_220",200.5,"0.086","7.19",0.00041,"22.83","23.27","23.02","7.24","7.29","7.27","Ch3","2023-12-06 20:15:30.629","SMR","19.48","12-06_165"
"min220.5_240",220.5,"0.869","7.75",0.00227,"22.9","23.28","23.08","7.2","7.26","7.23","Ch3","2023-12-06 20:35:30.986","SMR","19.47","12-06_165"
"min240.5_260",240.5,"0.849","6.72",0.00202,"22.94","23.34","23.16","7.2","7.25","7.23","Ch3","2023-12-06 20:55:30.351","SMR","19.47","12-06_165"
"min260.5_280",260.5,"0.94","8.19",0.00362,"22.82","23.11","22.94","7.17","7.25","7.21","Ch3","2023-12-06 21:15:30.692","SMR","19.47","12-06_165"
"min280.5_300",280.5,"0.023","7.23",2e-04,"23.07","23.31","23.22","7.15","7.19","7.17","Ch3","2023-12-06 21:35:30.077","SMR","19.48","12-06_165"
"min300.5_320",300.5,"0.472","7.64",0.00147,"22.81","23.18","22.98","7.14","7.21","7.18","Ch3","2023-12-06 21:55:30.439","SMR","19.47","12-06_165"
"min320.5_340",320.5,"0.825","7.82",0.00209,"22.95","23.28","23.15","7.1","7.16","7.13","Ch3","2023-12-06 22:15:30.823","SMR","19.47","12-06_165"
"min0.5_20",0.5,"0.973","8.06",0.00535,"22.84","23.08","22.95","7.94","8.07","8.01","Ch4","2023-12-06 16:55:30.718","SMR","19.47","12-06_165"
"min20.5_40",20.5,"0.905","8",0.00287,"23.01","23.28","23.16","7.88","7.95","7.92","Ch4","2023-12-06 17:15:30.26","SMR","19.47","12-06_165"
"min40.5_60",40.5,"0.752","8.01",0.00273,"22.83","23.18","22.98","7.82","7.91","7.87","Ch4","2023-12-06 17:35:30.738","SMR","19.47","12-06_165"
"min60.5_80",60.5,"0.949","8.07",0.00404,"22.88","23.24","23.05","7.74","7.84","7.79","Ch4","2023-12-06 17:55:30.178","SMR","19.48","12-06_165"
"min80.5_100",80.5,"0.004","7.74",6e-05,"22.95","23.33","23.18","7.73","7.76","7.74","Ch4","2023-12-06 18:15:30.4","SMR","19.48","12-06_165"
"min100.5_120",100.5,"0.884","8.09",0.00358,"22.91","23.14","23.02","7.66","7.75","7.7","Ch4","2023-12-06 18:35:30.953","SMR","19.47","12-06_165"
"min120.5_140",120.5,"0.872","8.07",0.00308,"22.87","23.09","22.97","7.63","7.7","7.67","Ch4","2023-12-06 18:55:30.326","SMR","19.47","12-06_165"
"min140.5_160",140.5,"0.062","7.67",0.00036,"23.05","23.29","23.2","7.6","7.65","7.62","Ch4","2023-12-06 19:15:30.637","SMR","19.48","12-06_165"
"min160.5_180",160.5,"0.794","8.02",0.00238,"22.86","23.11","22.96","7.57","7.64","7.61","Ch4","2023-12-06 19:35:30.96","SMR","19.47","12-06_165"
"min180.5_200",180.5,"0.759","7.9",0.00178,"22.98","23.29","23.17","7.54","7.59","7.56","Ch4","2023-12-06 19:55:30.278","SMR","19.47","12-06_165"
"min200.5_220",200.5,"0.112","7.64",0.00042,"22.83","23.27","23.02","7.53","7.57","7.56","Ch4","2023-12-06 20:15:30.629","SMR","19.48","12-06_165"
"min220.5_240",220.5,"0.888","8.07",0.00243,"22.9","23.28","23.08","7.48","7.54","7.51","Ch4","2023-12-06 20:35:30.986","SMR","19.47","12-06_165"
"min240.5_260",240.5,"0.421","7.3",0.00077,"22.94","23.34","23.16","7.47","7.51","7.49","Ch4","2023-12-06 20:55:30.351","SMR","19.47","12-06_165"
"min260.5_280",260.5,"0.952","8.47",0.00376,"22.82","23.11","22.94","7.42","7.51","7.46","Ch4","2023-12-06 21:15:30.692","SMR","19.47","12-06_165"
"min280.5_300",280.5,"0.435","7.7",0.00101,"23.07","23.31","23.22","7.39","7.44","7.41","Ch4","2023-12-06 21:35:30.077","SMR","19.48","12-06_165"
"min300.5_320",300.5,"0.803","8.25",0.00275,"22.81","23.18","22.98","7.35","7.43","7.4","Ch4","2023-12-06 21:55:30.439","SMR","19.47","12-06_165"
"min320.5_340",320.5,"0.881","8.15",0.00249,"22.95","23.28","23.15","7.3","7.37","7.33","Ch4","2023-12-06 22:15:30.823","SMR","19.47","12-06_165"
