"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.743","7.78",0.00363,"14.77","15.23","14.94","7.73","7.85","7.81","Ch1",NA,"SMR","19.47","12-08_194"
"min20.5_40",20.5,"0.338","7.83",0.00118,"14.84","15.24","15.07","7.76","7.83","7.79","Ch1",NA,"SMR","19.47","12-08_194"
"min40.5_60",40.5,"0.238","7.92",0.00165,"14.81","15.16","14.94","7.79","7.88","7.84","Ch1",NA,"SMR","19.47","12-08_194"
"min60.5_80",60.5,"0.738","7.58",0.00344,"14.93","15.24","15.08","7.78","7.86","7.82","Ch1",NA,"SMR","19.48","12-08_194"
"min80.5_100",80.5,"0.265","7.67",0.0017,"14.92","15.23","15.1","7.79","7.87","7.82","Ch1",NA,"SMR","19.47","12-08_194"
"min100.5_120",100.5,"0.908","8.21",0.00347,"14.88","15.25","15.05","7.79","7.88","7.83","Ch1",NA,"SMR","19.47","12-08_194"
"min120.5_140",120.5,"0.068","7.73",0.00094,"14.8","15.23","14.95","7.81","7.9","7.86","Ch1",NA,"SMR","19.47","12-08_194"
"min140.5_160",140.5,"0.064","7.72",0.00065,"14.93","15.34","15.11","7.76","7.86","7.82","Ch1",NA,"SMR","19.47","12-08_194"
"min0.5_20",0.5,"0.798","7.83",0.00451,"14.77","15.23","14.94","7.78","7.92","7.87","Ch2",NA,"SMR","19.47","12-08_194"
"min20.5_40",20.5,"0.347","7.9",0.00124,"14.84","15.24","15.07","7.83","7.9","7.86","Ch2",NA,"SMR","19.47","12-08_194"
"min40.5_60",40.5,"0.223","7.99",0.00169,"14.81","15.16","14.94","7.86","7.94","7.9","Ch2",NA,"SMR","19.47","12-08_194"
"min60.5_80",60.5,"0.729","7.64",0.00345,"14.93","15.24","15.08","7.84","7.93","7.88","Ch2",NA,"SMR","19.48","12-08_194"
"min80.5_100",80.5,"0.221","7.74",0.00155,"14.92","15.23","15.1","7.85","7.93","7.88","Ch2",NA,"SMR","19.47","12-08_194"
"min100.5_120",100.5,"0.924","8.31",0.00384,"14.88","15.25","15.05","7.85","7.94","7.89","Ch2",NA,"SMR","19.47","12-08_194"
"min120.5_140",120.5,"0.074","7.78",0.00099,"14.8","15.23","14.95","7.86","7.95","7.91","Ch2",NA,"SMR","19.47","12-08_194"
"min140.5_160",140.5,"0.058","7.78",0.00062,"14.93","15.34","15.11","7.82","7.92","7.87","Ch2",NA,"SMR","19.47","12-08_194"
"min0.5_20",0.5,"0.822","8.1",0.00534,"14.77","15.23","14.94","8.04","8.2","8.15","Ch3",NA,"SMR","19.47","12-08_194"
"min20.5_40",20.5,"0.386","8.18",0.00141,"14.84","15.24","15.07","8.1","8.17","8.14","Ch3",NA,"SMR","19.47","12-08_194"
"min40.5_60",40.5,"0.245","8.28",0.00187,"14.81","15.16","14.94","8.14","8.23","8.18","Ch3",NA,"SMR","19.47","12-08_194"
"min60.5_80",60.5,"0.719","7.9",0.00364,"14.93","15.24","15.08","8.11","8.2","8.16","Ch3",NA,"SMR","19.48","12-08_194"
"min80.5_100",80.5,"0.204","8.02",0.00157,"14.92","15.23","15.1","8.12","8.21","8.16","Ch3",NA,"SMR","19.47","12-08_194"
"min100.5_120",100.5,"0.935","8.63",0.00429,"14.88","15.25","15.05","8.12","8.22","8.16","Ch3",NA,"SMR","19.47","12-08_194"
"min120.5_140",120.5,"0.06","8.06",0.00096,"14.8","15.23","14.95","8.13","8.23","8.19","Ch3",NA,"SMR","19.47","12-08_194"
"min140.5_160",140.5,"0.031","8.07",0.00049,"14.93","15.34","15.11","8.09","8.18","8.14","Ch3",NA,"SMR","19.47","12-08_194"
