"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min40_50",40,0.905857092459465,7.97863518047602,-0.00434671324049337,15.02,15.02,15.02,"Ch1","2023-12-10","SMR",10,1.52825970000499e-16
"min40_50",40,0.930583375743639,8.03620332604662,-0.00560589922085912,15.02,15.02,15.02,"Ch2","2023-12-10","SMR",10,1.52825970000499e-16
"min40_50",40,0.926882357909364,8.31286088030374,-0.00500393276250703,15.02,15.02,15.02,"Ch3","2023-12-10","SMR",10,1.52825970000499e-16
"min70_80",70,0.911710271628956,8.12311152120264,-0.00511395434751977,15.02,15.02,15.02,"Ch1","2023-12-10","SMR",10,1.52825970000499e-16
"min70_80",70,0.933264848844498,8.16566791762564,-0.00610211009028275,15.02,15.02,15.02,"Ch2","2023-12-10","SMR",10,1.52825970000499e-16
"min70_80",70,0.9410561765145,8.49222764423098,-0.00617417906288317,15.02,15.02,15.02,"Ch3","2023-12-10","SMR",10,1.52825970000499e-16
"min98_104",98,0.840461345930475,8.30007118135697,-0.00584916616233096,15.02,15.02,15.02,"Ch1","2023-12-10","SMR",6,1.52825970000499e-16
"min98_104",98,0.855895751866281,8.31311192958708,-0.00652822260105967,15.02,15.02,15.02,"Ch2","2023-12-10","SMR",6,1.52825970000499e-16
"min98_104",98,0.891580729474881,8.66141900915803,-0.00667379791537218,15.02,15.02,15.02,"Ch3","2023-12-10","SMR",6,1.52825970000499e-16
"min145_150",145,0.797965068153701,8.53594281778437,-0.00617165168014226,15.02,15.02,15.02,"Ch1","2023-12-10","SMR",5,1.52825970000499e-16
"min145_150",145,0.835926001994221,8.53431863213526,-0.00676034321602367,15.02,15.02,15.02,"Ch2","2023-12-10","SMR",5,1.52825970000499e-16
"min145_150",145,0.853989628319547,8.80579065737058,-0.00621967939982254,15.02,15.02,15.02,"Ch3","2023-12-10","SMR",5,1.52825970000499e-16
