"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min30_45",30.5,0.988096267681191,7.72548376196403,-0.010175876632972,23.06,23.06,23.06,"Ch2","2023-12-11","SMR",14.5,-6.77312804463667e-16
"min30_45",30.5,0.987574263933034,7.80210927324787,-0.00892445762386518,23.06,23.06,23.06,"Ch3","2023-12-11","SMR",14.5,-6.77312804463667e-16
"min30_45",30.5,0.97642267335296,8.00658804004832,-0.00616675464773356,23.06,23.06,23.06,"Ch4","2023-12-11","SMR",14.5,-6.77312804463667e-16
"min85_100",85,0.961890685851287,7.50639788200436,-0.00509449380330982,23.06,23.06,23.06,"Ch2","2023-12-11","SMR",15,-6.77312804463667e-16
"min85_100",85,0.976509332364814,7.65743977042602,-0.00538577262433649,23.06,23.06,23.06,"Ch3","2023-12-11","SMR",15,-6.77312804463667e-16
"min85_100",85,0.977437099017687,8.08691892883546,-0.00570513926103335,23.06,23.06,23.06,"Ch4","2023-12-11","SMR",15,-6.77312804463667e-16
"min105_120",105,0.955553576998397,7.46157235392783,-0.00471654810580809,23.06,23.06,23.06,"Ch2","2023-12-11","SMR",15,-6.77312804463667e-16
"min105_120",105,0.964364798601177,7.6102882888896,-0.00497352999721689,23.06,23.06,23.06,"Ch3","2023-12-11","SMR",15,-6.77312804463667e-16
"min105_120",105,0.97513188927745,8.07823005623129,-0.00566523399945018,23.06,23.06,23.06,"Ch4","2023-12-11","SMR",15,-6.77312804463667e-16
"min123_140",123,0.957411979007471,7.41211246123126,-0.00431728515502652,23.06,23.06,23.06,"Ch2","2023-12-11","SMR",17,-6.77312804463667e-16
"min123_140",123,0.969139489452602,7.5550082107372,-0.00449273966717333,23.06,23.06,23.06,"Ch3","2023-12-11","SMR",17,-6.77312804463667e-16
"min123_140",123,0.978510261240795,8.04401377854904,-0.00538828388849724,23.06,23.06,23.06,"Ch4","2023-12-11","SMR",17,-6.77312804463667e-16
