"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min30_45",30.5,0.914973790988038,7.60677743917781,-0.00553748591886777,22.98,22.98,22.98,"Ch2","2023-12-11","SMR",14.5,-1.40523157042497e-15
"min30_45",30.5,0.975262689864374,7.68126706286346,-0.00554692954794609,22.98,22.98,22.98,"Ch3","2023-12-11","SMR",14.5,-1.40523157042497e-15
"min30_45",30.5,0.979304091796934,7.92091484795922,-0.00599778002404826,22.98,22.98,22.98,"Ch4","2023-12-11","SMR",14.5,-1.40523157042497e-15
"min50_65",50,0.961700920231222,7.59026894072521,-0.00528210476203215,22.98,22.98,22.98,"Ch2","2023-12-11","SMR",15,-1.40523157042497e-15
"min50_65",50,0.965648128613231,7.62485506414119,-0.0043375290422154,22.98,22.98,22.98,"Ch3","2023-12-11","SMR",15,-1.40523157042497e-15
"min50_65",50,0.979903794594407,7.8931276581342,-0.00545142152199183,22.98,22.98,22.98,"Ch4","2023-12-11","SMR",15,-1.40523157042497e-15
"min110_128",110,0.937271788593589,7.49434829292007,-0.0032461158308342,22.98,22.98,22.98,"Ch2","2023-12-11","SMR",18,-1.40523157042497e-15
"min110_128",110,0.959668682838509,7.60895442483245,-0.00330698248395512,22.98,22.98,22.98,"Ch3","2023-12-11","SMR",18,-1.40523157042497e-15
"min110_128",110,0.954350585572841,7.75850695579272,-0.00308370162741836,22.98,22.98,22.98,"Ch4","2023-12-11","SMR",18,-1.40523157042497e-15
"min135_155",135,0.935445076457339,7.44428546752601,-0.002873316439255,22.98,22.98,22.98,"Ch2","2023-12-11","SMR",20,-1.40523157042497e-15
"min135_155",135,0.958756893326024,7.56633792467976,-0.00299548811015347,22.98,22.98,22.98,"Ch3","2023-12-11","SMR",20,-1.40523157042497e-15
"min135_155",135,0.957745727080232,7.73684768195654,-0.00292491055750215,22.98,22.98,22.98,"Ch4","2023-12-11","SMR",20,-1.40523157042497e-15
