"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min55_70",55,0.970149119264885,7.7468585901991,-0.00440572057936457,19.12,19.12,19.12,"Ch1","2023-12-12","SMR",15,1.00651508207054e-15
"min55_70",55,0.962700836958086,7.87827326723238,-0.00438689111462262,19.12,19.12,19.12,"Ch2","2023-12-12","SMR",15,1.00651508207054e-15
"min55_70",55,0.971357159921262,8.11137634566635,-0.00426195923010773,19.12,19.12,19.12,"Ch3","2023-12-12","SMR",15,1.00651508207054e-15
"min80_100",80,0.982548299932463,7.72977463168612,-0.00429157362377034,19.12,19.12,19.12,"Ch1","2023-12-12","SMR",20,1.00651508207054e-15
"min80_100",80,0.960088717670385,7.82250843183519,-0.00358257564894055,19.12,19.12,19.12,"Ch2","2023-12-12","SMR",20,1.00651508207054e-15
"min80_100",80,0.98698994864714,8.14130608287473,-0.00473022775774489,19.12,19.12,19.12,"Ch3","2023-12-12","SMR",20,1.00651508207054e-15
"min130_140",130,0.903584522116774,7.75455325372598,-0.00379573949699623,19.12,19.12,19.12,"Ch1","2023-12-12","SMR",10,1.00651508207054e-15
"min130_140",130,0.851860522983663,7.81881563705506,-0.00307242415530629,19.12,19.12,19.12,"Ch2","2023-12-12","SMR",10,1.00651508207054e-15
"min130_140",130,0.929405287139807,8.12310913601262,-0.00383194955555491,19.12,19.12,19.12,"Ch3","2023-12-12","SMR",10,1.00651508207054e-15
"min143_155",143,0.948043991478122,7.80950276341059,-0.00418924125293714,19.12,19.12,19.12,"Ch1","2023-12-12","SMR",12,1.00651508207054e-15
"min143_155",143,0.916256500568422,7.86392289624001,-0.00341054796026407,19.12,19.12,19.12,"Ch2","2023-12-12","SMR",12,1.00651508207054e-15
"min143_155",143,0.955610900005992,8.14406697686593,-0.00400820984645585,19.12,19.12,19.12,"Ch3","2023-12-12","SMR",12,1.00651508207054e-15
