"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.814","7.78",0.00359,"14.68","15.08","14.8","7.66","7.77","7.74","Ch1","2023-12-12 21:55:12.996","SMR","19.47","12-12_215"
"min20.5_40",20.5,"0.018","7.72",0.00036,"14.8","15.09","14.93","7.65","7.74","7.71","Ch1","2023-12-12 22:15:12.392","SMR","19.47","12-12_215"
"min40.5_60",40.5,"0.408","7.59",0.00175,"14.68","15.24","14.99","7.63","7.72","7.68","Ch1","2023-12-12 22:35:12.731","SMR","19.48","12-12_215"
"min60.5_80",60.5,"0.922","7.99",0.00498,"14.67","15.12","14.86","7.59","7.71","7.64","Ch1","2023-12-12 22:55:12.376","SMR","19.47","12-12_215"
"min80.5_100",80.5,"0.416","7.83",0.00231,"14.72","15.17","14.86","7.57","7.67","7.62","Ch1","2023-12-12 23:15:12.909","SMR","19.47","12-12_215"
"min100.5_120",100.5,"0.464","7.38",0.00182,"14.77","15.25","14.99","7.53","7.61","7.58","Ch1","2023-12-12 23:35:12.293","SMR","19.47","12-12_215"
"min120.5_140",120.5,"0.418","7.86",0.00242,"14.76","15.36","14.95","7.45","7.6","7.55","Ch1","2023-12-12 23:55:12.719","SMR","19.48","12-12_215"
"min140.5_160",140.5,"0.914","8.27",0.00496,"14.68","15.23","14.83","7.44","7.57","7.53","Ch1","2023-12-13 00:15:13.173","SMR","19.47","12-12_215"
"min160.5_180",160.5,"0.007","7.45",0.00024,"14.72","15.26","14.88","7.43","7.53","7.49","Ch1","2023-12-13 00:35:12.835","SMR","19.46","12-12_215"
"min180.5_200",180.5,"0.159","7.25",0.00108,"14.78","15.22","14.99","7.41","7.5","7.45","Ch1","2023-12-13 00:55:12.947","SMR","19.47","12-12_215"
"min200.5_220",200.5,"0.929","8.38",0.00451,"14.72","15.18","14.91","7.39","7.49","7.43","Ch1","2023-12-13 01:15:12.326","SMR","19.47","12-12_215"
"min220.5_240",220.5,"0.02","7.33",0.00042,"14.71","15.18","14.89","7.38","7.46","7.42","Ch1","2023-12-13 01:35:12.711","SMR","19.48","12-12_215"
"min240.5_260",240.5,"0.199","7.1",0.00113,"14.68","15.16","14.92","7.33","7.42","7.38","Ch1","2023-12-13 01:55:13.096","SMR","19.47","12-12_215"
"min260.5_280",260.5,"0.897","8.57",0.00452,"14.69","15.17","14.89","7.3","7.4","7.35","Ch1","2023-12-13 02:15:12.461","SMR","19.47","12-12_215"
"min280.5_300",280.5,"0.372","6.81",0.00184,"14.67","15.23","14.9","7.29","7.38","7.34","Ch1","2023-12-13 02:35:12.821","SMR","19.47","12-12_215"
"min300.5_320",300.5,"0.35","7.8",0.00164,"14.75","15.15","14.96","7.25","7.33","7.29","Ch1","2023-12-13 02:55:13.193","SMR","19.47","12-12_215"
"min320.5_340",320.5,"0.831","8.58",0.00392,"14.66","14.97","14.79","7.23","7.32","7.29","Ch1","2023-12-13 03:15:12.615","SMR","19.47","12-12_215"
"min0.5_20",0.5,"0.527","7.89",0.00232,"14.68","15.08","14.8","7.8","7.9","7.86","Ch2","2023-12-12 21:55:12.996","SMR","19.47","12-12_215"
"min20.5_40",20.5,"0.056","7.82",0.00077,"14.8","15.09","14.93","7.79","7.89","7.85","Ch2","2023-12-12 22:15:12.392","SMR","19.47","12-12_215"
"min40.5_60",40.5,"0.548","7.68",0.00283,"14.68","15.24","14.99","7.77","7.88","7.83","Ch2","2023-12-12 22:35:12.731","SMR","19.48","12-12_215"
"min60.5_80",60.5,"0.941","8.24",0.00628,"14.67","15.12","14.86","7.73","7.87","7.79","Ch2","2023-12-12 22:55:12.376","SMR","19.47","12-12_215"
"min80.5_100",80.5,"0.34","7.99",0.00239,"14.72","15.17","14.86","7.71","7.81","7.77","Ch2","2023-12-12 23:15:12.909","SMR","19.47","12-12_215"
"min100.5_120",100.5,"0.556","7.42",0.00269,"14.77","15.25","14.99","7.67","7.77","7.72","Ch2","2023-12-12 23:35:12.293","SMR","19.47","12-12_215"
"min120.5_140",120.5,"0.453","8.09",0.00307,"14.76","15.36","14.95","7.59","7.76","7.69","Ch2","2023-12-12 23:55:12.719","SMR","19.48","12-12_215"
"min140.5_160",140.5,"0.917","8.57",0.00601,"14.68","15.23","14.83","7.56","7.72","7.67","Ch2","2023-12-13 00:15:13.173","SMR","19.47","12-12_215"
"min160.5_180",160.5,"0.037","7.52",0.00064,"14.72","15.26","14.88","7.56","7.67","7.63","Ch2","2023-12-13 00:35:12.835","SMR","19.46","12-12_215"
"min180.5_200",180.5,"0.167","7.32",0.00137,"14.78","15.22","14.99","7.52","7.63","7.58","Ch2","2023-12-13 00:55:12.947","SMR","19.47","12-12_215"
"min200.5_220",200.5,"0.952","8.77",0.00577,"14.72","15.18","14.91","7.49","7.63","7.55","Ch2","2023-12-13 01:15:12.326","SMR","19.47","12-12_215"
"min220.5_240",220.5,"0.085","7.3",0.00104,"14.71","15.18","14.89","7.5","7.59","7.54","Ch2","2023-12-13 01:35:12.711","SMR","19.48","12-12_215"
"min240.5_260",240.5,"0.17","7.17",0.0013,"14.68","15.16","14.92","7.44","7.54","7.49","Ch2","2023-12-13 01:55:13.096","SMR","19.47","12-12_215"
"min260.5_280",260.5,"0.934","9.04",0.00586,"14.69","15.17","14.89","7.39","7.52","7.45","Ch2","2023-12-13 02:15:12.461","SMR","19.47","12-12_215"
"min280.5_300",280.5,"0.499","6.65",0.00274,"14.67","15.23","14.9","7.39","7.49","7.44","Ch2","2023-12-13 02:35:12.821","SMR","19.47","12-12_215"
"min300.5_320",300.5,"0.475","8.16",0.0025,"14.75","15.15","14.96","7.33","7.43","7.38","Ch2","2023-12-13 02:55:13.193","SMR","19.47","12-12_215"
"min320.5_340",320.5,"0.778","8.86",0.00447,"14.66","14.97","14.79","7.32","7.43","7.38","Ch2","2023-12-13 03:15:12.615","SMR","19.47","12-12_215"
"min0.5_20",0.5,"0.223","8.09",0.00129,"14.68","15.08","14.8","8.01","8.1","8.07","Ch3","2023-12-12 21:55:12.996","SMR","19.47","12-12_215"
"min20.5_40",20.5,"0.141","8.03",0.00123,"14.8","15.09","14.93","8.02","8.11","8.07","Ch3","2023-12-12 22:15:12.392","SMR","19.47","12-12_215"
"min40.5_60",40.5,"0.631","7.9",0.00317,"14.68","15.24","14.99","8","8.11","8.06","Ch3","2023-12-12 22:35:12.731","SMR","19.48","12-12_215"
