"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min37_45",37,0.708309417595652,8.0963990581451,-0.00333970008373413,13.37,13.37,13.37,"Ch1","2024-02-14","SMR",8,9.17081758314336e-16
"min37_45",37,0.840560769644762,8.1197214553302,-0.00488332530712747,13.37,13.37,13.37,"Ch2","2024-02-14","SMR",8,9.17081758314336e-16
"min37_45",37,0.918683772058186,8.13393609476445,-0.00513746221463971,13.37,13.37,13.37,"Ch4","2024-02-14","SMR",8,9.17081758314336e-16
"min64_70",64,0.76671202201015,8.28850608893885,-0.00529374737787669,13.37,13.37,13.37,"Ch1","2024-02-14","SMR",6,9.17081758314336e-16
"min64_70",64,0.884068307018587,8.3476759262492,-0.00685006352298306,13.37,13.37,13.37,"Ch2","2024-02-14","SMR",6,9.17081758314336e-16
"min64_70",64,0.929574954632252,8.36272251091131,-0.00706676443329427,13.37,13.37,13.37,"Ch4","2024-02-14","SMR",6,9.17081758314336e-16
"min90_98",90,0.834108413141202,8.37218407347597,-0.00492732847228133,13.37,13.37,13.37,"Ch1","2024-02-14","SMR",8,9.17081758314336e-16
"min90_98",90,0.89019703662947,8.40282740822009,-0.00582792475450431,13.37,13.37,13.37,"Ch2","2024-02-14","SMR",8,9.17081758314336e-16
"min90_98",90,0.933626114472076,8.46528575022185,-0.00657094193331921,13.37,13.37,13.37,"Ch4","2024-02-14","SMR",8,9.17081758314336e-16
"min120_128",120,0.848358919292474,8.52964308235722,-0.00523380096349435,13.37,13.37,13.37,"Ch1","2024-02-14","SMR",8,9.17081758314336e-16
"min120_128",120,0.874125523547839,8.55096349173967,-0.0058918513718964,13.37,13.37,13.37,"Ch2","2024-02-14","SMR",8,9.17081758314336e-16
"min120_128",120,0.9018103756065,8.54546082738684,-0.00598060297492654,13.37,13.37,13.37,"Ch4","2024-02-14","SMR",8,9.17081758314336e-16
