"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.79","8.06",0.00359,"13.16","13.64","13.37","7.98","8.07","8.02","Ch1","2024-02-14 21:07:45.471","SMR","19.47","02-14_210"
"min20.5_40",20.5,"0.489","7.96",0.00394,"13.24","13.62","13.41","8","8.13","8.08","Ch1","2024-02-14 21:27:45.091","SMR","19.47","02-14_210"
"min40.5_60",40.5,"0.826","7.8",0.00556,"13.25","13.68","13.51","8.02","8.15","8.08","Ch1","2024-02-14 21:47:45.501","SMR","19.46","02-14_210"
"min60.5_80",60.5,"0.927","8.58",0.00691,"13.14","13.61","13.35","8.03","8.17","8.1","Ch1","2024-02-14 22:07:45.48","SMR","19.47","02-14_210"
"min80.5_100",80.5,"0.489","7.8",0.00353,"13.16","13.6","13.35","8.05","8.16","8.12","Ch1","2024-02-14 22:27:44.92","SMR","19.47","02-14_210"
"min100.5_120",100.5,"0.532","7.67",0.00378,"13.24","13.61","13.46","8.04","8.16","8.09","Ch1","2024-02-14 22:47:45.409","SMR","19.47","02-14_210"
"min120.5_140",120.5,"0.925","8.96",0.00658,"13.15","13.63","13.37","8.04","8.17","8.1","Ch1","2024-02-14 23:07:44.861","SMR","19.47","02-14_210"
"min140.5_160",140.5,"0.088","7.93",0.0013,"13.19","13.6","13.36","8.06","8.17","8.12","Ch1","2024-02-14 23:27:45.313","SMR","19.48","02-14_210"
"min160.5_180",160.5,"0.781","7.33",0.00453,"13.27","13.62","13.45","8.05","8.15","8.11","Ch1","2024-02-14 23:47:45.691","SMR","19.47","02-14_210"
"min180.5_200",180.5,"0.637","7.31",0.00421,"13.24","13.61","13.46","8.06","8.18","8.11","Ch1","2024-02-15 00:07:45.131","SMR","19.47","02-14_210"
"min200.5_220",200.5,"0.92","9.56",0.00685,"13.13","13.63","13.36","8.05","8.19","8.12","Ch1","2024-02-15 00:27:45.582","SMR","19.47","02-14_210"
"min220.5_240",220.5,"0.252","8.58",0.00203,"13.3","13.6","13.45","8.07","8.16","8.11","Ch1","2024-02-15 00:47:44.906","SMR","19.47","02-14_210"
"min240.5_260",240.5,"0.287","8.71",0.00235,"13.31","13.64","13.47","8.06","8.17","8.12","Ch1","2024-02-15 01:07:45.288","SMR","19.48","02-14_210"
"min260.5_280",260.5,"0.018","7.98",0.00057,"13.3","13.63","13.45","8.08","8.18","8.13","Ch1","2024-02-15 01:27:45.635","SMR","19.47","02-14_210"
"min280.5_300",280.5,"0.35","7.35",0.00272,"13.23","13.59","13.4","8.08","8.18","8.14","Ch1","2024-02-15 01:47:45.145","SMR","19.47","02-14_210"
