"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min30_38",30.5,0.827791795177707,8.18098978031897,-0.00483876578539507,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",7.5,1.66752717791289e-15
"min30_38",30.5,0.900272303894178,8.16364372665094,-0.00626215238285296,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",7.5,1.66752717791289e-15
"min30_38",30.5,0.929453868214464,8.18843013784708,-0.00589609451010975,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",7.5,1.66752717791289e-15
"min58_66",58,0.865187687977428,8.31575580448034,-0.00516411464595925,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",8,1.66752717791289e-15
"min58_66",58,0.91870396108196,8.32184617843243,-0.00657736289297473,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",8,1.66752717791289e-15
"min58_66",58,0.927883648190401,8.32030901104155,-0.00571159124831828,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",8,1.66752717791289e-15
"min88_95",88,0.798547829188868,8.37759553703276,-0.00453244851112962,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",7,1.66752717791289e-15
"min88_95",88,0.901316325096203,8.45321061456247,-0.0065546054727816,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",7,1.66752717791289e-15
"min88_95",88,0.941771274590211,8.5186304941357,-0.00649314084054274,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",7,1.66752717791289e-15
"min112_119",112,0.770582180781455,8.44523440239982,-0.00431003165065851,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",7,1.66752717791289e-15
"min112_119",112,0.867500125198487,8.47257997467583,-0.00566244336054514,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",7,1.66752717791289e-15
"min112_119",112,0.900475601215952,8.52472312097252,-0.00541148170180375,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",7,1.66752717791289e-15
