"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min30_38",30.5,0.909153518807941,8.2583780365496,-0.006853786363952,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",7.5,1.66753211584388e-15
"min30_38",30.5,0.868463322767939,8.23864585218693,-0.00577467136694902,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",7.5,1.66753211584388e-15
"min30_38",30.5,0.914654070323105,8.20496554535195,-0.00581179469712114,13.38,13.38,13.38,"Ch3","2024-02-15","SMR",7.5,1.66753211584388e-15
"min30_38",30.5,0.895777216358718,8.14167125701221,-0.00565241824302144,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",7.5,1.66753211584388e-15
"min58_66",58,0.915289465227653,8.37539176036443,-0.00632008799563049,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",8,1.66753211584388e-15
"min58_66",58,0.899914455690695,8.39633585676092,-0.00624510985672708,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",8,1.66753211584388e-15
"min58_66",58,0.919074127124236,8.34228116841787,-0.00595618617468173,13.38,13.38,13.38,"Ch3","2024-02-15","SMR",8,1.66753211584388e-15
"min58_66",58,0.919621483038982,8.28719241835531,-0.00590386801480817,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",8,1.66753211584388e-15
"min86_95",86,0.908419368655383,8.41826294956126,-0.00536227145633662,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",9,1.66753211584388e-15
"min86_95",86,0.88467502149493,8.43816866709887,-0.00522546212593628,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",9,1.66753211584388e-15
"min86_95",86,0.926935549945293,8.41160310263665,-0.00536776376857187,13.38,13.38,13.38,"Ch3","2024-02-15","SMR",9,1.66753211584388e-15
"min86_95",86,0.896072368070884,8.3429878791952,-0.00506699920431808,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",9,1.66753211584388e-15
"min111_119",111,0.894104728771678,8.51659003721301,-0.00540264709136666,13.38,13.38,13.38,"Ch1","2024-02-15","SMR",8,1.66753211584388e-15
"min111_119",111,0.870098614770381,8.55459888267985,-0.00538049356285335,13.38,13.38,13.38,"Ch2","2024-02-15","SMR",8,1.66753211584388e-15
"min111_119",111,0.891797121011686,8.46933588303449,-0.00499581954835744,13.38,13.38,13.38,"Ch3","2024-02-15","SMR",8,1.66753211584388e-15
"min111_119",111,0.885239693209078,8.43863511848753,-0.00504293345150827,13.38,13.38,13.38,"Ch4","2024-02-15","SMR",8,1.66753211584388e-15
