"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min35_44",35,0.902750298683627,8.19859961078852,-0.00567162981570103,13.4,13.4,13.4,"Ch1","2024-02-15","SMR",9,2.05047967701252e-16
"min35_44",35,0.856988629738227,8.20267474181789,-0.00519794548388081,13.4,13.4,13.4,"Ch2","2024-02-15","SMR",9,2.05047967701252e-16
"min35_44",35,0.920003243079814,8.19507903402846,-0.00586915370919721,13.4,13.4,13.4,"Ch3","2024-02-15","SMR",9,2.05047967701252e-16
"min35_44",35,0.905544726978874,8.11631988752792,-0.00543405111737467,13.4,13.4,13.4,"Ch4","2024-02-15","SMR",9,2.05047967701252e-16
"min64_73",64,0.932292369035511,8.33401675786907,-0.00622719724773927,13.4,13.4,13.4,"Ch1","2024-02-15","SMR",9,2.05047967701252e-16
"min64_73",64,0.911481827686802,8.35914753637093,-0.00606143398119038,13.4,13.4,13.4,"Ch2","2024-02-15","SMR",9,2.05047967701252e-16
"min64_73",64,0.933633727332103,8.30117932054223,-0.00589541901275116,13.4,13.4,13.4,"Ch3","2024-02-15","SMR",9,2.05047967701252e-16
"min64_73",64,0.918649742940176,8.22499096271487,-0.00551572781235905,13.4,13.4,13.4,"Ch4","2024-02-15","SMR",9,2.05047967701252e-16
"min96_105",96,0.900018480244956,8.41551350028773,-0.0056754230889081,13.4,13.4,13.4,"Ch1","2024-02-15","SMR",9,2.05047967701252e-16
"min96_105",96,0.853836189000553,8.41587702054239,-0.00517142952634007,13.4,13.4,13.4,"Ch2","2024-02-15","SMR",9,2.05047967701252e-16
"min96_105",96,0.923591191580793,8.44147551741641,-0.00604788927038892,13.4,13.4,13.4,"Ch3","2024-02-15","SMR",9,2.05047967701252e-16
"min96_105",96,0.91458145672437,8.36342226784802,-0.00556953473777663,13.4,13.4,13.4,"Ch4","2024-02-15","SMR",9,2.05047967701252e-16
"min128_135",128,0.881807589376623,8.59290189664716,-0.00615731804587586,13.4,13.4,13.4,"Ch1","2024-02-15","SMR",7,2.05047967701252e-16
"min128_135",128,0.842974683488686,8.60421063671086,-0.005792511715586,13.4,13.4,13.4,"Ch2","2024-02-15","SMR",7,2.05047967701252e-16
"min128_135",128,0.904038344414758,8.56571762251883,-0.00608967418190598,13.4,13.4,13.4,"Ch3","2024-02-15","SMR",7,2.05047967701252e-16
"min128_135",128,0.830243090807148,8.44058667483074,-0.00518164932177697,13.4,13.4,13.4,"Ch4","2024-02-15","SMR",7,2.05047967701252e-16
