"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min41_48",41,0.79720204504434,7.9964094889561,-0.00432059250707302,13.37,13.37,13.37,"Ch1","2024-02-16","SMR",7,7.39952567565414e-16
"min41_48",41,0.812608498621623,8.127027024058,-0.00465182125338683,13.37,13.37,13.37,"Ch2","2024-02-16","SMR",7,7.39952567565414e-16
"min41_48",41,0.881713647002429,8.1524982640822,-0.00469838884067463,13.37,13.37,13.37,"Ch4","2024-02-16","SMR",7,7.39952567565414e-16
"min60_67",60,0.830879595436277,8.09672795385594,-0.00501755163457947,13.37,13.37,13.37,"Ch1","2024-02-16","SMR",7,7.39952567565414e-16
"min60_67",60,0.858402444422101,8.23801610553923,-0.0054957136909824,13.37,13.37,13.37,"Ch2","2024-02-16","SMR",7,7.39952567565414e-16
"min60_67",60,0.915575104075617,8.29324528791169,-0.00588552128459386,13.37,13.37,13.37,"Ch4","2024-02-16","SMR",7,7.39952567565414e-16
"min86_93",86,0.882704128033809,8.26706000399354,-0.00586805043122058,13.37,13.37,13.37,"Ch1","2024-02-16","SMR",7,7.39952567565414e-16
"min86_93",86,0.896935551612266,8.43380090132316,-0.00649953377953318,13.37,13.37,13.37,"Ch2","2024-02-16","SMR",7,7.39952567565414e-16
"min86_93",86,0.93712449367062,8.50525773609922,-0.00697457392903544,13.37,13.37,13.37,"Ch4","2024-02-16","SMR",7,7.39952567565414e-16
"min118_125",118,0.860256867819386,8.38406273202668,-0.00553058152850592,13.37,13.37,13.37,"Ch1","2024-02-16","SMR",7,7.39952567565414e-16
"min118_125",118,0.884651009617878,8.55768935266038,-0.00606148343697261,13.37,13.37,13.37,"Ch2","2024-02-16","SMR",7,7.39952567565414e-16
"min118_125",118,0.903056166674126,8.6063392696089,-0.00620372476193886,13.37,13.37,13.37,"Ch4","2024-02-16","SMR",7,7.39952567565414e-16
