"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.34","7.73",0.00153,"13.23","13.65","13.44","7.68","7.77","7.71","Ch1","2024-02-16 15:01:27.738","SMR","19.47","02-16_150"
"min20.5_40",20.5,"0.965","7.89",0.00801,"13.1","13.65","13.33","7.57","7.72","7.64","Ch1","2024-02-16 15:21:27.262","SMR","19.47","02-16_150"
"min40.5_60",40.5,"0.244","7.56",0.00119,"13.16","13.63","13.38","7.58","7.65","7.62","Ch1","2024-02-16 15:41:27.647","SMR","19.47","02-16_150"
"min60.5_80",60.5,"0.21","7.65",0.00129,"13.25","13.5","13.37","7.52","7.6","7.56","Ch1","2024-02-16 16:01:27.264","SMR","19.47","02-16_150"
"min80.5_100",80.5,"0.759","7.28",0.00271,"13.19","13.69","13.43","7.47","7.56","7.53","Ch1","2024-02-16 16:21:27.454","SMR","19.47","02-16_150"
"min100.5_120",100.5,"0.34","7.75",0.00257,"13.22","13.65","13.48","7.43","7.54","7.47","Ch1","2024-02-16 16:41:27.797","SMR","19.47","02-16_150"
"min120.5_140",120.5,"0.694","8.06",0.00452,"13.14","13.54","13.32","7.39","7.52","7.47","Ch1","2024-02-16 17:01:27.168","SMR","19.47","02-16_150"
"min140.5_160",140.5,"0.807","6.97",0.00298,"13.16","13.63","13.42","7.38","7.46","7.42","Ch1","2024-02-16 17:21:27.543","SMR","19.48","02-16_150"
"min160.5_180",160.5,"0.895","8.52",0.0067,"13.08","13.69","13.38","7.32","7.46","7.38","Ch1","2024-02-16 17:41:27.913","SMR","19.47","02-16_150"
"min180.5_200",180.5,"0.045","7.51",7e-04,"13.17","13.62","13.37","7.32","7.41","7.38","Ch1","2024-02-16 18:01:27.271","SMR","19.47","02-16_150"
"min0.5_20",0.5,"0.259","7.86",0.0011,"13.23","13.65","13.44","7.84","7.9","7.88","Ch2","2024-02-16 15:01:27.738","SMR","19.47","02-16_150"
"min20.5_40",20.5,"0.956","8.08",0.00796,"13.1","13.65","13.33","7.76","7.91","7.84","Ch2","2024-02-16 15:21:27.262","SMR","19.47","02-16_150"
"min40.5_60",40.5,"0.496","7.71",0.00219,"13.16","13.63","13.38","7.77","7.85","7.82","Ch2","2024-02-16 15:41:27.647","SMR","19.47","02-16_150"
"min60.5_80",60.5,"0.077","7.83",0.00078,"13.25","13.5","13.37","7.73","7.81","7.77","Ch2","2024-02-16 16:01:27.264","SMR","19.47","02-16_150"
"min80.5_100",80.5,"0.848","7.42",0.00364,"13.19","13.69","13.43","7.69","7.79","7.75","Ch2","2024-02-16 16:21:27.454","SMR","19.47","02-16_150"
"min100.5_120",100.5,"0.338","8",0.00275,"13.22","13.65","13.48","7.65","7.77","7.7","Ch2","2024-02-16 16:41:27.797","SMR","19.47","02-16_150"
"min120.5_140",120.5,"0.667","8.3",0.00462,"13.14","13.54","13.32","7.62","7.75","7.7","Ch2","2024-02-16 17:01:27.168","SMR","19.47","02-16_150"
"min140.5_160",140.5,"0.87","7.08",0.00383,"13.16","13.63","13.42","7.61","7.7","7.66","Ch2","2024-02-16 17:21:27.543","SMR","19.48","02-16_150"
"min160.5_180",160.5,"0.911","8.86",0.00734,"13.08","13.69","13.38","7.55","7.7","7.61","Ch2","2024-02-16 17:41:27.913","SMR","19.47","02-16_150"
"min180.5_200",180.5,"0.003","7.65",0.00018,"13.17","13.62","13.37","7.56","7.65","7.62","Ch2","2024-02-16 18:01:27.271","SMR","19.47","02-16_150"
"min0.5_20",0.5,"0.664","7.86",0.0021,"13.23","13.65","13.44","7.84","7.92","7.88","Ch4","2024-02-16 15:01:27.738","SMR","19.47","02-16_150"
"min20.5_40",20.5,"0.964","8.11",0.00867,"13.1","13.65","13.33","7.76","7.92","7.84","Ch4","2024-02-16 15:21:27.262","SMR","19.47","02-16_150"
"min40.5_60",40.5,"0.407","7.73",0.00181,"13.16","13.63","13.38","7.77","7.84","7.82","Ch4","2024-02-16 15:41:27.647","SMR","19.47","02-16_150"
"min60.5_80",60.5,"0.162","7.84",0.00117,"13.25","13.5","13.37","7.72","7.8","7.76","Ch4","2024-02-16 16:01:27.264","SMR","19.47","02-16_150"
"min80.5_100",80.5,"0.832","7.41",0.00346,"13.19","13.69","13.43","7.67","7.77","7.72","Ch4","2024-02-16 16:21:27.454","SMR","19.47","02-16_150"
"min100.5_120",100.5,"0.434","8.04",0.00339,"13.22","13.65","13.48","7.63","7.75","7.67","Ch4","2024-02-16 16:41:27.797","SMR","19.47","02-16_150"
"min120.5_140",120.5,"0.635","8.29",0.00475,"13.14","13.54","13.32","7.58","7.72","7.67","Ch4","2024-02-16 17:01:27.168","SMR","19.47","02-16_150"
"min140.5_160",140.5,"0.848","7.09",0.00348,"13.16","13.63","13.42","7.57","7.65","7.62","Ch4","2024-02-16 17:21:27.543","SMR","19.48","02-16_150"
"min160.5_180",160.5,"0.919","8.88",0.0077,"13.08","13.69","13.38","7.49","7.65","7.56","Ch4","2024-02-16 17:41:27.913","SMR","19.47","02-16_150"
"min180.5_200",180.5,"0.006","7.62",0.00029,"13.17","13.62","13.37","7.51","7.6","7.56","Ch4","2024-02-16 18:01:27.271","SMR","19.47","02-16_150"
