"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.758","7.75",0.00798,"13.18","13.48","13.33","7.6","7.78","7.67","Ch1","2024-02-17 09:19:36.379","SMR","19.47","02-17_091"
"min20.5_40",20.5,"0.892","7.79",0.00587,"13.11","13.55","13.28","7.55","7.67","7.61","Ch1","2024-02-17 09:39:35.877","SMR","19.48","02-17_091"
"min40.5_60",40.5,"0.056","7.63",0.00083,"13.12","13.51","13.29","7.53","7.63","7.59","Ch1","2024-02-17 09:59:36.361","SMR","19.47","02-17_091"
"min60.5_80",60.5,"0.436","7.39",0.00197,"13.19","13.59","13.43","7.49","7.56","7.53","Ch1","2024-02-17 10:19:36.444","SMR","19.47","02-17_091"
"min80.5_100",80.5,"0.945","8.16",0.0074,"13.08","13.59","13.32","7.42","7.56","7.49","Ch1","2024-02-17 10:39:35.784","SMR","19.47","02-17_091"
"min100.5_120",100.5,"0.311","7.71",0.0023,"13.16","13.54","13.33","7.4","7.51","7.46","Ch1","2024-02-17 10:59:36.124","SMR","19.48","02-17_091"
"min120.5_140",120.5,"0.49","7.19",0.00184,"13.07","13.52","13.29","7.39","7.46","7.43","Ch1","2024-02-17 11:19:36.469","SMR","19.47","02-17_091"
"min140.5_160",140.5,"0.138","7.56",0.00132,"13.16","13.57","13.4","7.32","7.41","7.36","Ch1","2024-02-17 11:39:35.84","SMR","19.47","02-17_091"
"min160.5_180",160.5,"0.857","8.35",0.00588,"13.05","13.44","13.24","7.28","7.4","7.35","Ch1","2024-02-17 11:59:36.225","SMR","19.47","02-17_091"
"min0.5_20",0.5,"0.679","7.92",0.00611,"13.18","13.48","13.33","7.8","7.95","7.86","Ch2","2024-02-17 09:19:36.379","SMR","19.47","02-17_091"
"min20.5_40",20.5,"0.856","8",0.00569,"13.11","13.55","13.28","7.76","7.89","7.83","Ch2","2024-02-17 09:39:35.877","SMR","19.48","02-17_091"
"min40.5_60",40.5,"0","7.82",8e-05,"13.12","13.51","13.29","7.76","7.87","7.82","Ch2","2024-02-17 09:59:36.361","SMR","19.47","02-17_091"
"min60.5_80",60.5,"0.543","7.58",0.00269,"13.19","13.59","13.43","7.73","7.81","7.76","Ch2","2024-02-17 10:19:36.444","SMR","19.47","02-17_091"
"min80.5_100",80.5,"0.944","8.42",0.00757,"13.08","13.59","13.32","7.67","7.82","7.74","Ch2","2024-02-17 10:39:35.784","SMR","19.47","02-17_091"
"min100.5_120",100.5,"0.166","7.9",0.00164,"13.16","13.54","13.33","7.66","7.77","7.72","Ch2","2024-02-17 10:59:36.124","SMR","19.48","02-17_091"
"min120.5_140",120.5,"0.68","7.31",0.00293,"13.07","13.52","13.29","7.65","7.73","7.69","Ch2","2024-02-17 11:19:36.469","SMR","19.47","02-17_091"
"min140.5_160",140.5,"0.055","7.76",0.00087,"13.16","13.57","13.4","7.59","7.69","7.63","Ch2","2024-02-17 11:39:35.84","SMR","19.47","02-17_091"
"min160.5_180",160.5,"0.831","8.64",0.0059,"13.05","13.44","13.24","7.57","7.69","7.64","Ch2","2024-02-17 11:59:36.225","SMR","19.47","02-17_091"
"min0.5_20",0.5,"0.433","7.9",0.00334,"13.18","13.48","13.33","7.82","7.93","7.87","Ch4","2024-02-17 09:19:36.379","SMR","19.47","02-17_091"
"min20.5_40",20.5,"0.787","8.03",0.00515,"13.11","13.55","13.28","7.82","7.93","7.88","Ch4","2024-02-17 09:39:35.877","SMR","19.48","02-17_091"
"min40.5_60",40.5,"0.021","7.84",0.00059,"13.12","13.51","13.29","7.83","7.92","7.87","Ch4","2024-02-17 09:59:36.361","SMR","19.47","02-17_091"
"min60.5_80",60.5,"0.638","7.57",0.00365,"13.19","13.59","13.43","7.78","7.88","7.82","Ch4","2024-02-17 10:19:36.444","SMR","19.47","02-17_091"
"min80.5_100",80.5,"0.949","8.51",0.00782,"13.08","13.59","13.32","7.74","7.89","7.81","Ch4","2024-02-17 10:39:35.784","SMR","19.47","02-17_091"
"min100.5_120",100.5,"0.09","7.93",0.00126,"13.16","13.54","13.33","7.74","7.84","7.8","Ch4","2024-02-17 10:59:36.124","SMR","19.48","02-17_091"
"min120.5_140",120.5,"0.734","7.33",0.00346,"13.07","13.52","13.29","7.73","7.82","7.78","Ch4","2024-02-17 11:19:36.469","SMR","19.47","02-17_091"
"min140.5_160",140.5,"0.035","7.83",0.00073,"13.16","13.57","13.4","7.67","7.77","7.72","Ch4","2024-02-17 11:39:35.84","SMR","19.47","02-17_091"
"min160.5_180",160.5,"0.8","8.74",0.00593,"13.05","13.44","13.24","7.66","7.79","7.73","Ch4","2024-02-17 11:59:36.225","SMR","19.47","02-17_091"
