"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.458","7.97",0.00192,"13.32","13.58","13.43","7.9","7.99","7.95","Ch1","2024-02-17 12:48:14.258","SMR","19.47","02-17_124"
"min20.5_40",20.5,"0.57","7.85",0.00312,"13.35","13.64","13.51","7.9","7.99","7.94","Ch1","2024-02-17 13:08:13.691","SMR","19.47","02-17_124"
"min40.5_60",40.5,"0.634","7.76",0.00338,"13.33","13.72","13.56","7.89","7.98","7.93","Ch1","2024-02-17 13:28:14.075","SMR","19.46","02-17_124"
"min60.5_80",60.5,"0.902","8.38",0.0066,"13.25","13.67","13.46","7.86","7.99","7.91","Ch1","2024-02-17 13:48:13.972","SMR","19.47","02-17_124"
"min0.5_20",0.5,"0.49","7.98",0.00211,"13.32","13.58","13.43","7.9","7.99","7.95","Ch2","2024-02-17 12:48:14.258","SMR","19.47","02-17_124"
"min20.5_40",20.5,"0.562","7.85",0.00314,"13.35","13.64","13.51","7.9","7.99","7.95","Ch2","2024-02-17 13:08:13.691","SMR","19.47","02-17_124"
"min40.5_60",40.5,"0.613","7.77",0.00322,"13.33","13.72","13.56","7.89","7.98","7.93","Ch2","2024-02-17 13:28:14.075","SMR","19.46","02-17_124"
"min60.5_80",60.5,"0.897","8.39",0.00685,"13.25","13.67","13.46","7.85","7.98","7.91","Ch2","2024-02-17 13:48:13.972","SMR","19.47","02-17_124"
"min0.5_20",0.5,"0.03","7.95",4e-04,"13.32","13.58","13.43","7.9","7.98","7.94","Ch3","2024-02-17 12:48:14.258","SMR","19.47","02-17_124"
"min20.5_40",20.5,"0.582","7.85",0.00345,"13.35","13.64","13.51","7.9","8","7.95","Ch3","2024-02-17 13:08:13.691","SMR","19.47","02-17_124"
"min40.5_60",40.5,"0.682","7.76",0.0036,"13.33","13.72","13.56","7.9","7.99","7.94","Ch3","2024-02-17 13:28:14.075","SMR","19.46","02-17_124"
"min60.5_80",60.5,"0.903","8.4",0.00684,"13.25","13.67","13.46","7.86","8","7.92","Ch3","2024-02-17 13:48:13.972","SMR","19.47","02-17_124"
