"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min41_50",41,0.906596055865091,7.8483649081141,-0.00564137577682114,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",9,-7.72125324202809e-16
"min41_50",41,0.930007054444773,8.08639970976388,-0.0065409036110255,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",9,-7.72125324202809e-16
"min41_50",41,0.958795051369188,8.14387338636149,-0.00708098016302544,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",9,-7.72125324202809e-16
"min71_81",71,0.907941863104017,7.92912088960198,-0.00481655717123186,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",10,-7.72125324202809e-16
"min71_81",71,0.925135070534748,8.15257018991229,-0.00541500550111645,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",10,-7.72125324202809e-16
"min71_81",71,0.944377627345257,8.2405635281307,-0.00615549494577857,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",10,-7.72125324202809e-16
"min97_104",97,0.802926033848501,7.97995015799301,-0.00447989773527619,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",7,-7.72125324202809e-16
"min97_104",97,0.888846229273125,8.31626103704964,-0.00614003238633129,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",7,-7.72125324202809e-16
"min97_104",97,0.923650318247685,8.35160524629155,-0.00621801298890215,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",7,-7.72125324202809e-16
"min119_126",119,0.804263591831772,8.06939763825599,-0.00457795760700604,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",7,-7.72125324202809e-16
"min119_126",119,0.839229937408209,8.31672515686987,-0.00526212000153836,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",7,-7.72125324202809e-16
"min119_126",119,0.922395854556832,8.4229712531907,-0.00590929847621629,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",7,-7.72125324202809e-16
