"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min42_52",42,0.934999264534985,8.17783780874833,-0.0060062358706812,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",10,-7.7215852919567e-16
"min42_52",42,0.912192281093792,8.17418326425754,-0.0055654636752964,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",10,-7.7215852919567e-16
"min42_52",42,0.948580876282499,8.1960686699035,-0.00654089939274296,13.33,13.33,13.33,"Ch3","2024-02-17","SMR",10,-7.7215852919567e-16
"min42_52",42,0.942031836060118,8.14547904757705,-0.00645161786838777,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",10,-7.7215852919567e-16
"min73_82",73,0.921847900004916,8.27457803654556,-0.0054265891453383,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",9.5,-7.7215852919567e-16
"min73_82",73,0.904179456683668,8.27843271879402,-0.00519559456690229,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",9.5,-7.7215852919567e-16
"min73_82",73,0.94498426800623,8.33378619223474,-0.00648438877789422,13.33,13.33,13.33,"Ch3","2024-02-17","SMR",9.5,-7.7215852919567e-16
"min73_82",73,0.927829599116429,8.24326365815153,-0.0058051196604644,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",9.5,-7.7215852919567e-16
"min99_106",99,0.855758673130998,8.35559119254507,-0.00531819915096603,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",7,-7.7215852919567e-16
"min99_106",99,0.828230810534652,8.369244283389,-0.00519544930569618,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",7,-7.7215852919567e-16
"min99_106",99,0.910413960873641,8.41061098368035,-0.00622985100776312,13.33,13.33,13.33,"Ch3","2024-02-17","SMR",7,-7.7215852919567e-16
"min99_106",99,0.834074769835875,8.24894543925278,-0.00490905084380159,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",7,-7.7215852919567e-16
"min121_130",121,0.910112875629336,8.39773990786635,-0.00490839798261044,13.33,13.33,13.33,"Ch1","2024-02-17","SMR",9,-7.7215852919567e-16
"min121_130",121,0.888578640219722,8.40328155674829,-0.00470955025870536,13.33,13.33,13.33,"Ch2","2024-02-17","SMR",9,-7.7215852919567e-16
"min121_130",121,0.919184224392767,8.41914448013379,-0.00548591408092905,13.33,13.33,13.33,"Ch3","2024-02-17","SMR",9,-7.7215852919567e-16
"min121_130",121,0.870938445801446,8.28372978288738,-0.00451294251664283,13.33,13.33,13.33,"Ch4","2024-02-17","SMR",9,-7.7215852919567e-16
