"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min41_49",41,0.831467067131961,7.73709085989787,-0.00469912120837153,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",8,-3.655062712538e-16
"min41_49",41,0.913348184764204,8.08386349589014,-0.00673964240015804,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",8,-3.655062712538e-16
"min41_49",41,0.911221583476024,8.08851338275558,-0.00538380793509219,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",8,-3.655062712538e-16
"min91_101",91,0.885698699350727,7.94874279589805,-0.00498578745913672,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",10,-3.655062712538e-16
"min91_101",91,0.909426786527427,8.2733202309468,-0.006176126981754,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",10,-3.655062712538e-16
"min91_101",91,0.923411131607694,8.32803866490442,-0.00543829871456651,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",10,-3.655062712538e-16
"min121_130",121,0.839002332042492,8.01348442036332,-0.0045745493329282,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",9,-3.655062712538e-16
"min121_130",121,0.911654770458541,8.38667703680808,-0.00612135827945275,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",9,-3.655062712538e-16
"min121_130",121,0.892172584716647,8.40082257470568,-0.00496510829189123,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",9,-3.655062712538e-16
"min149_159",149,0.866466612380599,8.1176532935269,-0.00461070257882961,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",10,-3.655062712538e-16
"min149_159",149,0.882573600610772,8.41946201158101,-0.00554373214336468,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",10,-3.655062712538e-16
"min149_159",149,0.886279628259815,8.54265274140199,-0.00513103433768915,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",10,-3.655062712538e-16
