"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min43_51",43,0.942182664028398,8.16759851704576,-0.00707587278372484,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",8,-8.24378462446887e-16
"min43_51",43,0.897640008941007,8.19860046576797,-0.00607114934455093,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",8,-8.24378462446887e-16
"min43_51",43,0.952335080811432,8.19357320276121,-0.00728218023271991,13.35,13.35,13.35,"Ch3","2024-02-18","SMR",8,-8.24378462446887e-16
"min43_51",43,0.918015059655631,8.15411347450858,-0.00598277339387236,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",8,-8.24378462446887e-16
"min66_75",66,0.912076637213902,8.14615800839791,-0.00516812653863715,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",9,-8.24378462446887e-16
"min66_75",66,0.803825511686588,8.18511718085429,-0.00409954745029755,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",9,-8.24378462446887e-16
"min66_75",66,0.908663045501655,8.15706019042472,-0.00486240876563457,13.35,13.35,13.35,"Ch3","2024-02-18","SMR",9,-8.24378462446887e-16
"min66_75",66,0.864128859305843,8.15343148592799,-0.00433263507125396,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",9,-8.24378462446887e-16
"min95_105",95,0.952936046370722,8.41533648604581,-0.00720800398678208,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",10,-8.24378462446887e-16
"min95_105",95,0.934869783552997,8.49695042490148,-0.00647632829141315,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",10,-8.24378462446887e-16
"min95_105",95,0.954906631760256,8.46648633770125,-0.00727436600830541,13.35,13.35,13.35,"Ch3","2024-02-18","SMR",10,-8.24378462446887e-16
"min95_105",95,0.925752984124275,8.37648749644001,-0.005903176016943,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",10,-8.24378462446887e-16
"min124_133",124,0.939627469088402,8.4497034525715,-0.00637957587251213,13.35,13.35,13.35,"Ch1","2024-02-18","SMR",9,-8.24378462446887e-16
"min124_133",124,0.876690915523113,8.52555830662112,-0.00551575848237868,13.35,13.35,13.35,"Ch2","2024-02-18","SMR",9,-8.24378462446887e-16
"min124_133",124,0.938345942889524,8.49313366875343,-0.00629610062440227,13.35,13.35,13.35,"Ch3","2024-02-18","SMR",9,-8.24378462446887e-16
"min124_133",124,0.886207904671697,8.37359551689714,-0.00486420951849275,13.35,13.35,13.35,"Ch4","2024-02-18","SMR",9,-8.24378462446887e-16
