"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min45_53",45,0.801949273199523,8.15698425810679,-0.00439662850217487,13.44,13.44,13.44,"Ch1","2024-02-19","SMR",8,-8.60766757849257e-16
"min45_53",45,0.806894531184014,8.16441625646134,-0.00480116200223196,13.44,13.44,13.44,"Ch2","2024-02-19","SMR",8,-8.60766757849257e-16
"min45_53",45,0.813512041576864,8.1489121719608,-0.00400764694570118,13.44,13.44,13.44,"Ch3","2024-02-19","SMR",8,-8.60766757849257e-16
"min45_53",45,0.857336413212588,8.17288857852099,-0.00484383355041711,13.44,13.44,13.44,"Ch4","2024-02-19","SMR",8,-8.60766757849257e-16
"min72_87",72,0.912280668550811,8.25146529761707,-0.00427846217370231,13.44,13.44,13.44,"Ch1","2024-02-19","SMR",15,-8.60766757849257e-16
"min72_87",72,0.917413031060889,8.26255505368035,-0.00469004811965193,13.44,13.44,13.44,"Ch2","2024-02-19","SMR",15,-8.60766757849257e-16
"min72_87",72,0.924238837276101,8.25707338954814,-0.00409473954939485,13.44,13.44,13.44,"Ch3","2024-02-19","SMR",15,-8.60766757849257e-16
"min72_87",72,0.932284881888748,8.24928841431644,-0.00440095930319641,13.44,13.44,13.44,"Ch4","2024-02-19","SMR",15,-8.60766757849257e-16
"min105_112",105,0.857668964086236,8.45641943443854,-0.00517592753963419,13.44,13.44,13.44,"Ch1","2024-02-19","SMR",7,-8.60766757849257e-16
"min105_112",105,0.844970814405673,8.47206873091931,-0.00561193435504243,13.44,13.44,13.44,"Ch2","2024-02-19","SMR",7,-8.60766757849257e-16
"min105_112",105,0.859363094989508,8.47301540035275,-0.00505360223669089,13.44,13.44,13.44,"Ch3","2024-02-19","SMR",7,-8.60766757849257e-16
"min105_112",105,0.866873750570907,8.43590736350864,-0.00501978266321602,13.44,13.44,13.44,"Ch4","2024-02-19","SMR",7,-8.60766757849257e-16
