"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min45_55",45,0.876012431866591,8.11758869617267,-0.00474002052980372,13.42,13.42,13.42,"Ch1","2024-02-20","SMR",10,2.51849653833298e-16
"min45_55",45,0.866372628915869,8.10898855369547,-0.00485557415477289,13.42,13.42,13.42,"Ch2","2024-02-20","SMR",10,2.51849653833298e-16
"min45_55",45,0.935789495076816,8.10873951982884,-0.00563596790770504,13.42,13.42,13.42,"Ch3","2024-02-20","SMR",10,2.51849653833298e-16
"min45_55",45,0.895519968181602,8.12677111109501,-0.0046767508351459,13.42,13.42,13.42,"Ch4","2024-02-20","SMR",10,2.51849653833298e-16
"min75_84",75,0.921344108800188,8.31584775890084,-0.00620785057560147,13.42,13.42,13.42,"Ch1","2024-02-20","SMR",9,2.51849653833298e-16
"min75_84",75,0.922810153578862,8.31203152696256,-0.00635064038732725,13.42,13.42,13.42,"Ch2","2024-02-20","SMR",9,2.51849653833298e-16
"min75_84",75,0.937251173447417,8.23762643208645,-0.00606244074543908,13.42,13.42,13.42,"Ch3","2024-02-20","SMR",9,2.51849653833298e-16
"min75_84",75,0.91297530956052,8.26986728462342,-0.00519394385702566,13.42,13.42,13.42,"Ch4","2024-02-20","SMR",9,2.51849653833298e-16
"min102_112",102,0.929244571370202,8.4141728505079,-0.00598248913325498,13.42,13.42,13.42,"Ch1","2024-02-20","SMR",10,2.51849653833298e-16
"min102_112",102,0.93164257120971,8.42523109791447,-0.00625109740502662,13.42,13.42,13.42,"Ch2","2024-02-20","SMR",10,2.51849653833298e-16
"min102_112",102,0.952861180759889,8.38465205981113,-0.00643618384504532,13.42,13.42,13.42,"Ch3","2024-02-20","SMR",10,2.51849653833298e-16
"min102_112",102,0.937718630005383,8.4197243418589,-0.00553336057517208,13.42,13.42,13.42,"Ch4","2024-02-20","SMR",10,2.51849653833298e-16
"min132_141",132,0.876949193250987,8.45979800453167,-0.005380080259242,13.42,13.42,13.42,"Ch1","2024-02-20","SMR",9,2.51849653833298e-16
"min132_141",132,0.892261240865377,8.51384924500877,-0.0059336300647389,13.42,13.42,13.42,"Ch2","2024-02-20","SMR",9,2.51849653833298e-16
"min132_141",132,0.923114838478211,8.44205057929784,-0.00593861719714429,13.42,13.42,13.42,"Ch3","2024-02-20","SMR",9,2.51849653833298e-16
"min132_141",132,0.898798107078689,8.50149149634196,-0.00516993462564899,13.42,13.42,13.42,"Ch4","2024-02-20","SMR",9,2.51849653833298e-16
