"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.006","7.88",0.00018,"13.27","13.72","13.47","7.85","7.92","7.88","Ch1","2024-02-20 19:19:27.014","SMR","19.47","02-20_191"
"min20.5_40",20.5,"0.593","7.75",0.00348,"13.42","13.73","13.59","7.8","7.91","7.85","Ch1","2024-02-20 19:39:26.599","SMR","19.47","02-20_191"
"min40.5_60",40.5,"0.722","8.11",0.00451,"13.22","13.64","13.4","7.82","7.94","7.89","Ch1","2024-02-20 19:59:27.088","SMR","19.47","02-20_191"
"min60.5_80",60.5,"0.504","7.69",0.0028,"13.28","13.65","13.45","7.82","7.93","7.88","Ch1","2024-02-20 20:19:26.847","SMR","19.47","02-20_191"
"min80.5_100",80.5,"0.659","7.57",0.00334,"13.37","13.68","13.54","7.82","7.92","7.87","Ch1","2024-02-20 20:39:27.091","SMR","19.47","02-20_191"
"min100.5_120",100.5,"0.522","7.56",0.00291,"13.35","13.68","13.54","7.83","7.93","7.88","Ch1","2024-02-20 20:59:26.48","SMR","19.47","02-20_191"
"min120.5_140",120.5,"0.034","7.79",7e-04,"13.36","13.69","13.52","7.83","7.93","7.88","Ch1","2024-02-20 21:19:26.862","SMR","19.48","02-20_191"
"min140.5_160",140.5,"0.863","8.67",0.00523,"13.25","13.74","13.47","7.83","7.96","7.88","Ch1","2024-02-20 21:39:27.237","SMR","19.47","02-20_191"
"min160.5_180",160.5,"0.004","7.93",2e-04,"13.37","13.67","13.51","7.85","7.94","7.89","Ch1","2024-02-20 21:59:26.588","SMR","19.47","02-20_191"
"min180.5_200",180.5,"0.543","7.34",0.00299,"13.24","13.68","13.43","7.85","7.95","7.91","Ch1","2024-02-20 22:19:26.964","SMR","19.47","02-20_191"
"min200.5_220",200.5,"0.232","7.46",0.00198,"13.36","13.72","13.56","7.83","7.93","7.87","Ch1","2024-02-20 22:39:26.361","SMR","19.47","02-20_191"
"min220.5_240",220.5,"0.689","8.88",0.00424,"13.23","13.7","13.43","7.83","7.96","7.9","Ch1","2024-02-20 22:59:26.723","SMR","19.47","02-20_191"
"min240.5_260",240.5,"0.795","6.85",0.00423,"13.24","13.66","13.46","7.85","7.96","7.91","Ch1","2024-02-20 23:19:27.077","SMR","19.47","02-20_191"
