"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","Ch","DateTime_start","type","n_min","Temp_slope"
"min49_59",49,0.813439144776952,7.76469637372042,-0.00419197290750142,13.49,13.49,13.49,"Ch1","2024-02-21","SMR",10,-3.74068833022842e-16
"min49_59",49,0.841964772384878,7.97496292471392,-0.00475874405907224,13.49,13.49,13.49,"Ch2","2024-02-21","SMR",10,-3.74068833022842e-16
"min49_59",49,0.834138216980558,7.97920386750437,-0.00451581551981831,13.49,13.49,13.49,"Ch4","2024-02-21","SMR",10,-3.74068833022842e-16
"min72_82",72,0.857292471445566,7.84154852601949,-0.00433976028987774,13.49,13.49,13.49,"Ch1","2024-02-21","SMR",10,-3.74068833022842e-16
"min72_82",72,0.880224692373223,8.05590884514665,-0.00483358367942976,13.49,13.49,13.49,"Ch2","2024-02-21","SMR",10,-3.74068833022842e-16
"min72_82",72,0.909310554780081,8.07346202510934,-0.00474295740667724,13.49,13.49,13.49,"Ch4","2024-02-21","SMR",10,-3.74068833022842e-16
"min101_111",101,0.89189758104911,7.98870179790758,-0.00499089421075494,13.49,13.49,13.49,"Ch1","2024-02-21","SMR",10,-3.74068833022842e-16
"min101_111",101,0.920702248122758,8.20982004897625,-0.00546810994940128,13.49,13.49,13.49,"Ch2","2024-02-21","SMR",10,-3.74068833022842e-16
"min101_111",101,0.924270860603732,8.23768275264357,-0.00546586176977262,13.49,13.49,13.49,"Ch4","2024-02-21","SMR",10,-3.74068833022842e-16
"min130_144",130,0.917891002006351,8.04126175318617,-0.00455232458356031,13.49,13.49,13.49,"Ch1","2024-02-21","SMR",14,-3.74068833022842e-16
"min130_144",130,0.927439725134269,8.2322112116239,-0.00480628394923069,13.49,13.49,13.49,"Ch2","2024-02-21","SMR",14,-3.74068833022842e-16
"min130_144",130,0.934191347357162,8.25438176388283,-0.00468561860415663,13.49,13.49,13.49,"Ch4","2024-02-21","SMR",14,-3.74068833022842e-16
