"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.693","8.07",0.00555,"13.3","13.69","13.51","7.96","8.13","8.01","Ch1","2024-02-21 15:01:41.127","SMR","19.46","02-21_150"
"min20.5_40",20.5,"0.738","8.07",0.00521,"13.25","13.75","13.53","7.86","8","7.91","Ch1","2024-02-21 15:21:40.516","SMR","19.47","02-21_150"
"min40.5_60",40.5,"0.001","7.92",6e-05,"13.21","13.63","13.4","7.89","7.96","7.92","Ch1","2024-02-21 15:41:40.912","SMR","19.46","02-21_150"
"min60.5_80",60.5,"0.02","7.88",0.00047,"13.35","13.73","13.58","7.8","7.89","7.85","Ch1","2024-02-21 16:01:40.842","SMR","19.47","02-21_150"
"min80.5_100",80.5,"0.824","8.31",0.00511,"13.32","13.71","13.51","7.78","7.9","7.84","Ch1","2024-02-21 16:21:40.306","SMR","19.47","02-21_150"
"min100.5_120",100.5,"0.192","7.69",0.00135,"13.28","13.71","13.48","7.79","7.88","7.84","Ch1","2024-02-21 16:41:40.753","SMR","19.47","02-21_150"
"min120.5_140",120.5,"0.61","7.48",0.00248,"13.33","13.69","13.51","7.76","7.84","7.8","Ch1","2024-02-21 17:01:40.218","SMR","19.47","02-21_150"
"min140.5_160",140.5,"0.053","7.89",8e-04,"13.35","13.73","13.57","7.72","7.82","7.77","Ch1","2024-02-21 17:21:40.635","SMR","19.48","02-21_150"
"min160.5_180",160.5,"0.795","8.56",0.00471,"13.37","13.72","13.55","7.71","7.82","7.76","Ch1","2024-02-21 17:41:41.045","SMR","19.47","02-21_150"
"min0.5_20",0.5,"0.703","8.05",0.00529,"13.3","13.69","13.51","7.94","8.11","8","Ch2","2024-02-21 15:01:41.127","SMR","19.46","02-21_150"
"min20.5_40",20.5,"0.803","8.08",0.00664,"13.25","13.75","13.53","7.82","7.99","7.88","Ch2","2024-02-21 15:21:40.516","SMR","19.47","02-21_150"
"min40.5_60",40.5,"0.164","7.92",0.00105,"13.21","13.63","13.4","7.82","7.9","7.87","Ch2","2024-02-21 15:41:40.912","SMR","19.46","02-21_150"
"min60.5_80",60.5,"0.202","7.89",0.00175,"13.35","13.73","13.58","7.72","7.82","7.76","Ch2","2024-02-21 16:01:40.842","SMR","19.47","02-21_150"
"min80.5_100",80.5,"0.892","8.35",0.00679,"13.32","13.71","13.51","7.66","7.8","7.73","Ch2","2024-02-21 16:21:40.306","SMR","19.47","02-21_150"
"min100.5_120",100.5,"0.009","7.72",0.00027,"13.28","13.71","13.48","7.65","7.73","7.69","Ch2","2024-02-21 16:41:40.753","SMR","19.47","02-21_150"
"min120.5_140",120.5,"0.245","7.48",0.00114,"13.33","13.69","13.51","7.59","7.67","7.63","Ch2","2024-02-21 17:01:40.218","SMR","19.47","02-21_150"
"min140.5_160",140.5,"0.302","7.91",0.00225,"13.35","13.73","13.57","7.52","7.64","7.57","Ch2","2024-02-21 17:21:40.635","SMR","19.48","02-21_150"
"min160.5_180",160.5,"0.858","8.54",0.00595,"13.37","13.72","13.55","7.47","7.59","7.53","Ch2","2024-02-21 17:41:41.045","SMR","19.47","02-21_150"
"min0.5_20",0.5,"0.494","8.01",0.00314,"13.3","13.69","13.51","7.94","8.06","7.98","Ch3","2024-02-21 15:01:41.127","SMR","19.46","02-21_150"
"min20.5_40",20.5,"0.767","8.07",0.00581,"13.25","13.75","13.53","7.83","7.98","7.89","Ch3","2024-02-21 15:21:40.516","SMR","19.47","02-21_150"
"min40.5_60",40.5,"0.059","7.92",6e-04,"13.21","13.63","13.4","7.84","7.92","7.89","Ch3","2024-02-21 15:41:40.912","SMR","19.46","02-21_150"
"min60.5_80",60.5,"0.09","7.87",0.00106,"13.35","13.73","13.58","7.76","7.85","7.8","Ch3","2024-02-21 16:01:40.842","SMR","19.47","02-21_150"
"min80.5_100",80.5,"0.867","8.33",0.00608,"13.32","13.71","13.51","7.72","7.84","7.78","Ch3","2024-02-21 16:21:40.306","SMR","19.47","02-21_150"
"min100.5_120",100.5,"0.041","7.69",0.00059,"13.28","13.71","13.48","7.72","7.8","7.76","Ch3","2024-02-21 16:41:40.753","SMR","19.47","02-21_150"
"min120.5_140",120.5,"0.521","7.44",0.00206,"13.33","13.69","13.51","7.67","7.75","7.71","Ch3","2024-02-21 17:01:40.218","SMR","19.47","02-21_150"
"min140.5_160",140.5,"0.158","7.89",0.00152,"13.35","13.73","13.57","7.62","7.72","7.66","Ch3","2024-02-21 17:21:40.635","SMR","19.48","02-21_150"
"min160.5_180",160.5,"0.829","8.56",0.00542,"13.37","13.72","13.55","7.58","7.7","7.64","Ch3","2024-02-21 17:41:41.045","SMR","19.47","02-21_150"
"min0.5_20",0.5,"0.699","8.08",0.00463,"13.3","13.69","13.51","7.99","8.13","8.03","Ch4","2024-02-21 15:01:41.127","SMR","19.46","02-21_150"
"min20.5_40",20.5,"0.678","8.07",0.0042,"13.25","13.75","13.53","7.9","8.03","7.95","Ch4","2024-02-21 15:21:40.516","SMR","19.47","02-21_150"
"min40.5_60",40.5,"0.011","7.97",0.00023,"13.21","13.63","13.4","7.92","7.99","7.96","Ch4","2024-02-21 15:41:40.912","SMR","19.46","02-21_150"
"min60.5_80",60.5,"0","7.89",6e-05,"13.35","13.73","13.58","7.85","7.93","7.89","Ch4","2024-02-21 16:01:40.842","SMR","19.47","02-21_150"
"min80.5_100",80.5,"0.841","8.31",0.00464,"13.32","13.71","13.51","7.83","7.94","7.89","Ch4","2024-02-21 16:21:40.306","SMR","19.47","02-21_150"
"min100.5_120",100.5,"0.038","7.82",0.00049,"13.28","13.71","13.48","7.84","7.91","7.88","Ch4","2024-02-21 16:41:40.753","SMR","19.47","02-21_150"
"min120.5_140",120.5,"0.629","7.56",0.00219,"13.33","13.69","13.51","7.81","7.88","7.84","Ch4","2024-02-21 17:01:40.218","SMR","19.47","02-21_150"
"min140.5_160",140.5,"0.045","7.91",0.00065,"13.35","13.73","13.57","7.77","7.86","7.81","Ch4","2024-02-21 17:21:40.635","SMR","19.48","02-21_150"
"min160.5_180",160.5,"0.786","8.53",0.00432,"13.37","13.72","13.55","7.75","7.85","7.79","Ch4","2024-02-21 17:41:41.045","SMR","19.47","02-21_150"
