"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.636","7.96",0.00122,"18.97","19.02","18.98","7.92","7.97","7.94","Ch1","2023-12-01 12:28:26.04","SMR","19.48","12-01_122"
"min20.5_40",20.5,"0.728","7.97",0.00135,"18.91","19.02","18.96","7.9","7.95","7.93","Ch1","2023-12-01 12:48:26.453","SMR","19.47","12-01_122"
"min40.5_60",40.5,"0.907","8.01",0.0025,"18.86","18.97","18.91","7.85","7.92","7.89","Ch1","2023-12-01 13:08:25.849","SMR","19.47","12-01_122"
"min60.5_80",60.5,"0.977","8.35",0.00783,"18.85","19.49","19.1","7.72","7.88","7.8","Ch1","2023-12-01 13:28:25.779","SMR","19.48","12-01_122"
"min80.5_100",80.5,"0.003","7.74",7e-05,"19.32","19.47","19.38","7.73","7.77","7.75","Ch1","2023-12-01 13:48:25.679","SMR","19.48","12-01_122"
"min100.5_120",100.5,"0.886","7.98",0.00237,"19.23","19.39","19.28","7.68","7.75","7.72","Ch1","2023-12-01 14:08:25.99","SMR","19.47","12-01_122"
"min120.5_140",120.5,"0.907","8.01",0.00269,"19.12","19.27","19.2","7.63","7.7","7.66","Ch1","2023-12-01 14:28:26.35","SMR","19.47","12-01_122"
"min140.5_160",140.5,"0.908","8.02",0.00274,"19.04","19.22","19.1","7.57","7.65","7.61","Ch1","2023-12-01 14:48:25.685","SMR","19.47","12-01_122"
"min160.5_180",160.5,"0.907","7.99",0.00253,"18.98","19.1","19.03","7.53","7.59","7.56","Ch1","2023-12-01 15:08:26.093","SMR","19.48","12-01_122"
"min0.5_20",0.5,"0.733","7.74",0.00118,"18.97","19.02","18.98","7.72","7.76","7.73","Ch3","2023-12-01 12:28:26.04","SMR","19.48","12-01_122"
"min20.5_40",20.5,"0.855","7.77",0.00206,"18.91","19.02","18.96","7.67","7.73","7.71","Ch3","2023-12-01 12:48:26.453","SMR","19.47","12-01_122"
"min40.5_60",40.5,"0.937","7.8",0.003,"18.86","18.97","18.91","7.61","7.69","7.65","Ch3","2023-12-01 13:08:25.849","SMR","19.47","12-01_122"
"min60.5_80",60.5,"0.975","8.07",0.00725,"18.85","19.49","19.1","7.49","7.63","7.56","Ch3","2023-12-01 13:28:25.779","SMR","19.48","12-01_122"
"min80.5_100",80.5,"0.389","7.58",0.00083,"19.32","19.47","19.38","7.48","7.52","7.51","Ch3","2023-12-01 13:48:25.679","SMR","19.48","12-01_122"
"min100.5_120",100.5,"0.935","7.79",0.00298,"19.23","19.39","19.28","7.42","7.5","7.46","Ch3","2023-12-01 14:08:25.99","SMR","19.47","12-01_122"
"min120.5_140",120.5,"0.921","7.75",0.00268,"19.12","19.27","19.2","7.37","7.44","7.41","Ch3","2023-12-01 14:28:26.35","SMR","19.47","12-01_122"
"min140.5_160",140.5,"0.921","7.78",0.00285,"19.04","19.22","19.1","7.31","7.38","7.35","Ch3","2023-12-01 14:48:25.685","SMR","19.47","12-01_122"
"min160.5_180",160.5,"0.94","7.81",0.00303,"18.98","19.1","19.03","7.25","7.33","7.29","Ch3","2023-12-01 15:08:26.093","SMR","19.48","12-01_122"
"min0.5_20",0.5,"0.892","8.03",0.00199,"18.97","19.02","18.98","7.99","8.04","8.01","Ch4","2023-12-01 12:28:26.04","SMR","19.48","12-01_122"
"min20.5_40",20.5,"0.936","8.06",0.00298,"18.91","19.02","18.96","7.93","8","7.97","Ch4","2023-12-01 12:48:26.453","SMR","19.47","12-01_122"
"min40.5_60",40.5,"0.948","8.07",0.00327,"18.86","18.97","18.91","7.86","7.94","7.9","Ch4","2023-12-01 13:08:25.849","SMR","19.47","12-01_122"
"min60.5_80",60.5,"0.972","8.26",0.00642,"18.85","19.49","19.1","7.74","7.87","7.81","Ch4","2023-12-01 13:28:25.779","SMR","19.48","12-01_122"
"min80.5_100",80.5,"0.595","7.87",0.00126,"19.32","19.47","19.38","7.73","7.78","7.76","Ch4","2023-12-01 13:48:25.679","SMR","19.48","12-01_122"
"min100.5_120",100.5,"0.939","8.05",0.00311,"19.23","19.39","19.28","7.67","7.75","7.71","Ch4","2023-12-01 14:08:25.99","SMR","19.47","12-01_122"
"min120.5_140",120.5,"0.941","8.05",0.00305,"19.12","19.27","19.2","7.61","7.69","7.65","Ch4","2023-12-01 14:28:26.35","SMR","19.47","12-01_122"
"min140.5_160",140.5,"0.931","8.01",0.00283,"19.04","19.22","19.1","7.55","7.62","7.59","Ch4","2023-12-01 14:48:25.685","SMR","19.47","12-01_122"
"min160.5_180",160.5,"0.93","8.01",0.00282,"18.98","19.1","19.03","7.5","7.57","7.53","Ch4","2023-12-01 15:08:26.093","SMR","19.48","12-01_122"
