"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.44","8.01",0.00071,"18.92","18.98","18.94","8","8.04","8.02","Ch1","2023-12-02 16:18:50.985","SMR","19.47","12-02_161"
"min20.5_40",20.5,"0.646","8.08",0.00229,"18.9","19.12","18.96","7.97","8.04","8.02","Ch1","2023-12-02 16:38:50.485","SMR","19.47","12-02_161"
"min40.5_60",40.5,"0.003","7.95",1e-04,"19.14","19.46","19.36","7.92","7.98","7.94","Ch1","2023-12-02 16:58:50.88","SMR","19.48","12-02_161"
"min60.5_80",60.5,"0.7","8.04",0.00136,"19.26","19.44","19.33","7.91","7.96","7.94","Ch1","2023-12-02 17:18:50.419","SMR","19.47","12-02_161"
"min80.5_100",80.5,"0.867","8.12",0.00244,"19.17","19.34","19.23","7.85","7.93","7.9","Ch1","2023-12-02 17:38:51.08","SMR","19.47","12-02_161"
"min0.5_20",0.5,"0.625","7.76",0.00116,"18.92","18.98","18.94","7.73","7.77","7.75","Ch2","2023-12-02 16:18:50.985","SMR","19.47","12-02_161"
"min20.5_40",20.5,"0.768","7.81",0.00282,"18.9","19.12","18.96","7.67","7.75","7.72","Ch2","2023-12-02 16:38:50.485","SMR","19.47","12-02_161"
"min40.5_60",40.5,"0.057","7.67",0.00041,"19.14","19.46","19.36","7.63","7.68","7.65","Ch2","2023-12-02 16:58:50.88","SMR","19.48","12-02_161"
"min60.5_80",60.5,"0.733","7.75",0.00155,"19.26","19.44","19.33","7.62","7.67","7.64","Ch2","2023-12-02 17:18:50.419","SMR","19.47","12-02_161"
"min80.5_100",80.5,"0.83","7.81",0.00227,"19.17","19.34","19.23","7.56","7.63","7.6","Ch2","2023-12-02 17:38:51.08","SMR","19.47","12-02_161"
"min0.5_20",0.5,"0.631","7.8",0.00097,"18.92","18.98","18.94","7.77","7.81","7.79","Ch3","2023-12-02 16:18:50.985","SMR","19.47","12-02_161"
"min20.5_40",20.5,"0.762","7.85",0.00276,"18.9","19.12","18.96","7.71","7.8","7.77","Ch3","2023-12-02 16:38:50.485","SMR","19.47","12-02_161"
"min40.5_60",40.5,"0.018","7.71",2e-04,"19.14","19.46","19.36","7.68","7.73","7.7","Ch3","2023-12-02 16:58:50.88","SMR","19.48","12-02_161"
"min60.5_80",60.5,"0.802","7.82",0.00178,"19.26","19.44","19.33","7.66","7.71","7.69","Ch3","2023-12-02 17:18:50.419","SMR","19.47","12-02_161"
"min80.5_100",80.5,"0.842","7.85",0.00221,"19.17","19.34","19.23","7.61","7.68","7.65","Ch3","2023-12-02 17:38:51.08","SMR","19.47","12-02_161"
"min0.5_20",0.5,"0.501","8.07",0.00076,"18.92","18.98","18.94","8.04","8.08","8.06","Ch4","2023-12-02 16:18:50.985","SMR","19.47","12-02_161"
"min20.5_40",20.5,"0.842","8.11",0.0028,"18.9","19.12","18.96","7.98","8.06","8.03","Ch4","2023-12-02 16:38:50.485","SMR","19.47","12-02_161"
"min40.5_60",40.5,"0.058","7.99",0.00028,"19.14","19.46","19.36","7.95","8","7.97","Ch4","2023-12-02 16:58:50.88","SMR","19.48","12-02_161"
"min60.5_80",60.5,"0.873","8.11",0.00215,"19.26","19.44","19.33","7.93","7.98","7.95","Ch4","2023-12-02 17:18:50.419","SMR","19.47","12-02_161"
"min80.5_100",80.5,"0.871","8.13",0.00247,"19.17","19.34","19.23","7.86","7.94","7.91","Ch4","2023-12-02 17:38:51.08","SMR","19.47","12-02_161"
