"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.085","8.03",0.00037,"19.11","19.3","19.2","8","8.06","8.03","Ch1","2023-12-02 22:37:37.269","SMR","19.47","12-02_223"
"min20.5_40",20.5,"0.002","8.04",5e-05,"19.04","19.25","19.09","8.01","8.06","8.05","Ch1","2023-12-02 22:57:37.676","SMR","19.47","12-02_223"
"min40.5_60",40.5,"0.095","8.06",3e-04,"18.97","19.11","19.03","8.01","8.06","8.04","Ch1","2023-12-02 23:17:37.105","SMR","19.48","12-02_223"
"min60.5_80",60.5,"0.202","8.07",0.00051,"18.91","19.09","18.97","8.01","8.05","8.03","Ch1","2023-12-02 23:37:37.102","SMR","19.47","12-02_223"
"min80.5_100",80.5,"0.115","8.06",4e-04,"18.87","19.12","18.91","7.98","8.04","8.02","Ch1","2023-12-02 23:57:37.656","SMR","19.47","12-02_223"
"min100.5_120",100.5,"0.92","8.5",0.00477,"18.87","19.43","19.13","7.92","8.03","7.98","Ch1","2023-12-03 00:17:36.996","SMR","19.47","12-02_223"
"min120.5_140",120.5,"0.796","7.72",0.00198,"19.28","19.41","19.34","7.94","8","7.98","Ch1","2023-12-03 00:37:37.394","SMR","19.48","12-02_223"
"min140.5_160",140.5,"0.049","8.02",0.00023,"19.18","19.38","19.25","7.96","8","7.99","Ch1","2023-12-03 00:57:37.75","SMR","19.47","12-02_223"
"min160.5_180",160.5,"0.301","8.08",0.00059,"19.11","19.26","19.16","7.96","8","7.98","Ch1","2023-12-03 01:17:37.097","SMR","19.47","12-02_223"
"min180.5_200",180.5,"0.19","8.05",0.00046,"19.02","19.19","19.09","7.94","7.98","7.96","Ch1","2023-12-03 01:37:37.457","SMR","19.48","12-02_223"
"min200.5_220",200.5,"0.411","8.1",0.00069,"18.96","19.07","19","7.94","7.97","7.95","Ch1","2023-12-03 01:57:37.821","SMR","19.47","12-02_223"
"min220.5_240",220.5,"0.311","8.08",0.00061,"18.9","19.02","18.95","7.91","7.96","7.94","Ch1","2023-12-03 02:17:37.352","SMR","19.47","12-02_223"
"min240.5_260",240.5,"0.573","8.48",0.00222,"18.86","19.12","18.93","7.87","7.94","7.92","Ch1","2023-12-03 02:37:37.589","SMR","19.47","12-02_223"
"min260.5_280",260.5,"0.211","7.58",0.00103,"19.1","19.49","19.31","7.83","7.9","7.86","Ch1","2023-12-03 02:57:36.967","SMR","19.48","12-02_223"
"min280.5_300",280.5,"0.017","7.86",0.00012,"19.2","19.37","19.26","7.87","7.91","7.89","Ch1","2023-12-03 03:17:37.315","SMR","19.47","12-02_223"
"min300.5_320",300.5,"0.949","9.75",0.00612,"19.18","19.76","19.41","7.78","7.91","7.85","Ch1","2023-12-03 03:37:37.684","SMR","19.47","12-02_223"
"min320.5_340",320.5,"0.17","7.25",0.00191,"19.16","19.74","19.32","7.8","7.93","7.88","Ch1","2023-12-03 03:57:37.046","SMR","19.47","12-02_223"
"min0.5_20",0.5,"0.099","7.74",0.00038,"19.11","19.3","19.2","7.72","7.77","7.75","Ch2","2023-12-02 22:37:37.269","SMR","19.47","12-02_223"
"min20.5_40",20.5,"0.004","7.76",7e-05,"19.04","19.25","19.09","7.72","7.77","7.76","Ch2","2023-12-02 22:57:37.676","SMR","19.47","12-02_223"
"min40.5_60",40.5,"0.124","7.77",4e-04,"18.97","19.11","19.03","7.72","7.77","7.75","Ch2","2023-12-02 23:17:37.105","SMR","19.48","12-02_223"
"min60.5_80",60.5,"0.243","7.78",0.00056,"18.91","19.09","18.97","7.72","7.76","7.74","Ch2","2023-12-02 23:37:37.102","SMR","19.47","12-02_223"
"min80.5_100",80.5,"0.172","7.78",5e-04,"18.87","19.12","18.91","7.69","7.75","7.73","Ch2","2023-12-02 23:57:37.656","SMR","19.47","12-02_223"
"min100.5_120",100.5,"0.906","8.16",0.00428,"18.87","19.43","19.13","7.64","7.74","7.69","Ch2","2023-12-03 00:17:36.996","SMR","19.47","12-02_223"
"min120.5_140",120.5,"0.637","7.51",0.00137,"19.28","19.41","19.34","7.66","7.71","7.69","Ch2","2023-12-03 00:37:37.394","SMR","19.48","12-02_223"
"min140.5_160",140.5,"0.086","7.74",0.00032,"19.18","19.38","19.25","7.67","7.71","7.69","Ch2","2023-12-03 00:57:37.75","SMR","19.47","12-02_223"
"min160.5_180",160.5,"0.252","7.77",0.00056,"19.11","19.26","19.16","7.65","7.7","7.68","Ch2","2023-12-03 01:17:37.097","SMR","19.47","12-02_223"
"min180.5_200",180.5,"0.131","7.74",0.00039,"19.02","19.19","19.09","7.64","7.68","7.67","Ch2","2023-12-03 01:37:37.457","SMR","19.48","12-02_223"
"min200.5_220",200.5,"0.378","7.8",0.00069,"18.96","19.07","19","7.64","7.67","7.66","Ch2","2023-12-03 01:57:37.821","SMR","19.47","12-02_223"
"min220.5_240",220.5,"0.192","7.75",0.00045,"18.9","19.02","18.95","7.62","7.66","7.65","Ch2","2023-12-03 02:17:37.352","SMR","19.47","12-02_223"
"min240.5_260",240.5,"0.546","8.13",0.002,"18.86","19.12","18.93","7.58","7.66","7.63","Ch2","2023-12-03 02:37:37.589","SMR","19.47","12-02_223"
"min260.5_280",260.5,"0.331","7.22",0.00132,"19.1","19.49","19.31","7.55","7.62","7.58","Ch2","2023-12-03 02:57:36.967","SMR","19.48","12-02_223"
"min280.5_300",280.5,"0.086","7.53",0.00028,"19.2","19.37","19.26","7.59","7.62","7.61","Ch2","2023-12-03 03:17:37.315","SMR","19.47","12-02_223"
"min300.5_320",300.5,"0.941","9.22",0.00532,"19.18","19.76","19.41","7.52","7.62","7.57","Ch2","2023-12-03 03:37:37.684","SMR","19.47","12-02_223"
"min320.5_340",320.5,"0.191","7.01",0.00179,"19.16","19.74","19.32","7.53","7.65","7.6","Ch2","2023-12-03 03:57:37.046","SMR","19.47","12-02_223"
"min0.5_20",0.5,"0.67","7.76",0.00143,"19.11","19.3","19.2","7.75","7.8","7.78","Ch3","2023-12-02 22:37:37.269","SMR","19.47","12-02_223"
"min20.5_40",20.5,"0.112","7.79",0.00035,"19.04","19.25","19.09","7.77","7.82","7.8","Ch3","2023-12-02 22:57:37.676","SMR","19.47","12-02_223"
