"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.689","7.57",0.01665,"19.28","21.25","19.95","7.52","7.86","7.74","Ch1","2023-12-08 16:47:05.246","SMR","19.47","12-08_164"
"min20.5_40",20.5,"0.765","8.26",0.01647,"19.24","21.07","19.81","7.55","7.86","7.76","Ch1","2023-12-08 17:07:04.753","SMR","19.47","12-08_164"
"min40.5_60",40.5,"0.156","7.39",0.00802,"15.95","22.06","19.64","7.29","8.63","7.79","Ch1","2023-12-08 17:27:05.221","SMR","19.47","12-08_164"
"min60.5_80",60.5,"0.708","5.99",0.03989,"14.48","17.14","15.45","8.33","9.08","8.79","Ch1","2023-12-08 17:47:04.603","SMR","19.47","12-08_164"
"min80.5_100",80.5,"0.896","9.55",0.0067,"14.49","14.87","14.68","8.88","9.04","8.95","Ch1","2023-12-08 18:07:04.969","SMR","19.48","12-08_164"
"min0.5_20",0.5,"0.873","7.03",0.02287,"19.28","21.25","19.95","6.98","7.43","7.26","Ch2","2023-12-08 16:47:05.246","SMR","19.47","12-08_164"
"min20.5_40",20.5,"0.064","7.49",0.00133,"19.24","21.07","19.81","7.36","7.51","7.45","Ch2","2023-12-08 17:07:04.753","SMR","19.47","12-08_164"
"min40.5_60",40.5,"0","7.59",3e-05,"15.95","22.06","19.64","6.82","8.51","7.59","Ch2","2023-12-08 17:27:05.221","SMR","19.47","12-08_164"
"min60.5_80",60.5,"0.825","2.96",0.07025,"14.48","17.14","15.45","7.19","8.35","7.9","Ch2","2023-12-08 17:47:04.603","SMR","19.47","12-08_164"
"min80.5_100",80.5,"0.442","8.49",0.0023,"14.49","14.87","14.68","8.22","8.32","8.28","Ch2","2023-12-08 18:07:04.969","SMR","19.48","12-08_164"
"min0.5_20",0.5,"0.797","6.9",0.02574,"19.28","21.25","19.95","6.8","7.32","7.17","Ch3","2023-12-08 16:47:05.246","SMR","19.47","12-08_164"
"min20.5_40",20.5,"0.747","7.76",0.01736,"19.24","21.07","19.81","7.02","7.34","7.23","Ch3","2023-12-08 17:07:04.753","SMR","19.47","12-08_164"
"min40.5_60",40.5,"0.145","6.74",0.01003,"15.95","22.06","19.64","7","8.64","7.25","Ch3","2023-12-08 17:27:05.221","SMR","19.47","12-08_164"
"min60.5_80",60.5,"0.836","3.9",0.0589,"14.48","17.14","15.45","7.4","8.4","8.04","Ch3","2023-12-08 17:47:04.603","SMR","19.47","12-08_164"
"min80.5_100",80.5,"0.599","8.58",0.00289,"14.49","14.87","14.68","8.27","8.36","8.32","Ch3","2023-12-08 18:07:04.969","SMR","19.48","12-08_164"
"min0.5_20",0.5,"0.774","7.13",0.02143,"19.28","21.25","19.95","7.09","7.5","7.35","Ch4","2023-12-08 16:47:05.246","SMR","19.47","12-08_164"
"min20.5_40",20.5,"0.714","7.92",0.01677,"19.24","21.07","19.81","7.21","7.52","7.42","Ch4","2023-12-08 17:07:04.753","SMR","19.47","12-08_164"
"min40.5_60",40.5,"0.238","6.83",0.01305,"15.95","22.06","19.64","6.99","8.88","7.49","Ch4","2023-12-08 17:27:05.221","SMR","19.47","12-08_164"
"min60.5_80",60.5,"0.885","4.02",0.05883,"14.48","17.14","15.45","7.62","8.55","8.15","Ch4","2023-12-08 17:47:04.603","SMR","19.47","12-08_164"
"min80.5_100",80.5,"0.836","8.85",0.00417,"14.49","14.87","14.68","8.42","8.51","8.47","Ch4","2023-12-08 18:07:04.969","SMR","19.48","12-08_164"
