"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.62","7.81",0.00304,"14.63","15.32","14.92","7.72","7.84","7.77","Ch1","2023-12-10 21:16:09.442","SMR","19.48","12-10_211"
"min20.5_40",20.5,"0.13","7.79",0.00169,"14.76","15.21","14.95","7.77","7.89","7.84","Ch1","2023-12-10 21:36:09.017","SMR","19.47","12-10_211"
"min40.5_60",40.5,"0.311","7.68",0.0027,"14.9","15.48","15.16","7.74","7.88","7.81","Ch1","2023-12-10 21:56:09.673","SMR","19.47","12-10_211"
"min60.5_80",60.5,"0.755","8.17",0.00489,"14.85","15.43","15.1","7.75","7.89","7.82","Ch1","2023-12-10 22:16:09.555","SMR","19.47","12-10_211"
"min80.5_100",80.5,"0.076","7.93",0.00117,"14.95","15.42","15.14","7.75","7.88","7.82","Ch1","2023-12-10 22:36:08.921","SMR","19.47","12-10_211"
"min100.5_120",100.5,"0.002","7.83",0.00015,"14.98","15.5","15.15","7.74","7.87","7.82","Ch1","2023-12-10 22:56:09.349","SMR","19.48","12-10_211"
"min120.5_140",120.5,"0.422","8.16",0.00277,"14.97","15.47","15.17","7.73","7.85","7.8","Ch1","2023-12-10 23:16:09.845","SMR","19.46","12-10_211"
"min140.5_160",140.5,"0.128","8.07",0.00166,"14.86","15.41","15.06","7.74","7.87","7.82","Ch1","2023-12-10 23:36:09.357","SMR","19.48","12-10_211"
"min160.5_180",160.5,"0.651","7.07",0.0043,"14.9","15.53","15.14","7.7","7.87","7.8","Ch1","2023-12-10 23:56:09.753","SMR","19.47","12-10_211"
"min180.5_200",180.5,"0.084","7.54",0.0013,"14.93","15.46","15.14","7.71","7.85","7.79","Ch1","2023-12-11 00:16:09.151","SMR","19.47","12-10_211"
"min200.5_220",200.5,"0.735","8.74",0.00456,"14.89","15.54","15.15","7.71","7.85","7.78","Ch1","2023-12-11 00:36:09.568","SMR","19.47","12-10_211"
"min220.5_240",220.5,"0.215","8.28",0.00207,"14.87","15.3","15.07","7.74","7.86","7.8","Ch1","2023-12-11 00:56:08.942","SMR","19.47","12-10_211"
"min240.5_260",240.5,"0.558","6.85",0.00373,"14.91","15.51","15.14","7.69","7.84","7.79","Ch1","2023-12-11 01:16:09.302","SMR","19.47","12-10_211"
"min260.5_280",260.5,"0.282","7",0.00285,"14.92","15.56","15.19","7.69","7.84","7.77","Ch1","2023-12-11 01:36:09.648","SMR","19.47","12-10_211"
"min280.5_300",280.5,"0.651","9.05",0.00441,"14.85","15.57","15.09","7.66","7.84","7.77","Ch1","2023-12-11 01:56:09.119","SMR","19.47","12-10_211"
"min300.5_320",300.5,"0.333","8.57",0.00254,"14.81","15.3","15","7.7","7.84","7.79","Ch1","2023-12-11 02:16:09.41","SMR","19.48","12-10_211"
"min320.5_340",320.5,"0.66","6.24",0.0046,"14.92","15.47","15.17","7.68","7.82","7.76","Ch1","2023-12-11 02:36:09.791","SMR","19.47","12-10_211"
"min0.5_20",0.5,"0.535","7.85",0.00251,"14.63","15.32","14.92","7.77","7.88","7.83","Ch2","2023-12-10 21:16:09.442","SMR","19.48","12-10_211"
"min20.5_40",20.5,"0.122","7.85",0.00165,"14.76","15.21","14.95","7.82","7.95","7.9","Ch2","2023-12-10 21:36:09.017","SMR","19.47","12-10_211"
"min40.5_60",40.5,"0.379","7.72",0.00318,"14.9","15.48","15.16","7.8","7.95","7.88","Ch2","2023-12-10 21:56:09.673","SMR","19.47","12-10_211"
"min60.5_80",60.5,"0.735","8.22",0.00465,"14.85","15.43","15.1","7.82","7.96","7.89","Ch2","2023-12-10 22:16:09.555","SMR","19.47","12-10_211"
"min80.5_100",80.5,"0.043","7.98",0.00085,"14.95","15.42","15.14","7.83","7.95","7.9","Ch2","2023-12-10 22:36:08.921","SMR","19.47","12-10_211"
"min100.5_120",100.5,"0.001","7.89",9e-05,"14.98","15.5","15.15","7.82","7.94","7.9","Ch2","2023-12-10 22:56:09.349","SMR","19.48","12-10_211"
"min120.5_140",120.5,"0.329","8.19",0.00232,"14.97","15.47","15.17","7.82","7.94","7.89","Ch2","2023-12-10 23:16:09.845","SMR","19.46","12-10_211"
"min140.5_160",140.5,"0.132","8.16",0.00164,"14.86","15.41","15.06","7.83","7.97","7.91","Ch2","2023-12-10 23:36:09.357","SMR","19.48","12-10_211"
