"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.809","8.15",0.01166,"13.17","13.65","13.41","7.95","8.22","8.03","Ch1","2024-02-14 14:36:21.984","SMR","19.47","02-14_143"
"min20.5_40",20.5,"0.096","8.05",0.00113,"13.14","13.54","13.31","7.95","8.05","8.01","Ch1","2024-02-14 14:56:21.65","SMR","19.47","02-14_143"
"min40.5_60",40.5,"0.759","7.79",0.00382,"13.18","13.63","13.37","7.93","8.03","7.99","Ch1","2024-02-14 15:16:22.055","SMR","19.47","02-14_143"
"min60.5_80",60.5,"0.148","7.86",0.00136,"13.27","13.61","13.46","7.92","8","7.96","Ch1","2024-02-14 15:36:21.375","SMR","19.48","02-14_143"
"min0.5_20",0.5,"0.815","8.1",0.01206,"13.17","13.65","13.41","7.89","8.17","7.98","Ch2","2024-02-14 14:36:21.984","SMR","19.47","02-14_143"
"min20.5_40",20.5,"0.041","8",0.00083,"13.14","13.54","13.31","7.91","8.02","7.97","Ch2","2024-02-14 14:56:21.65","SMR","19.47","02-14_143"
"min40.5_60",40.5,"0.746","7.73",0.00421,"13.18","13.63","13.37","7.88","7.99","7.94","Ch2","2024-02-14 15:16:22.055","SMR","19.47","02-14_143"
"min60.5_80",60.5,"0.094","7.82",0.00123,"13.27","13.61","13.46","7.86","7.96","7.91","Ch2","2024-02-14 15:36:21.375","SMR","19.48","02-14_143"
"min0.5_20",0.5,"0.781","8.11",0.01093,"13.17","13.65","13.41","7.92","8.19","8","Ch4","2024-02-14 14:36:21.984","SMR","19.47","02-14_143"
"min20.5_40",20.5,"0.011","8.02",0.00043,"13.14","13.54","13.31","7.96","8.05","8.01","Ch4","2024-02-14 14:56:21.65","SMR","19.47","02-14_143"
"min40.5_60",40.5,"0.792","7.75",0.00452,"13.18","13.63","13.37","7.92","8.03","7.98","Ch4","2024-02-14 15:16:22.055","SMR","19.47","02-14_143"
"min60.5_80",60.5,"0.108","7.86",0.00133,"13.27","13.61","13.46","7.91","8","7.95","Ch4","2024-02-14 15:36:21.375","SMR","19.48","02-14_143"
