"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.123","8.01",0.00083,"13.32","13.66","13.5","7.95","8.03","8","Ch1","2024-02-15 13:52:39.315","SMR","19.47","02-15_135"
"min20.5_40",20.5,"0.742","7.89",0.00312,"13.23","13.69","13.47","7.94","8.02","7.98","Ch1","2024-02-15 14:12:39.742","SMR","19.47","02-15_135"
"min40.5_60",40.5,"0.233","8.03",0.00198,"13.3","13.67","13.49","7.88","7.99","7.93","Ch1","2024-02-15 14:32:39.065","SMR","19.47","02-15_135"
"min60.5_80",60.5,"0.874","8.4",0.0071,"13.2","13.68","13.38","7.81","7.97","7.9","Ch1","2024-02-15 14:52:39.279","SMR","19.47","02-15_135"
"min80.5_100",80.5,"0.672","7.59",0.00299,"13.2","13.71","13.48","7.81","7.9","7.86","Ch1","2024-02-15 15:12:39.674","SMR","19.47","02-15_135"
"min100.5_120",100.5,"0.662","8.32",0.00479,"13.24","13.69","13.5","7.74","7.88","7.8","Ch1","2024-02-15 15:32:39.06","SMR","19.47","02-15_135"
"min120.5_140",120.5,"0.726","8.47",0.00528,"13.26","13.67","13.43","7.7","7.84","7.78","Ch1","2024-02-15 15:52:39.435","SMR","19.47","02-15_135"
"min140.5_160",140.5,"0.217","7.54",0.00141,"13.18","13.65","13.41","7.71","7.79","7.75","Ch1","2024-02-15 16:12:39.775","SMR","19.47","02-15_135"
"min160.5_180",160.5,"0.001","7.7",9e-05,"13.31","13.65","13.5","7.64","7.73","7.68","Ch1","2024-02-15 16:32:39.148","SMR","19.47","02-15_135"
"min0.5_20",0.5,"0.004","8.01",0.00015,"13.32","13.66","13.5","7.97","8.05","8.01","Ch2","2024-02-15 13:52:39.315","SMR","19.47","02-15_135"
"min20.5_40",20.5,"0.776","7.89",0.00358,"13.23","13.69","13.47","7.95","8.05","8","Ch2","2024-02-15 14:12:39.742","SMR","19.47","02-15_135"
"min40.5_60",40.5,"0.145","8.03",0.00148,"13.3","13.67","13.49","7.91","8.02","7.96","Ch2","2024-02-15 14:32:39.065","SMR","19.47","02-15_135"
"min60.5_80",60.5,"0.855","8.41",0.00665,"13.2","13.68","13.38","7.85","8","7.94","Ch2","2024-02-15 14:52:39.279","SMR","19.47","02-15_135"
"min80.5_100",80.5,"0.734","7.58",0.00355,"13.2","13.71","13.48","7.85","7.95","7.9","Ch2","2024-02-15 15:12:39.674","SMR","19.47","02-15_135"
"min100.5_120",100.5,"0.634","8.36",0.00464,"13.24","13.69","13.5","7.8","7.93","7.85","Ch2","2024-02-15 15:32:39.06","SMR","19.47","02-15_135"
"min120.5_140",120.5,"0.685","8.48",0.0049,"13.26","13.67","13.43","7.77","7.9","7.84","Ch2","2024-02-15 15:52:39.435","SMR","19.47","02-15_135"
"min140.5_160",140.5,"0.327","7.53",0.00193,"13.18","13.65","13.41","7.77","7.86","7.82","Ch2","2024-02-15 16:12:39.775","SMR","19.47","02-15_135"
"min160.5_180",160.5,"0.001","7.74",9e-05,"13.31","13.65","13.5","7.72","7.8","7.76","Ch2","2024-02-15 16:32:39.148","SMR","19.47","02-15_135"
