"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.2","8.08",0.00174,"13.21","13.58","13.43","8.04","8.16","8.07","Ch1","2024-02-16 09:36:18.559","SMR","19.47","02-16_093"
"min20.5_40",20.5,"0.163","8.05",0.00165,"13.25","13.65","13.5","7.95","8.06","8","Ch1","2024-02-16 09:56:18.997","SMR","19.48","02-16_093"
"min40.5_60",40.5,"0.328","8.11",0.00204,"13.37","13.63","13.47","7.96","8.05","8","Ch1","2024-02-16 10:16:19.429","SMR","19.47","02-16_093"
"min60.5_80",60.5,"0.55","8.23",0.00368,"13.3","13.65","13.47","7.92","8.03","7.97","Ch1","2024-02-16 10:36:18.766","SMR","19.47","02-16_093"
"min80.5_100",80.5,"0.717","8.42",0.00516,"13.22","13.57","13.37","7.88","8.01","7.96","Ch1","2024-02-16 10:56:19.112","SMR","19.47","02-16_093"
"min100.5_120",100.5,"0.907","7.4",0.00457,"13.29","13.7","13.55","7.86","7.96","7.91","Ch1","2024-02-16 11:16:19.462","SMR","19.47","02-16_093"
"min120.5_140",120.5,"0.771","8.61",0.00561,"13.26","13.7","13.5","7.83","7.96","7.88","Ch1","2024-02-16 11:36:18.811","SMR","19.47","02-16_093"
"min140.5_160",140.5,"0.447","8.36",0.00322,"13.29","13.6","13.44","7.81","7.92","7.88","Ch1","2024-02-16 11:56:19.23","SMR","19.47","02-16_093"
"min160.5_180",160.5,"0.863","7.18",0.00391,"13.25","13.71","13.51","7.79","7.89","7.84","Ch1","2024-02-16 12:16:18.589","SMR","19.47","02-16_093"
"min0.5_20",0.5,"0.236","8.09",0.00185,"13.21","13.58","13.43","8.04","8.16","8.07","Ch2","2024-02-16 09:36:18.559","SMR","19.47","02-16_093"
"min20.5_40",20.5,"0.227","8.06",0.00194,"13.25","13.65","13.5","7.96","8.07","8","Ch2","2024-02-16 09:56:18.997","SMR","19.48","02-16_093"
"min40.5_60",40.5,"0.384","8.11",0.00224,"13.37","13.63","13.47","7.96","8.05","8","Ch2","2024-02-16 10:16:19.429","SMR","19.47","02-16_093"
"min60.5_80",60.5,"0.609","8.24",0.00409,"13.3","13.65","13.47","7.91","8.02","7.96","Ch2","2024-02-16 10:36:18.766","SMR","19.47","02-16_093"
"min80.5_100",80.5,"0.759","8.43",0.0055,"13.22","13.57","13.37","7.85","7.99","7.93","Ch2","2024-02-16 10:56:19.112","SMR","19.47","02-16_093"
"min100.5_120",100.5,"0.882","7.44",0.00398,"13.29","13.7","13.55","7.83","7.93","7.88","Ch2","2024-02-16 11:16:19.462","SMR","19.47","02-16_093"
"min120.5_140",120.5,"0.774","8.59",0.00574,"13.26","13.7","13.5","7.79","7.92","7.84","Ch2","2024-02-16 11:36:18.811","SMR","19.47","02-16_093"
"min140.5_160",140.5,"0.542","8.39",0.0037,"13.29","13.6","13.44","7.76","7.88","7.83","Ch2","2024-02-16 11:56:19.23","SMR","19.47","02-16_093"
"min160.5_180",160.5,"0.817","7.22",0.00333,"13.25","13.71","13.51","7.74","7.83","7.79","Ch2","2024-02-16 12:16:18.589","SMR","19.47","02-16_093"
"min0.5_20",0.5,"0.073","8.07",0.00092,"13.21","13.58","13.43","8.03","8.14","8.06","Ch3","2024-02-16 09:36:18.559","SMR","19.47","02-16_093"
"min20.5_40",20.5,"0.133","8.05",0.00139,"13.25","13.65","13.5","7.96","8.06","8","Ch3","2024-02-16 09:56:18.997","SMR","19.48","02-16_093"
"min40.5_60",40.5,"0.334","8.11",0.00203,"13.37","13.63","13.47","7.97","8.05","8.01","Ch3","2024-02-16 10:16:19.429","SMR","19.47","02-16_093"
"min60.5_80",60.5,"0.561","8.24",0.00379,"13.3","13.65","13.47","7.92","8.03","7.97","Ch3","2024-02-16 10:36:18.766","SMR","19.47","02-16_093"
"min80.5_100",80.5,"0.747","8.43",0.0053,"13.22","13.57","13.37","7.88","8","7.95","Ch3","2024-02-16 10:56:19.112","SMR","19.47","02-16_093"
"min100.5_120",100.5,"0.903","7.46",0.00405,"13.29","13.7","13.55","7.85","7.95","7.9","Ch3","2024-02-16 11:16:19.462","SMR","19.47","02-16_093"
"min120.5_140",120.5,"0.767","8.59",0.00553,"13.26","13.7","13.5","7.82","7.95","7.87","Ch3","2024-02-16 11:36:18.811","SMR","19.47","02-16_093"
"min140.5_160",140.5,"0.531","8.39",0.00353,"13.29","13.6","13.44","7.79","7.9","7.86","Ch3","2024-02-16 11:56:19.23","SMR","19.47","02-16_093"
"min160.5_180",160.5,"0.835","7.22",0.00355,"13.25","13.71","13.51","7.78","7.87","7.82","Ch3","2024-02-16 12:16:18.589","SMR","19.47","02-16_093"
"min0.5_20",0.5,"0.684","8.05",0.00487,"13.21","13.58","13.43","7.95","8.12","8","Ch4","2024-02-16 09:36:18.559","SMR","19.47","02-16_093"
"min20.5_40",20.5,"0.365","7.97",0.00233,"13.25","13.65","13.5","7.86","7.96","7.9","Ch4","2024-02-16 09:56:18.997","SMR","19.48","02-16_093"
"min40.5_60",40.5,"0.572","8.03",0.00306,"13.37","13.63","13.47","7.83","7.93","7.87","Ch4","2024-02-16 10:16:19.429","SMR","19.47","02-16_093"
"min60.5_80",60.5,"0.67","8.11",0.00421,"13.3","13.65","13.47","7.77","7.88","7.81","Ch4","2024-02-16 10:36:18.766","SMR","19.47","02-16_093"
"min80.5_100",80.5,"0.854","8.29",0.00577,"13.22","13.57","13.37","7.7","7.82","7.77","Ch4","2024-02-16 10:56:19.112","SMR","19.47","02-16_093"
"min100.5_120",100.5,"0.751","7.46",0.00228,"13.29","13.7","13.55","7.68","7.75","7.71","Ch4","2024-02-16 11:16:19.462","SMR","19.47","02-16_093"
"min120.5_140",120.5,"0.791","8.38",0.00557,"13.26","13.7","13.5","7.61","7.74","7.66","Ch4","2024-02-16 11:36:18.811","SMR","19.47","02-16_093"
"min140.5_160",140.5,"0.703","8.3",0.00442,"13.29","13.6","13.44","7.57","7.68","7.63","Ch4","2024-02-16 11:56:19.23","SMR","19.47","02-16_093"
"min160.5_180",160.5,"0.634","7.26",0.00188,"13.25","13.71","13.51","7.54","7.61","7.58","Ch4","2024-02-16 12:16:18.589","SMR","19.47","02-16_093"
