"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.031","7.97",0.00049,"13.3","13.67","13.52","7.93","8.01","7.97","Ch1","2024-02-16 15:01:27.941","SMR","19.46","02-16_150"
"min20.5_40",20.5,"0.926","8.18",0.00828,"13.14","13.67","13.37","7.84","8.01","7.93","Ch1","2024-02-16 15:21:27.472","SMR","19.48","02-16_150"
"min40.5_60",40.5,"0.706","7.71",0.00355,"13.19","13.71","13.46","7.83","7.94","7.89","Ch1","2024-02-16 15:41:27.071","SMR","19.48","02-16_150"
"min60.5_80",60.5,"0.295","7.98",0.00191,"13.27","13.55","13.41","7.8","7.9","7.84","Ch1","2024-02-16 16:01:27.253","SMR","19.47","02-16_150"
"min80.5_100",80.5,"0.533","7.56",0.00258,"13.21","13.69","13.5","7.75","7.85","7.8","Ch1","2024-02-16 16:21:27.669","SMR","19.47","02-16_150"
"min100.5_120",100.5,"0.649","8.35",0.0055,"13.21","13.73","13.52","7.69","7.84","7.75","Ch1","2024-02-16 16:41:27.026","SMR","19.47","02-16_150"
"min120.5_140",120.5,"0.458","8.16",0.00318,"13.18","13.59","13.38","7.68","7.8","7.75","Ch1","2024-02-16 17:01:27.4","SMR","19.47","02-16_150"
"min140.5_160",140.5,"0.635","7.23",0.00304,"13.27","13.72","13.52","7.64","7.74","7.68","Ch1","2024-02-16 17:21:27.781","SMR","19.47","02-16_150"
"min160.5_180",160.5,"0.951","9.03",0.00806,"13.16","13.7","13.4","7.57","7.74","7.65","Ch1","2024-02-16 17:41:27.159","SMR","19.47","02-16_150"
"min180.5_200",180.5,"0.409","7.16",0.00251,"13.23","13.72","13.47","7.57","7.68","7.63","Ch1","2024-02-16 18:01:27.539","SMR","19.47","02-16_150"
"min0.5_20",0.5,"0.002","7.97",0.00011,"13.3","13.67","13.52","7.93","8.01","7.97","Ch2","2024-02-16 15:01:27.941","SMR","19.46","02-16_150"
"min20.5_40",20.5,"0.925","8.17",0.00798,"13.14","13.67","13.37","7.85","8.01","7.93","Ch2","2024-02-16 15:21:27.472","SMR","19.48","02-16_150"
"min40.5_60",40.5,"0.562","7.76",0.00263,"13.19","13.71","13.46","7.84","7.94","7.89","Ch2","2024-02-16 15:41:27.071","SMR","19.48","02-16_150"
"min60.5_80",60.5,"0.385","7.99",0.00218,"13.27","13.55","13.41","7.79","7.89","7.84","Ch2","2024-02-16 16:01:27.253","SMR","19.47","02-16_150"
"min80.5_100",80.5,"0.434","7.6",0.00205,"13.21","13.69","13.5","7.75","7.84","7.79","Ch2","2024-02-16 16:21:27.669","SMR","19.47","02-16_150"
"min100.5_120",100.5,"0.666","8.33",0.00543,"13.21","13.73","13.52","7.68","7.83","7.74","Ch2","2024-02-16 16:41:27.026","SMR","19.47","02-16_150"
"min120.5_140",120.5,"0.54","8.18",0.00348,"13.18","13.59","13.38","7.66","7.78","7.73","Ch2","2024-02-16 17:01:27.4","SMR","19.47","02-16_150"
"min140.5_160",140.5,"0.538","7.31",0.00234,"13.27","13.72","13.52","7.62","7.71","7.66","Ch2","2024-02-16 17:21:27.781","SMR","19.47","02-16_150"
"min160.5_180",160.5,"0.951","8.95",0.00779,"13.16","13.7","13.4","7.54","7.7","7.62","Ch2","2024-02-16 17:41:27.159","SMR","19.47","02-16_150"
"min180.5_200",180.5,"0.252","7.28",0.00166,"13.23","13.72","13.47","7.55","7.64","7.6","Ch2","2024-02-16 18:01:27.539","SMR","19.47","02-16_150"
"min0.5_20",0.5,"0.272","7.94",0.00161,"13.3","13.67","13.52","7.9","7.97","7.92","Ch3","2024-02-16 15:01:27.941","SMR","19.46","02-16_150"
"min20.5_40",20.5,"0.935","8.12",0.00807,"13.14","13.67","13.37","7.79","7.95","7.87","Ch3","2024-02-16 15:21:27.472","SMR","19.48","02-16_150"
"min40.5_60",40.5,"0.427","7.73",0.0019,"13.19","13.71","13.46","7.78","7.86","7.82","Ch3","2024-02-16 15:41:27.071","SMR","19.48","02-16_150"
"min60.5_80",60.5,"0.366","7.91",0.00203,"13.27","13.55","13.41","7.72","7.82","7.76","Ch3","2024-02-16 16:01:27.253","SMR","19.47","02-16_150"
"min80.5_100",80.5,"0.393","7.56",0.00176,"13.21","13.69","13.5","7.68","7.76","7.72","Ch3","2024-02-16 16:21:27.669","SMR","19.47","02-16_150"
"min100.5_120",100.5,"0.657","8.21",0.00497,"13.21","13.73","13.52","7.61","7.75","7.66","Ch3","2024-02-16 16:41:27.026","SMR","19.47","02-16_150"
"min120.5_140",120.5,"0.591","8.13",0.00373,"13.18","13.59","13.38","7.58","7.7","7.65","Ch3","2024-02-16 17:01:27.4","SMR","19.47","02-16_150"
