"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.054","7.94",0.00103,"13.27","13.61","13.46","7.91","8.03","7.95","Ch1","2024-02-16 18:49:04.033","SMR","19.47","02-16_184"
"min20.5_40",20.5,"0.917","8.14",0.00693,"13.15","13.7","13.4","7.86","8.01","7.93","Ch1","2024-02-16 19:09:04.486","SMR","19.48","02-16_184"
"min40.5_60",40.5,"0.146","7.88",0.00136,"13.21","13.67","13.38","7.88","7.98","7.94","Ch1","2024-02-16 19:29:04.962","SMR","19.47","02-16_184"
"min60.5_80",60.5,"0.01","7.88",0.00028,"13.32","13.61","13.45","7.86","7.94","7.9","Ch1","2024-02-16 19:49:04.431","SMR","19.48","02-16_184"
"min80.5_100",80.5,"0.034","7.82",0.00065,"13.33","13.65","13.48","7.83","7.93","7.88","Ch1","2024-02-16 20:09:04.399","SMR","19.48","02-16_184"
"min0.5_20",0.5,"0.008","7.96",0.00038,"13.27","13.61","13.46","7.92","8.05","7.97","Ch2","2024-02-16 18:49:04.033","SMR","19.47","02-16_184"
"min20.5_40",20.5,"0.916","8.16",0.00732,"13.15","13.7","13.4","7.86","8.01","7.94","Ch2","2024-02-16 19:09:04.486","SMR","19.48","02-16_184"
"min40.5_60",40.5,"0.088","7.89",0.00108,"13.21","13.67","13.38","7.89","7.99","7.94","Ch2","2024-02-16 19:29:04.962","SMR","19.47","02-16_184"
"min60.5_80",60.5,"0.005","7.88",0.00021,"13.32","13.61","13.45","7.85","7.93","7.89","Ch2","2024-02-16 19:49:04.431","SMR","19.48","02-16_184"
"min80.5_100",80.5,"0.026","7.82",0.00056,"13.33","13.65","13.48","7.82","7.92","7.87","Ch2","2024-02-16 20:09:04.399","SMR","19.48","02-16_184"
"min0.5_20",0.5,"0.004","7.94",0.00025,"13.27","13.61","13.46","7.9","8.02","7.95","Ch3","2024-02-16 18:49:04.033","SMR","19.47","02-16_184"
"min20.5_40",20.5,"0.92","8.12",0.00691,"13.15","13.7","13.4","7.84","7.99","7.91","Ch3","2024-02-16 19:09:04.486","SMR","19.48","02-16_184"
"min40.5_60",40.5,"0.031","7.89",0.00058,"13.21","13.67","13.38","7.87","7.96","7.92","Ch3","2024-02-16 19:29:04.962","SMR","19.47","02-16_184"
"min60.5_80",60.5,"0.001","7.86",7e-05,"13.32","13.61","13.45","7.83","7.9","7.87","Ch3","2024-02-16 19:49:04.431","SMR","19.48","02-16_184"
"min80.5_100",80.5,"0.014","7.81",4e-04,"13.33","13.65","13.48","7.8","7.89","7.85","Ch3","2024-02-16 20:09:04.399","SMR","19.48","02-16_184"
"min0.5_20",0.5,"0.008","7.94",0.00034,"13.27","13.61","13.46","7.9","8.01","7.93","Ch4","2024-02-16 18:49:04.033","SMR","19.47","02-16_184"
"min20.5_40",20.5,"0.889","8.08",0.0058,"13.15","13.7","13.4","7.84","7.97","7.91","Ch4","2024-02-16 19:09:04.486","SMR","19.48","02-16_184"
"min40.5_60",40.5,"0.029","7.89",0.00053,"13.21","13.67","13.38","7.86","7.96","7.92","Ch4","2024-02-16 19:29:04.962","SMR","19.47","02-16_184"
"min60.5_80",60.5,"0.035","7.84",0.00051,"13.32","13.61","13.45","7.83","7.91","7.87","Ch4","2024-02-16 19:49:04.431","SMR","19.48","02-16_184"
"min80.5_100",80.5,"0.017","7.82",0.00043,"13.33","13.65","13.48","7.81","7.91","7.86","Ch4","2024-02-16 20:09:04.399","SMR","19.48","02-16_184"
