"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min0.5_20",0.5,"0.016","7.6",0.00023,"13.09","13.52","13.27","7.56","7.63","7.6","Ch1","2024-02-18 20:48:31.683","SMR","19.47","02-18_204"
"min20.5_40",20.5,"0.515","7.47",0.00312,"13.23","13.63","13.45","7.53","7.63","7.57","Ch1","2024-02-18 21:08:31.305","SMR","19.47","02-18_204"
"min40.5_60",40.5,"0.706","7.77",0.00354,"13.15","13.82","13.38","7.5","7.64","7.59","Ch1","2024-02-18 21:28:31.74","SMR","19.46","02-18_204"
"min60.5_80",60.5,"0.383","7.48",0.00207,"13.07","13.57","13.3","7.57","7.66","7.62","Ch1","2024-02-18 21:48:31.696","SMR","19.47","02-18_204"
"min80.5_100",80.5,"0.198","7.45",0.00159,"13.18","13.68","13.44","7.53","7.65","7.59","Ch1","2024-02-18 22:08:31.098","SMR","19.47","02-18_204"
"min100.5_120",100.5,"0.452","7.95",0.00291,"13.04","13.63","13.23","7.53","7.68","7.63","Ch1","2024-02-18 22:28:31.53","SMR","19.48","02-18_204"
"min120.5_140",120.5,"0.802","7.08",0.00409,"13.25","13.63","13.45","7.56","7.66","7.61","Ch1","2024-02-18 22:48:31","SMR","19.47","02-18_204"
"min140.5_160",140.5,"0.767","7.06",0.00383,"13.1","13.73","13.36","7.55","7.69","7.63","Ch1","2024-02-18 23:08:31.393","SMR","19.48","02-18_204"
"min160.5_180",160.5,"0.057","7.76",0.00085,"13.17","13.8","13.45","7.55","7.66","7.61","Ch1","2024-02-18 23:28:31.799","SMR","19.47","02-18_204"
"min180.5_200",180.5,"0.221","7.94",0.00149,"13.1","13.51","13.28","7.6","7.7","7.65","Ch1","2024-02-18 23:48:31.166","SMR","19.47","02-18_204"
"min200.5_220",200.5,"0.796","6.69",0.00451,"13.2","13.77","13.44","7.55","7.69","7.63","Ch1","2024-02-19 00:08:31.54","SMR","19.48","02-18_204"
"min220.5_240",220.5,"0.58","8.45",0.00353,"13.12","13.69","13.37","7.56","7.7","7.64","Ch1","2024-02-19 00:28:31.938","SMR","19.47","02-18_204"
"min240.5_260",240.5,"0.007","7.73",0.00024,"13.07","13.57","13.26","7.62","7.71","7.67","Ch1","2024-02-19 00:48:31.324","SMR","19.47","02-18_204"
"min260.5_280",260.5,"0.736","6.57",0.00396,"13.22","13.69","13.45","7.57","7.7","7.64","Ch1","2024-02-19 01:08:31.688","SMR","19.47","02-18_204"
"min280.5_300",280.5,"0.284","8.3",0.00225,"13.17","13.79","13.43","7.58","7.7","7.65","Ch1","2024-02-19 01:28:31.081","SMR","19.47","02-18_204"
"min300.5_320",300.5,"0.476","8.57",0.00291,"13.13","13.56","13.33","7.61","7.72","7.67","Ch1","2024-02-19 01:48:31.45","SMR","19.48","02-18_204"
"min320.5_340",320.5,"0.79","6.4",0.00386,"13.04","13.59","13.32","7.61","7.72","7.68","Ch1","2024-02-19 02:08:31.816","SMR","19.47","02-18_204"
"min0.5_20",0.5,"0.662","7.84",0.00344,"13.09","13.52","13.27","7.81","7.92","7.87","Ch2","2024-02-18 20:48:31.683","SMR","19.47","02-18_204"
"min20.5_40",20.5,"0.435","7.75",0.00338,"13.23","13.63","13.45","7.8","7.92","7.85","Ch2","2024-02-18 21:08:31.305","SMR","19.47","02-18_204"
"min40.5_60",40.5,"0.799","8.14",0.00505,"13.15","13.82","13.38","7.77","7.94","7.88","Ch2","2024-02-18 21:28:31.74","SMR","19.46","02-18_204"
"min60.5_80",60.5,"0.49","7.71",0.00295,"13.07","13.57","13.3","7.86","7.96","7.92","Ch2","2024-02-18 21:48:31.696","SMR","19.47","02-18_204"
"min80.5_100",80.5,"0.064","7.77",0.00107,"13.18","13.68","13.44","7.8","7.93","7.87","Ch2","2024-02-18 22:08:31.098","SMR","19.47","02-18_204"
"min100.5_120",100.5,"0.464","8.3",0.00346,"13.04","13.63","13.23","7.81","7.97","7.92","Ch2","2024-02-18 22:28:31.53","SMR","19.48","02-18_204"
"min120.5_140",120.5,"0.821","7.23",0.00502,"13.25","13.63","13.45","7.82","7.94","7.88","Ch2","2024-02-18 22:48:31","SMR","19.47","02-18_204"
